------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.2 port 5001 connected with 192.168.2.2 port 59038
[  2] local 192.168.1.2 port 5001 connected with 192.168.4.2 port 47770
[  3] local 192.168.1.2 port 5001 connected with 192.168.7.2 port 47718
[  4] local 192.168.1.2 port 5001 connected with 192.168.8.2 port 33788
[  5] local 192.168.1.2 port 5001 connected with 192.168.5.2 port 57210
[  6] local 192.168.1.2 port 5001 connected with 192.168.9.2 port 36850
[ ID] Interval       Transfer     Bandwidth
[  6] 0.0000-1.0000 sec  7.27 MBytes  61.0 Mbits/sec
[  1] 0.0000-1.0000 sec  6.92 MBytes  58.1 Mbits/sec
[  2] 0.0000-1.0000 sec  4.10 MBytes  34.4 Mbits/sec
[  3] 0.0000-1.0000 sec  4.06 MBytes  34.0 Mbits/sec
[  4] 0.0000-1.0000 sec  7.69 MBytes  64.5 Mbits/sec
[  5] 0.0000-1.0000 sec  3.90 MBytes  32.7 Mbits/sec
[  1] 1.0000-2.0000 sec  7.26 MBytes  60.9 Mbits/sec
[  2] 1.0000-2.0000 sec  3.95 MBytes  33.1 Mbits/sec
[  3] 1.0000-2.0000 sec  4.48 MBytes  37.5 Mbits/sec
[  4] 1.0000-2.0000 sec  9.01 MBytes  75.6 Mbits/sec
[  6] 1.0000-2.0000 sec  7.40 MBytes  62.0 Mbits/sec
[  5] 1.0000-2.0000 sec  4.11 MBytes  34.4 Mbits/sec
[  1] 2.0000-3.0000 sec  7.28 MBytes  61.1 Mbits/sec
[  6] 2.0000-3.0000 sec  7.29 MBytes  61.1 Mbits/sec
[  2] 2.0000-3.0000 sec  4.02 MBytes  33.7 Mbits/sec
[  3] 2.0000-3.0000 sec  5.37 MBytes  45.0 Mbits/sec
[  4] 2.0000-3.0000 sec  9.66 MBytes  81.0 Mbits/sec
[  5] 2.0000-3.0000 sec  4.09 MBytes  34.3 Mbits/sec
[  6] 3.0000-4.0000 sec  7.24 MBytes  60.7 Mbits/sec
[  1] 3.0000-4.0000 sec  7.48 MBytes  62.8 Mbits/sec
[  2] 3.0000-4.0000 sec  4.10 MBytes  34.4 Mbits/sec
