------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.9.2 port 5001 connected with 192.168.1.2 port 58956
[  2] local 192.168.9.2 port 5001 connected with 192.168.5.2 port 53220
[  3] local 192.168.9.2 port 5001 connected with 192.168.8.2 port 48134
[  4] local 192.168.9.2 port 5001 connected with 192.168.7.2 port 39072
[  5] local 192.168.9.2 port 5001 connected with 192.168.3.2 port 57402
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  5.33 MBytes  44.7 Mbits/sec
[  1] 0.0000-1.0000 sec  1.89 MBytes  15.8 Mbits/sec
[  4] 0.0000-1.0000 sec  6.12 MBytes  51.3 Mbits/sec
[  3] 0.0000-1.0000 sec  6.83 MBytes  57.3 Mbits/sec
[  5] 0.0000-1.0000 sec  2.81 MBytes  23.6 Mbits/sec
[  1] 1.0000-2.0000 sec  1.36 MBytes  11.4 Mbits/sec
[  4] 1.0000-2.0000 sec  6.10 MBytes  51.1 Mbits/sec
[  2] 1.0000-2.0000 sec  5.28 MBytes  44.3 Mbits/sec
[  3] 1.0000-2.0000 sec  5.81 MBytes  48.8 Mbits/sec
[  5] 1.0000-2.0000 sec  4.13 MBytes  34.6 Mbits/sec
[  4] 2.0000-3.0000 sec  6.05 MBytes  50.7 Mbits/sec
[  2] 2.0000-3.0000 sec  5.29 MBytes  44.4 Mbits/sec
[  3] 2.0000-3.0000 sec  4.28 MBytes  35.9 Mbits/sec
[  1] 2.0000-3.0000 sec  1.46 MBytes  12.2 Mbits/sec
[  5] 2.0000-3.0000 sec  4.46 MBytes  37.4 Mbits/sec
[  2] 3.0000-4.0000 sec  5.32 MBytes  44.6 Mbits/sec
[  1] 3.0000-4.0000 sec  1.15 MBytes  9.66 Mbits/sec
[  4] 3.0000-4.0000 sec  6.08 MBytes  51.0 Mbits/sec
[  5] 3.0000-4.0000 sec  3.91 MBytes  32.8 Mbits/sec
[  3] 3.0000-4.0000 sec  2.57 MBytes  21.6 Mbits/sec
[  1] 4.0000-5.0000 sec  1.03 MBytes  8.68 Mbits/sec
[  4] 4.0000-5.0000 sec  6.16 MBytes  51.7 Mbits/sec
[  2] 4.0000-5.0000 sec  5.23 MBytes  43.9 Mbits/sec
[  3] 4.0000-5.0000 sec  1.86 MBytes  15.6 Mbits/sec
[  5] 4.0000-5.0000 sec  3.55 MBytes  29.7 Mbits/sec
[  4] 5.0000-6.0000 sec  5.97 MBytes  50.1 Mbits/sec
[  2] 5.0000-6.0000 sec  5.41 MBytes  45.4 Mbits/sec
[  3] 5.0000-6.0000 sec  1.61 MBytes  13.5 Mbits/sec
[  5] 5.0000-6.0000 sec  3.25 MBytes  27.2 Mbits/sec
[  1] 5.0000-6.0000 sec   949 KBytes  7.77 Mbits/sec
[  2] 6.0000-7.0000 sec  5.37 MBytes  45.1 Mbits/sec
[  1] 6.0000-7.0000 sec   856 KBytes  7.01 Mbits/sec
[  4] 6.0000-7.0000 sec  6.00 MBytes  50.3 Mbits/sec
[  5] 6.0000-7.0000 sec  3.04 MBytes  25.5 Mbits/sec
[  3] 6.0000-7.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  2] 7.0000-8.0000 sec  5.12 MBytes  42.9 Mbits/sec
[  1] 7.0000-8.0000 sec   793 KBytes  6.50 Mbits/sec
[  4] 7.0000-8.0000 sec  6.25 MBytes  52.5 Mbits/sec
[  5] 7.0000-8.0000 sec  2.82 MBytes  23.7 Mbits/sec
[  3] 7.0000-8.0000 sec  1.36 MBytes  11.4 Mbits/sec
[  4] 8.0000-9.0000 sec  5.70 MBytes  47.8 Mbits/sec
[  2] 8.0000-9.0000 sec  5.73 MBytes  48.1 Mbits/sec
[  3] 8.0000-9.0000 sec  1.42 MBytes  11.9 Mbits/sec
[  1] 8.0000-9.0000 sec   795 KBytes  6.51 Mbits/sec
[  5] 8.0000-9.0000 sec  2.76 MBytes  23.1 Mbits/sec
[  4] 9.0000-10.0000 sec  5.41 MBytes  45.4 Mbits/sec
[  2] 9.0000-10.0000 sec  5.94 MBytes  49.8 Mbits/sec
[  3] 9.0000-10.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  1] 9.0000-10.0000 sec   727 KBytes  5.95 Mbits/sec
[  5] 9.0000-10.0000 sec  1.64 MBytes  13.8 Mbits/sec
[  1] 10.0000-10.2753 sec   595 KBytes  17.7 Mbits/sec
[  1] 0.0000-10.2753 sec  11.5 MBytes  9.39 Mbits/sec
[  4] 10.0000-11.0000 sec  4.78 MBytes  40.1 Mbits/sec
[  2] 10.0000-11.0000 sec  6.63 MBytes  55.6 Mbits/sec
[  3] 10.0000-11.0000 sec  1.86 MBytes  15.6 Mbits/sec
[  5] 10.0000-11.0000 sec  6.91 MBytes  58.0 Mbits/sec
[  5] 11.0000-11.3057 sec  2.49 MBytes  68.4 Mbits/sec
[  5] 0.0000-11.3057 sec  41.8 MBytes  31.0 Mbits/sec
[  3] 11.0000-11.4993 sec  1.92 MBytes  32.2 Mbits/sec
[  3] 0.0000-11.4993 sec  32.4 MBytes  23.7 Mbits/sec
[  2] 11.0000-12.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  4] 11.0000-12.0000 sec  4.64 MBytes  39.0 Mbits/sec
[  4] 0.0000-12.1869 sec  70.6 MBytes  48.6 Mbits/sec
[  2] 0.0000-12.2289 sec  68.6 MBytes  47.1 Mbits/sec
