------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.2.2 port 5001 connected with 192.168.3.2 port 50978
[  2] local 192.168.2.2 port 5001 connected with 192.168.1.2 port 40902
[  3] local 192.168.2.2 port 5001 connected with 192.168.6.2 port 47008
[  4] local 192.168.2.2 port 5001 connected with 192.168.5.2 port 46870
[  5] local 192.168.2.2 port 5001 connected with 192.168.10.2 port 54832
[  6] local 192.168.2.2 port 5001 connected with 192.168.9.2 port 46872
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  3.76 MBytes  31.5 Mbits/sec
[  3] 0.0000-1.0000 sec  1.99 MBytes  16.7 Mbits/sec
[  1] 0.0000-1.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  5] 0.0000-1.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  4] 0.0000-1.0000 sec  3.38 MBytes  28.4 Mbits/sec
[  6] 0.0000-1.0000 sec   598 KBytes  4.90 Mbits/sec
[  1] 1.0000-2.0000 sec  3.69 MBytes  31.0 Mbits/sec
[  5] 1.0000-2.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  2] 1.0000-2.0000 sec  3.18 MBytes  26.7 Mbits/sec
[  3] 1.0000-2.0000 sec  4.32 MBytes  36.2 Mbits/sec
[  4] 1.0000-2.0000 sec  4.03 MBytes  33.8 Mbits/sec
[  6] 1.0000-2.0000 sec   494 KBytes  4.04 Mbits/sec
[  1] 2.0000-3.0000 sec  4.19 MBytes  35.1 Mbits/sec
[  5] 2.0000-3.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  2] 2.0000-3.0000 sec  2.46 MBytes  20.7 Mbits/sec
[  3] 2.0000-3.0000 sec  6.24 MBytes  52.3 Mbits/sec
[  4] 2.0000-3.0000 sec  4.33 MBytes  36.4 Mbits/sec
[  6] 2.0000-3.0000 sec   434 KBytes  3.56 Mbits/sec
[  2] 3.0000-4.0000 sec  2.00 MBytes  16.8 Mbits/sec
[  3] 3.0000-4.0000 sec  7.38 MBytes  61.9 Mbits/sec
[  1] 3.0000-4.0000 sec  4.54 MBytes  38.1 Mbits/sec
[  5] 3.0000-4.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  4] 3.0000-4.0000 sec  4.48 MBytes  37.6 Mbits/sec
[  6] 3.0000-4.0000 sec   351 KBytes  2.87 Mbits/sec
[  2] 4.0000-5.0000 sec  1.84 MBytes  15.4 Mbits/sec
[  3] 4.0000-5.0000 sec  7.96 MBytes  66.8 Mbits/sec
[  1] 4.0000-5.0000 sec  4.19 MBytes  35.1 Mbits/sec
[  5] 4.0000-5.0000 sec  9.37 MBytes  78.6 Mbits/sec
[  4] 4.0000-5.0000 sec  4.97 MBytes  41.7 Mbits/sec
[  6] 4.0000-5.0000 sec   370 KBytes  3.04 Mbits/sec
[  1] 5.0000-6.0000 sec  3.52 MBytes  29.5 Mbits/sec
[  5] 5.0000-6.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  2] 5.0000-6.0000 sec  1.67 MBytes  14.0 Mbits/sec
[  3] 5.0000-6.0000 sec  9.87 MBytes  82.8 Mbits/sec
[  4] 5.0000-6.0000 sec  5.80 MBytes  48.7 Mbits/sec
[  6] 5.0000-6.0000 sec   488 KBytes  4.00 Mbits/sec
[  2] 6.0000-7.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  1] 6.0000-7.0000 sec  3.21 MBytes  26.9 Mbits/sec
[  5] 6.0000-7.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  3] 6.0000-7.0000 sec  10.2 MBytes  85.9 Mbits/sec
