------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.7.2 port 5001 connected with 192.168.4.2 port 58070
[  2] local 192.168.7.2 port 5001 connected with 192.168.5.2 port 54534
[  3] local 192.168.7.2 port 5001 connected with 192.168.6.2 port 45964
[  4] local 192.168.7.2 port 5001 connected with 192.168.10.2 port 59708
[  5] local 192.168.7.2 port 5001 connected with 192.168.9.2 port 47682
[  6] local 192.168.7.2 port 5001 connected with 192.168.8.2 port 43242
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  11.4 MBytes  95.3 Mbits/sec
[  1] 0.0000-1.0000 sec  5.35 MBytes  44.8 Mbits/sec
[  3] 0.0000-1.0000 sec  4.22 MBytes  35.4 Mbits/sec
[  5] 0.0000-1.0000 sec  5.78 MBytes  48.5 Mbits/sec
[  6] 0.0000-1.0000 sec   918 KBytes  7.52 Mbits/sec
[  4] 0.0000-1.0000 sec  5.37 MBytes  45.0 Mbits/sec
[  2] 1.0000-2.0000 sec  11.4 MBytes  95.7 Mbits/sec
[  1] 1.0000-2.0000 sec  2.48 MBytes  20.8 Mbits/sec
[  3] 1.0000-2.0000 sec  2.68 MBytes  22.5 Mbits/sec
[  5] 1.0000-2.0000 sec  5.97 MBytes  50.0 Mbits/sec
[  6] 1.0000-2.0000 sec   641 KBytes  5.25 Mbits/sec
[  4] 1.0000-2.0000 sec  5.40 MBytes  45.3 Mbits/sec
[  2] 2.0000-3.0000 sec  11.4 MBytes  95.7 Mbits/sec
[  5] 2.0000-3.0000 sec  5.96 MBytes  50.0 Mbits/sec
[  1] 2.0000-3.0000 sec  1.59 MBytes  13.3 Mbits/sec
[  3] 2.0000-3.0000 sec  1.91 MBytes  16.0 Mbits/sec
[  4] 2.0000-3.0000 sec  5.41 MBytes  45.4 Mbits/sec
[  6] 2.0000-3.0000 sec   683 KBytes  5.60 Mbits/sec
[  5] 3.0000-4.0000 sec  5.96 MBytes  50.0 Mbits/sec
[  2] 3.0000-4.0000 sec  11.4 MBytes  95.5 Mbits/sec
[  1] 3.0000-4.0000 sec  1.14 MBytes  9.59 Mbits/sec
[  3] 3.0000-4.0000 sec  1.52 MBytes  12.7 Mbits/sec
[  6] 3.0000-4.0000 sec   590 KBytes  4.83 Mbits/sec
[  4] 3.0000-4.0000 sec  5.42 MBytes  45.5 Mbits/sec
[  2] 4.0000-5.0000 sec  11.4 MBytes  95.7 Mbits/sec
[  1] 4.0000-5.0000 sec   990 KBytes  8.11 Mbits/sec
[  3] 4.0000-5.0000 sec  1.28 MBytes  10.7 Mbits/sec
[  5] 4.0000-5.0000 sec  5.54 MBytes  46.5 Mbits/sec
[  6] 4.0000-5.0000 sec  4.22 MBytes  35.4 Mbits/sec
[  4] 4.0000-5.0000 sec  7.24 MBytes  60.7 Mbits/sec
[  2] 5.0000-6.0000 sec  11.4 MBytes  95.6 Mbits/sec
[  1] 5.0000-6.0000 sec   928 KBytes  7.60 Mbits/sec
[  3] 5.0000-6.0000 sec  1.23 MBytes  10.3 Mbits/sec
[  5] 5.0000-6.0000 sec  6.67 MBytes  56.0 Mbits/sec
[  6] 5.0000-6.0000 sec  4.66 MBytes  39.1 Mbits/sec
[  4] 5.0000-6.0000 sec  10.2 MBytes  85.3 Mbits/sec
[  2] 6.0000-7.0000 sec  11.4 MBytes  95.5 Mbits/sec
[  1] 6.0000-7.0000 sec   909 KBytes  7.45 Mbits/sec
[  5] 6.0000-7.0000 sec  6.09 MBytes  51.1 Mbits/sec
[  6] 6.0000-7.0000 sec  5.23 MBytes  43.8 Mbits/sec
[  3] 6.0000-7.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  4] 6.0000-7.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  2] 7.0000-8.0000 sec  11.4 MBytes  95.7 Mbits/sec
[  1] 7.0000-8.0000 sec   963 KBytes  7.89 Mbits/sec
[  3] 7.0000-8.0000 sec  1.35 MBytes  11.4 Mbits/sec
[  4] 7.0000-8.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  5] 7.0000-8.0000 sec  5.85 MBytes  49.1 Mbits/sec
[  6] 7.0000-8.0000 sec  5.48 MBytes  46.0 Mbits/sec
[  2] 8.0000-9.0000 sec  11.4 MBytes  95.7 Mbits/sec
