------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.8.2 port 5001 connected with 192.168.4.2 port 33388
[  2] local 192.168.8.2 port 5001 connected with 192.168.1.2 port 58292
[  3] local 192.168.8.2 port 5001 connected with 192.168.6.2 port 54028
[  4] local 192.168.8.2 port 5001 connected with 192.168.7.2 port 60570
[  5] local 192.168.8.2 port 5001 connected with 192.168.5.2 port 51978
[  6] local 192.168.8.2 port 5001 connected with 192.168.9.2 port 53320
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  2.22 MBytes  18.6 Mbits/sec
[  3] 0.0000-1.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  4] 0.0000-1.0000 sec  4.70 MBytes  39.4 Mbits/sec
[  1] 0.0000-1.0000 sec   886 KBytes  7.26 Mbits/sec
[  5] 0.0000-1.0000 sec  2.72 MBytes  22.9 Mbits/sec
[  6] 0.0000-1.0000 sec   769 KBytes  6.30 Mbits/sec
[  1] 1.0000-2.0000 sec   520 KBytes  4.26 Mbits/sec
[  3] 1.0000-2.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  2] 1.0000-2.0000 sec  1.73 MBytes  14.5 Mbits/sec
[  4] 1.0000-2.0000 sec  4.99 MBytes  41.9 Mbits/sec
[  5] 1.0000-2.0000 sec  3.11 MBytes  26.1 Mbits/sec
[  6] 1.0000-2.0000 sec   663 KBytes  5.43 Mbits/sec
[  2] 2.0000-3.0000 sec  1.56 MBytes  13.1 Mbits/sec
[  3] 2.0000-3.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  4] 2.0000-3.0000 sec  4.51 MBytes  37.8 Mbits/sec
[  5] 2.0000-3.0000 sec  3.81 MBytes  32.0 Mbits/sec
[  1] 2.0000-3.0000 sec   484 KBytes  3.96 Mbits/sec
[  6] 2.0000-3.0000 sec   502 KBytes  4.11 Mbits/sec
[  1] 3.0000-4.0000 sec   437 KBytes  3.58 Mbits/sec
[  2] 3.0000-4.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  3] 3.0000-4.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  4] 3.0000-4.0000 sec  3.99 MBytes  33.5 Mbits/sec
[  5] 3.0000-4.0000 sec  4.74 MBytes  39.8 Mbits/sec
[  6] 3.0000-4.0000 sec   583 KBytes  4.77 Mbits/sec
[  2] 4.0000-5.0000 sec  1.06 MBytes  8.86 Mbits/sec
[  3] 4.0000-5.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  4] 4.0000-5.0000 sec  3.52 MBytes  29.5 Mbits/sec
[  5] 4.0000-5.0000 sec  5.37 MBytes  45.1 Mbits/sec
[  6] 4.0000-5.0000 sec   503 KBytes  4.12 Mbits/sec
[  1] 4.0000-5.0000 sec   437 KBytes  3.58 Mbits/sec
[  1] 5.0000-6.0000 sec   329 KBytes  2.70 Mbits/sec
[  3] 5.0000-6.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  4] 5.0000-6.0000 sec  3.10 MBytes  26.0 Mbits/sec
[  5] 5.0000-6.0000 sec  5.98 MBytes  50.2 Mbits/sec
[  6] 5.0000-6.0000 sec   642 KBytes  5.26 Mbits/sec
[  2] 5.0000-6.0000 sec  1021 KBytes  8.36 Mbits/sec
[  2] 6.0000-7.0000 sec  1003 KBytes  8.21 Mbits/sec
[  3] 6.0000-7.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  4] 6.0000-7.0000 sec  2.76 MBytes  23.2 Mbits/sec
