------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] 9.0000-10.0000 sec  7.13 MBytes  59.8 Mbits/sec
[  3] 9.0000-10.0000 sec  1.85 MBytes  15.5 Mbits/sec
[  4] 9.0000-10.0000 sec  11.2 MBytes  94.2 Mbits/sec
[  6] 9.0000-10.0000 sec  6.95 MBytes  58.3 Mbits/sec
[  8] 9.0000-10.0000 sec  4.55 MBytes  38.2 Mbits/sec
[  7] 9.0000-10.0000 sec  11.2 MBytes  94.1 Mbits/sec
[  5] 9.0000-10.0000 sec  11.3 MBytes  94.9 Mbits/sec
[  1] 0.0000-10.1610 sec  45.3 MBytes  37.4 Mbits/sec
[  4] 10.0000-10.2849 sec  3.24 MBytes  95.4 Mbits/sec
[  4] 0.0000-10.2849 sec  74.4 MBytes  60.7 Mbits/sec
[  7] 10.0000-10.3242 sec  3.65 MBytes  94.4 Mbits/sec
[  7] 0.0000-10.3242 sec   113 MBytes  91.5 Mbits/sec
[  3] 10.0000-10.5593 sec  1.26 MBytes  18.8 Mbits/sec
[  3] 0.0000-10.5593 sec  13.6 MBytes  10.8 Mbits/sec
[  5] 10.0000-10.5424 sec  6.19 MBytes  95.7 Mbits/sec
[  5] 0.0000-10.5424 sec   109 MBytes  86.6 Mbits/sec
[  2] 10.0000-10.6679 sec  1.45 MBytes  18.3 Mbits/sec
[  2] 0.0000-10.6679 sec  33.0 MBytes  25.9 Mbits/sec
[  8] 10.0000-10.6737 sec  3.07 MBytes  38.2 Mbits/sec
[  8] 0.0000-10.6737 sec  41.9 MBytes  32.9 Mbits/sec
[  6] 10.0000-10.7712 sec  5.76 MBytes  62.6 Mbits/sec
[  6] 0.0000-10.7712 sec  79.0 MBytes  61.5 Mbits/sec
