------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.2.2 port 5001 connected with 192.168.1.2 port 59776
[  2] local 192.168.2.2 port 5001 connected with 192.168.4.2 port 37358
[  4] local 192.168.2.2 port 5001 connected with 192.168.8.2 port 60568
[  5] local 192.168.2.2 port 5001 connected with 192.168.7.2 port 54286
[  3] local 192.168.2.2 port 5001 connected with 192.168.3.2 port 42828
[  6] local 192.168.2.2 port 5001 connected with 192.168.5.2 port 33302
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  2.10 MBytes  17.6 Mbits/sec
[  3] 0.0000-1.0000 sec  11.2 MBytes  93.8 Mbits/sec
[  2] 0.0000-1.0000 sec  8.00 MBytes  67.1 Mbits/sec
[  5] 0.0000-1.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  4] 0.0000-1.0000 sec  7.12 MBytes  59.7 Mbits/sec
[  6] 0.0000-1.0000 sec  1.29 MBytes  10.8 Mbits/sec
[  1] 1.0000-2.0000 sec  2.32 MBytes  19.4 Mbits/sec
[  3] 1.0000-2.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  2] 1.0000-2.0000 sec  8.12 MBytes  68.1 Mbits/sec
[  5] 1.0000-2.0000 sec  8.13 MBytes  68.2 Mbits/sec
[  4] 1.0000-2.0000 sec  7.01 MBytes  58.8 Mbits/sec
[  6] 1.0000-2.0000 sec  1.64 MBytes  13.7 Mbits/sec
[  1] 2.0000-3.0000 sec  2.53 MBytes  21.2 Mbits/sec
[  3] 2.0000-3.0000 sec  11.2 MBytes  94.0 Mbits/sec
[  2] 2.0000-3.0000 sec  8.11 MBytes  68.1 Mbits/sec
[  5] 2.0000-3.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  4] 2.0000-3.0000 sec  7.03 MBytes  58.9 Mbits/sec
[  6] 2.0000-3.0000 sec  1.56 MBytes  13.1 Mbits/sec
[  1] 3.0000-4.0000 sec  2.41 MBytes  20.2 Mbits/sec
[  3] 3.0000-4.0000 sec  11.2 MBytes  93.8 Mbits/sec
