------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.6.2 port 5001 connected with 192.168.1.2 port 56574
[  2] local 192.168.6.2 port 5001 connected with 192.168.2.2 port 46466
[  3] local 192.168.6.2 port 5001 connected with 192.168.3.2 port 43742
[  4] local 192.168.6.2 port 5001 connected with 192.168.8.2 port 43224
[  5] local 192.168.6.2 port 5001 connected with 192.168.9.2 port 51964
[  6] local 192.168.6.2 port 5001 connected with 192.168.7.2 port 43216
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  7.56 MBytes  63.4 Mbits/sec
[  2] 0.0000-1.0000 sec  3.42 MBytes  28.7 Mbits/sec
[  3] 0.0000-1.0000 sec  10.8 MBytes  90.2 Mbits/sec
[  6] 0.0000-1.0000 sec  8.88 MBytes  74.5 Mbits/sec
[  4] 0.0000-1.0000 sec  1.33 MBytes  11.1 Mbits/sec
[  5] 0.0000-1.0000 sec  11.1 MBytes  92.8 Mbits/sec
[  1] 1.0000-2.0000 sec  9.21 MBytes  77.3 Mbits/sec
[  6] 1.0000-2.0000 sec  8.88 MBytes  74.5 Mbits/sec
[  2] 1.0000-2.0000 sec  1.67 MBytes  14.0 Mbits/sec
[  3] 1.0000-2.0000 sec  10.9 MBytes  91.8 Mbits/sec
[  4] 1.0000-2.0000 sec  1.69 MBytes  14.1 Mbits/sec
[  5] 1.0000-2.0000 sec  10.9 MBytes  91.2 Mbits/sec
[  1] 2.0000-3.0000 sec  8.65 MBytes  72.6 Mbits/sec
[  2] 2.0000-3.0000 sec  2.23 MBytes  18.7 Mbits/sec
[  3] 2.0000-3.0000 sec  11.0 MBytes  92.0 Mbits/sec
[  6] 2.0000-3.0000 sec  8.87 MBytes  74.4 Mbits/sec
[  4] 2.0000-3.0000 sec  1.92 MBytes  16.1 Mbits/sec
[  5] 2.0000-3.0000 sec  10.8 MBytes  90.8 Mbits/sec
[  1] 3.0000-4.0000 sec  8.14 MBytes  68.2 Mbits/sec
[  2] 3.0000-4.0000 sec  2.68 MBytes  22.4 Mbits/sec
[  3] 3.0000-4.0000 sec  11.2 MBytes  93.6 Mbits/sec
[  5] 3.0000-4.0000 sec  11.1 MBytes  93.4 Mbits/sec
[  6] 3.0000-4.0000 sec  8.90 MBytes  74.6 Mbits/sec
[  4] 3.0000-4.0000 sec  1.70 MBytes  14.3 Mbits/sec
[  1] 4.0000-5.0000 sec  7.34 MBytes  61.5 Mbits/sec
[  2] 4.0000-5.0000 sec  3.14 MBytes  26.4 Mbits/sec
