------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.5.2 port 5001 connected with 192.168.1.2 port 56034
[  2] local 192.168.5.2 port 5001 connected with 192.168.2.2 port 39650
[  3] local 192.168.5.2 port 5001 connected with 192.168.3.2 port 54622
[  4] local 192.168.5.2 port 5001 connected with 192.168.4.2 port 40444
[  5] local 192.168.5.2 port 5001 connected with 192.168.6.2 port 42950
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  2.73 MBytes  22.9 Mbits/sec
[  1] 0.0000-1.0000 sec  1.12 MBytes  9.36 Mbits/sec
[  4] 0.0000-1.0000 sec  1.57 MBytes  13.2 Mbits/sec
[  3] 0.0000-1.0000 sec   467 KBytes  3.82 Mbits/sec
[  5] 0.0000-1.0000 sec  1.17 MBytes  9.82 Mbits/sec
[  1] 1.0000-2.0000 sec  1.02 MBytes  8.60 Mbits/sec
[  2] 1.0000-2.0000 sec  2.14 MBytes  18.0 Mbits/sec
[  5] 1.0000-2.0000 sec  1.09 MBytes  9.11 Mbits/sec
[  3] 1.0000-2.0000 sec   283 KBytes  2.32 Mbits/sec
[  4] 1.0000-2.0000 sec  1.52 MBytes  12.7 Mbits/sec
[  2] 2.0000-3.0000 sec  1.54 MBytes  13.0 Mbits/sec
[  1] 2.0000-3.0000 sec   929 KBytes  7.61 Mbits/sec
[  4] 2.0000-3.0000 sec  1.47 MBytes  12.3 Mbits/sec
[  5] 2.0000-3.0000 sec  1.15 MBytes  9.64 Mbits/sec
[  3] 2.0000-3.0000 sec   211 KBytes  1.73 Mbits/sec
[  1] 3.0000-4.0000 sec   778 KBytes  6.37 Mbits/sec
[  2] 3.0000-4.0000 sec  1.27 MBytes  10.7 Mbits/sec
[  4] 3.0000-4.0000 sec  1.61 MBytes  13.5 Mbits/sec
[  3] 3.0000-4.0000 sec   188 KBytes  1.54 Mbits/sec
[  5] 3.0000-4.0000 sec  1.13 MBytes  9.49 Mbits/sec
[  1] 4.0000-5.0000 sec   868 KBytes  7.11 Mbits/sec
[  2] 4.0000-5.0000 sec  1.00 MBytes  8.41 Mbits/sec
[  4] 4.0000-5.0000 sec  1.67 MBytes  14.0 Mbits/sec
[  5] 4.0000-5.0000 sec  1.18 MBytes  9.86 Mbits/sec
[  3] 4.0000-5.0000 sec   273 KBytes  2.24 Mbits/sec
[  1] 5.0000-6.0000 sec  1014 KBytes  8.31 Mbits/sec
[  2] 5.0000-6.0000 sec  1.21 MBytes  10.1 Mbits/sec
[  3] 5.0000-6.0000 sec   585 KBytes  4.80 Mbits/sec
[  4] 5.0000-6.0000 sec  4.12 MBytes  34.5 Mbits/sec
[  5] 5.0000-6.0000 sec  3.08 MBytes  25.9 Mbits/sec
[  1] 6.0000-7.0000 sec   771 KBytes  6.31 Mbits/sec
[  2] 6.0000-7.0000 sec   952 KBytes  7.80 Mbits/sec
[  3] 6.0000-7.0000 sec   810 KBytes  6.64 Mbits/sec
[  4] 6.0000-7.0000 sec  5.05 MBytes  42.4 Mbits/sec
[  5] 6.0000-7.0000 sec  3.62 MBytes  30.3 Mbits/sec
[  1] 7.0000-8.0000 sec   697 KBytes  5.71 Mbits/sec
[  4] 7.0000-8.0000 sec  4.32 MBytes  36.3 Mbits/sec
[  5] 7.0000-8.0000 sec  3.39 MBytes  28.4 Mbits/sec
[  3] 7.0000-8.0000 sec   833 KBytes  6.82 Mbits/sec
[  2] 7.0000-8.0000 sec   506 KBytes  4.15 Mbits/sec
[  1] 8.0000-9.0000 sec  1.22 MBytes  10.2 Mbits/sec
[  4] 8.0000-9.0000 sec  5.35 MBytes  44.9 Mbits/sec
[  2] 8.0000-9.0000 sec  1.06 MBytes  8.88 Mbits/sec
[  5] 8.0000-9.0000 sec  3.90 MBytes  32.7 Mbits/sec
[  3] 8.0000-9.0000 sec   851 KBytes  6.97 Mbits/sec
[  1] 9.0000-10.0000 sec   891 KBytes  7.30 Mbits/sec
[  2] 9.0000-10.0000 sec   592 KBytes  4.85 Mbits/sec
[  4] 9.0000-10.0000 sec  4.61 MBytes  38.7 Mbits/sec
[  5] 9.0000-10.0000 sec  3.44 MBytes  28.8 Mbits/sec
[  3] 9.0000-10.0000 sec   714 KBytes  5.85 Mbits/sec
[  5] 10.0000-10.9435 sec  3.30 MBytes  29.4 Mbits/sec
[  5] 0.0000-10.9435 sec  26.4 MBytes  20.3 Mbits/sec
[  2] 10.0000-11.0000 sec   619 KBytes  5.07 Mbits/sec
[  1] 10.0000-11.0000 sec  1015 KBytes  8.32 Mbits/sec
[  3] 10.0000-11.0000 sec  1.02 MBytes  8.57 Mbits/sec
[  4] 10.0000-11.0000 sec  4.59 MBytes  38.5 Mbits/sec
[  3] 0.0000-11.0700 sec  6.25 MBytes  4.74 Mbits/sec
[  4] 0.0000-11.0734 sec  36.4 MBytes  27.6 Mbits/sec
[  1] 11.0000-11.2665 sec   779 KBytes  23.9 Mbits/sec
[  1] 0.0000-11.2665 sec  10.9 MBytes  8.13 Mbits/sec
[  2] 11.0000-11.3922 sec  1.95 MBytes  41.7 Mbits/sec
[  2] 0.0000-11.3922 sec  15.5 MBytes  11.4 Mbits/sec
