------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.5.2 port 5001 connected with 192.168.1.2 port 44908
[  2] local 192.168.5.2 port 5001 connected with 192.168.6.2 port 44216
[  3] local 192.168.5.2 port 5001 connected with 192.168.7.2 port 53920
[  4] local 192.168.5.2 port 5001 connected with 192.168.9.2 port 33860
[  5] local 192.168.5.2 port 5001 connected with 192.168.10.2 port 56368
[  6] local 192.168.5.2 port 5001 connected with 192.168.8.2 port 60654
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  2.70 MBytes  22.7 Mbits/sec
[  3] 0.0000-1.0000 sec  7.67 MBytes  64.3 Mbits/sec
[  6] 0.0000-1.0000 sec  3.06 MBytes  25.7 Mbits/sec
[  4] 0.0000-1.0000 sec  7.88 MBytes  66.1 Mbits/sec
[  1] 0.0000-1.0000 sec   746 KBytes  6.11 Mbits/sec
[  5] 0.0000-1.0000 sec  1.83 MBytes  15.3 Mbits/sec
[  2] 1.0000-2.0000 sec  2.40 MBytes  20.2 Mbits/sec
[  3] 1.0000-2.0000 sec  7.84 MBytes  65.8 Mbits/sec
[  4] 1.0000-2.0000 sec  7.88 MBytes  66.1 Mbits/sec
[  1] 1.0000-2.0000 sec   344 KBytes  2.81 Mbits/sec
[  5] 1.0000-2.0000 sec  1.68 MBytes  14.1 Mbits/sec
[  6] 1.0000-2.0000 sec  3.11 MBytes  26.1 Mbits/sec
[  2] 2.0000-3.0000 sec  2.26 MBytes  19.0 Mbits/sec
[  3] 2.0000-3.0000 sec  8.08 MBytes  67.8 Mbits/sec
[  4] 2.0000-3.0000 sec  7.88 MBytes  66.1 Mbits/sec
[  1] 2.0000-3.0000 sec   345 KBytes  2.83 Mbits/sec
[  6] 2.0000-3.0000 sec  2.92 MBytes  24.5 Mbits/sec
[  5] 2.0000-3.0000 sec  1.77 MBytes  14.8 Mbits/sec
[  2] 3.0000-4.0000 sec  2.28 MBytes  19.1 Mbits/sec
[  3] 3.0000-4.0000 sec  8.09 MBytes  67.8 Mbits/sec
[  4] 3.0000-4.0000 sec  7.88 MBytes  66.1 Mbits/sec
[  6] 3.0000-4.0000 sec  2.90 MBytes  24.4 Mbits/sec
[  1] 3.0000-4.0000 sec   338 KBytes  2.77 Mbits/sec
[  5] 3.0000-4.0000 sec  1.92 MBytes  16.1 Mbits/sec
[  2] 4.0000-5.0000 sec  2.26 MBytes  19.0 Mbits/sec
