------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.3.2 port 5001 connected with 192.168.2.2 port 33208
[  2] local 192.168.3.2 port 5001 connected with 192.168.4.2 port 42738
[  3] local 192.168.3.2 port 5001 connected with 192.168.6.2 port 59606
[  4] local 192.168.3.2 port 5001 connected with 192.168.9.2 port 49086
[  5] local 192.168.3.2 port 5001 connected with 192.168.7.2 port 47436
[  6] local 192.168.3.2 port 5001 connected with 192.168.5.2 port 34806
[ ID] Interval       Transfer     Bandwidth
[  6] 0.0000-1.0000 sec  5.53 MBytes  46.4 Mbits/sec
[  1] 0.0000-1.0000 sec  1.93 MBytes  16.2 Mbits/sec
[  2] 0.0000-1.0000 sec  7.60 MBytes  63.7 Mbits/sec
[  3] 0.0000-1.0000 sec  9.25 MBytes  77.6 Mbits/sec
[  4] 0.0000-1.0000 sec  2.49 MBytes  20.9 Mbits/sec
[  5] 0.0000-1.0000 sec  1007 KBytes  8.25 Mbits/sec
[  6] 1.0000-2.0000 sec  6.06 MBytes  50.8 Mbits/sec
[  2] 1.0000-2.0000 sec  7.03 MBytes  59.0 Mbits/sec
[  3] 1.0000-2.0000 sec  9.25 MBytes  77.6 Mbits/sec
[  4] 1.0000-2.0000 sec  4.06 MBytes  34.1 Mbits/sec
[  5] 1.0000-2.0000 sec   731 KBytes  5.99 Mbits/sec
[  1] 1.0000-2.0000 sec  1.41 MBytes  11.8 Mbits/sec
[  1] 2.0000-3.0000 sec  1.47 MBytes  12.3 Mbits/sec
[  2] 2.0000-3.0000 sec  7.03 MBytes  59.0 Mbits/sec
[  3] 2.0000-3.0000 sec  9.25 MBytes  77.6 Mbits/sec
[  6] 2.0000-3.0000 sec  5.71 MBytes  47.9 Mbits/sec
[  4] 2.0000-3.0000 sec  4.26 MBytes  35.8 Mbits/sec
[  5] 2.0000-3.0000 sec   547 KBytes  4.48 Mbits/sec
[  1] 3.0000-4.0000 sec  1.53 MBytes  12.9 Mbits/sec
[  2] 3.0000-4.0000 sec  7.23 MBytes  60.6 Mbits/sec
[  3] 3.0000-4.0000 sec  9.30 MBytes  78.0 Mbits/sec
[  4] 3.0000-4.0000 sec  4.32 MBytes  36.2 Mbits/sec
[  6] 3.0000-4.0000 sec  5.51 MBytes  46.2 Mbits/sec
[  5] 3.0000-4.0000 sec   547 KBytes  4.48 Mbits/sec
[  1] 4.0000-5.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  2] 4.0000-5.0000 sec  7.25 MBytes  60.8 Mbits/sec
[  4] 4.0000-5.0000 sec  4.33 MBytes  36.3 Mbits/sec
[  6] 4.0000-5.0000 sec  5.41 MBytes  45.4 Mbits/sec
[  3] 4.0000-5.0000 sec  9.25 MBytes  77.6 Mbits/sec
[  5] 4.0000-5.0000 sec   650 KBytes  5.33 Mbits/sec
[  1] 5.0000-6.0000 sec  1.76 MBytes  14.8 Mbits/sec
[  2] 5.0000-6.0000 sec  7.39 MBytes  62.0 Mbits/sec
[  6] 5.0000-6.0000 sec  5.28 MBytes  44.3 Mbits/sec
[  3] 5.0000-6.0000 sec  9.24 MBytes  77.5 Mbits/sec
