------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.6.2 port 5001 connected with 192.168.2.2 port 57482
[  2] local 192.168.6.2 port 5001 connected with 192.168.3.2 port 55134
[  3] local 192.168.6.2 port 5001 connected with 192.168.7.2 port 53252
[  4] local 192.168.6.2 port 5001 connected with 192.168.8.2 port 41296
[  5] local 192.168.6.2 port 5001 connected with 192.168.5.2 port 57610
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 0.0000-1.0000 sec  4.11 MBytes  34.5 Mbits/sec
[  4] 0.0000-1.0000 sec  2.02 MBytes  16.9 Mbits/sec
[  3] 0.0000-1.0000 sec  4.39 MBytes  36.8 Mbits/sec
[  5] 0.0000-1.0000 sec   928 KBytes  7.60 Mbits/sec
[  2] 1.0000-2.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 1.0000-2.0000 sec  4.77 MBytes  40.0 Mbits/sec
[  3] 1.0000-2.0000 sec  4.14 MBytes  34.7 Mbits/sec
[  4] 1.0000-2.0000 sec  1.66 MBytes  13.9 Mbits/sec
[  5] 1.0000-2.0000 sec   781 KBytes  6.39 Mbits/sec
[  2] 2.0000-3.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 2.0000-3.0000 sec  5.41 MBytes  45.4 Mbits/sec
[  3] 2.0000-3.0000 sec  3.83 MBytes  32.1 Mbits/sec
[  4] 2.0000-3.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  5] 2.0000-3.0000 sec   523 KBytes  4.29 Mbits/sec
[  1] 3.0000-4.0000 sec  6.17 MBytes  51.7 Mbits/sec
[  2] 3.0000-4.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  3] 3.0000-4.0000 sec  3.30 MBytes  27.7 Mbits/sec
[  4] 3.0000-4.0000 sec  1.29 MBytes  10.8 Mbits/sec
[  5] 3.0000-4.0000 sec   570 KBytes  4.67 Mbits/sec
[  2] 4.0000-5.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 4.0000-5.0000 sec  6.64 MBytes  55.7 Mbits/sec
[  4] 4.0000-5.0000 sec  1.29 MBytes  10.8 Mbits/sec
[  3] 4.0000-5.0000 sec  2.99 MBytes  25.0 Mbits/sec
[  5] 4.0000-5.0000 sec   443 KBytes  3.63 Mbits/sec
[  2] 5.0000-6.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 5.0000-6.0000 sec  7.19 MBytes  60.3 Mbits/sec
[  4] 5.0000-6.0000 sec  1.04 MBytes  8.72 Mbits/sec
[  3] 5.0000-6.0000 sec  2.68 MBytes  22.5 Mbits/sec
[  5] 5.0000-6.0000 sec   420 KBytes  3.44 Mbits/sec
[  2] 6.0000-7.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 6.0000-7.0000 sec  7.63 MBytes  64.0 Mbits/sec
[  3] 6.0000-7.0000 sec  2.46 MBytes  20.6 Mbits/sec
[  5] 6.0000-7.0000 sec   320 KBytes  2.62 Mbits/sec
[  4] 6.0000-7.0000 sec   905 KBytes  7.41 Mbits/sec
[  2] 7.0000-8.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  4] 7.0000-8.0000 sec   840 KBytes  6.88 Mbits/sec
[  5] 7.0000-8.0000 sec   342 KBytes  2.80 Mbits/sec
[  1] 7.0000-8.0000 sec  6.25 MBytes  52.4 Mbits/sec
[  3] 7.0000-8.0000 sec  1.74 MBytes  14.6 Mbits/sec
[  2] 8.0000-9.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 8.0000-9.0000 sec  9.32 MBytes  78.2 Mbits/sec
[  5] 8.0000-9.0000 sec   568 KBytes  4.66 Mbits/sec
[  3] 8.0000-9.0000 sec  2.56 MBytes  21.5 Mbits/sec
[  4] 8.0000-9.0000 sec  1017 KBytes  8.33 Mbits/sec
[  2] 9.0000-10.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 9.0000-10.0000 sec  8.33 MBytes  69.9 Mbits/sec
[  2] 0.0000-10.0110 sec   101 MBytes  84.9 Mbits/sec
[  3] 9.0000-10.0000 sec  1.77 MBytes  14.8 Mbits/sec
[  4] 9.0000-10.0000 sec   680 KBytes  5.57 Mbits/sec
[  5] 9.0000-10.0000 sec   527 KBytes  4.32 Mbits/sec
[  1] 10.0000-11.0000 sec  7.76 MBytes  65.1 Mbits/sec
[  4] 10.0000-11.0000 sec   814 KBytes  6.67 Mbits/sec
[  3] 10.0000-11.0000 sec  2.18 MBytes  18.3 Mbits/sec
[  5] 10.0000-11.0000 sec   550 KBytes  4.51 Mbits/sec
[  1] 11.0000-11.7556 sec  5.45 MBytes  60.5 Mbits/sec
[  1] 0.0000-11.7556 sec  79.0 MBytes  56.4 Mbits/sec
[  3] 11.0000-11.7524 sec  2.13 MBytes  23.8 Mbits/sec
[  3] 0.0000-11.7524 sec  34.2 MBytes  24.4 Mbits/sec
[  5] 11.0000-12.0000 sec  1.09 MBytes  9.16 Mbits/sec
[  5] 0.0000-12.0775 sec  7.05 MBytes  4.90 Mbits/sec
[  4] 11.0000-12.0000 sec   102 KBytes   834 Kbits/sec
[  4] 12.0000-12.5600 sec  2.72 MBytes  40.8 Mbits/sec
[  4] 0.0000-12.5600 sec  15.7 MBytes  10.5 Mbits/sec
