------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.6.2 port 5001 connected with 192.168.1.2 port 57290
[  2] local 192.168.6.2 port 5001 connected with 192.168.3.2 port 43772
[  3] local 192.168.6.2 port 5001 connected with 192.168.4.2 port 45108
[  4] local 192.168.6.2 port 5001 connected with 192.168.9.2 port 34920
[  5] local 192.168.6.2 port 5001 connected with 192.168.10.2 port 49818
[  6] local 192.168.6.2 port 5001 connected with 192.168.8.2 port 34406
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  1.28 MBytes  10.7 Mbits/sec
[  3] 0.0000-1.0000 sec  7.25 MBytes  60.8 Mbits/sec
[  1] 0.0000-1.0000 sec  8.25 MBytes  69.2 Mbits/sec
[  4] 0.0000-1.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  6] 0.0000-1.0000 sec   851 KBytes  6.97 Mbits/sec
[  5] 0.0000-1.0000 sec   783 KBytes  6.42 Mbits/sec
[  3] 1.0000-2.0000 sec  7.25 MBytes  60.8 Mbits/sec
[  1] 1.0000-2.0000 sec  8.25 MBytes  69.2 Mbits/sec
[  4] 1.0000-2.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  2] 1.0000-2.0000 sec  1.14 MBytes  9.56 Mbits/sec
[  6] 1.0000-2.0000 sec  1.00 MBytes  8.40 Mbits/sec
[  5] 1.0000-2.0000 sec   771 KBytes  6.31 Mbits/sec
[  2] 2.0000-3.0000 sec  1.13 MBytes  9.50 Mbits/sec
[  3] 2.0000-3.0000 sec  7.25 MBytes  60.8 Mbits/sec
[  1] 2.0000-3.0000 sec  8.25 MBytes  69.2 Mbits/sec
[  4] 2.0000-3.0000 sec  11.1 MBytes  93.4 Mbits/sec
[  6] 2.0000-3.0000 sec  1.34 MBytes  11.2 Mbits/sec
[  5] 2.0000-3.0000 sec   908 KBytes  7.44 Mbits/sec
[  2] 3.0000-4.0000 sec  1.16 MBytes  9.70 Mbits/sec
[  3] 3.0000-4.0000 sec  7.24 MBytes  60.7 Mbits/sec
[  1] 3.0000-4.0000 sec  8.25 MBytes  69.2 Mbits/sec
[  4] 3.0000-4.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  6] 3.0000-4.0000 sec  1.86 MBytes  15.6 Mbits/sec
[  5] 3.0000-4.0000 sec   735 KBytes  6.02 Mbits/sec
[  1] 4.0000-5.0000 sec  6.68 MBytes  56.0 Mbits/sec
[  4] 4.0000-5.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  2] 4.0000-5.0000 sec  1.12 MBytes  9.37 Mbits/sec
[  3] 4.0000-5.0000 sec  7.26 MBytes  60.9 Mbits/sec
[  6] 4.0000-5.0000 sec  3.28 MBytes  27.5 Mbits/sec
[  5] 4.0000-5.0000 sec   823 KBytes  6.74 Mbits/sec
[  1] 5.0000-6.0000 sec  4.99 MBytes  41.9 Mbits/sec
[  4] 5.0000-6.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  2] 5.0000-6.0000 sec  1.05 MBytes  8.77 Mbits/sec
[  3] 5.0000-6.0000 sec  7.25 MBytes  60.8 Mbits/sec
[  6] 5.0000-6.0000 sec  3.18 MBytes  26.7 Mbits/sec
[  5] 5.0000-6.0000 sec   611 KBytes  5.00 Mbits/sec
