------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.7.2 port 5001 connected with 192.168.2.2 port 37756
[  2] local 192.168.7.2 port 5001 connected with 192.168.1.2 port 60538
[  3] local 192.168.7.2 port 5001 connected with 192.168.3.2 port 39186
[  4] local 192.168.7.2 port 5001 connected with 192.168.5.2 port 45756
[  5] local 192.168.7.2 port 5001 connected with 192.168.8.2 port 34354
[  6] local 192.168.7.2 port 5001 connected with 192.168.6.2 port 42886
[ ID] Interval       Transfer     Bandwidth
[  6] 0.0000-1.0000 sec  2.20 MBytes  18.4 Mbits/sec
[  1] 0.0000-1.0000 sec  11.2 MBytes  93.7 Mbits/sec
[  2] 0.0000-1.0000 sec  8.50 MBytes  71.3 Mbits/sec
[  3] 0.0000-1.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  4] 0.0000-1.0000 sec  9.13 MBytes  76.5 Mbits/sec
[  5] 0.0000-1.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  6] 1.0000-2.0000 sec  1.09 MBytes  9.17 Mbits/sec
[  1] 1.0000-2.0000 sec  10.9 MBytes  91.7 Mbits/sec
[  2] 1.0000-2.0000 sec  8.50 MBytes  71.3 Mbits/sec
[  3] 1.0000-2.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  4] 1.0000-2.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  5] 1.0000-2.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  6] 2.0000-3.0000 sec   761 KBytes  6.23 Mbits/sec
[  1] 2.0000-3.0000 sec  11.0 MBytes  92.5 Mbits/sec
[  2] 2.0000-3.0000 sec  8.50 MBytes  71.3 Mbits/sec
[  3] 2.0000-3.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  4] 2.0000-3.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  5] 2.0000-3.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 3.0000-4.0000 sec  11.3 MBytes  94.6 Mbits/sec
[  2] 3.0000-4.0000 sec  8.50 MBytes  71.3 Mbits/sec
[  3] 3.0000-4.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  6] 3.0000-4.0000 sec   605 KBytes  4.96 Mbits/sec
[  4] 3.0000-4.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  5] 3.0000-4.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 4.0000-5.0000 sec  11.1 MBytes  93.4 Mbits/sec
[  2] 4.0000-5.0000 sec  8.50 MBytes  71.3 Mbits/sec
[  3] 4.0000-5.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  4] 4.0000-5.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  6] 4.0000-5.0000 sec   457 KBytes  3.74 Mbits/sec
[  5] 4.0000-5.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 5.0000-6.0000 sec  10.6 MBytes  89.1 Mbits/sec
[  2] 5.0000-6.0000 sec  8.50 MBytes  71.3 Mbits/sec
[  3] 5.0000-6.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  4] 5.0000-6.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  5] 5.0000-6.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  6] 5.0000-6.0000 sec   404 KBytes  3.31 Mbits/sec
[  6] 6.0000-7.0000 sec   382 KBytes  3.13 Mbits/sec
[  1] 6.0000-7.0000 sec  11.3 MBytes  95.2 Mbits/sec
[  2] 6.0000-7.0000 sec  8.50 MBytes  71.3 Mbits/sec
[  3] 6.0000-7.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  4] 6.0000-7.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  5] 6.0000-7.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  6] 7.0000-8.0000 sec   413 KBytes  3.38 Mbits/sec
[  1] 7.0000-8.0000 sec  11.1 MBytes  93.5 Mbits/sec
[  2] 7.0000-8.0000 sec  8.50 MBytes  71.3 Mbits/sec
[  3] 7.0000-8.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  4] 7.0000-8.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  5] 7.0000-8.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 8.0000-9.0000 sec  11.3 MBytes  94.7 Mbits/sec
[  2] 8.0000-9.0000 sec  8.50 MBytes  71.3 Mbits/sec
[  6] 8.0000-9.0000 sec   479 KBytes  3.93 Mbits/sec
[  3] 8.0000-9.0000 sec  8.38 MBytes  70.3 Mbits/sec
