------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.5.2 port 5001 connected with 192.168.3.2 port 45314
[  2] local 192.168.5.2 port 5001 connected with 192.168.7.2 port 60260
[  3] local 192.168.5.2 port 5001 connected with 192.168.2.2 port 36088
[  4] local 192.168.5.2 port 5001 connected with 192.168.6.2 port 33806
[  5] local 192.168.5.2 port 5001 connected with 192.168.4.2 port 45402
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 0.0000-1.0000 sec  4.16 MBytes  34.9 Mbits/sec
[  2] 0.0000-1.0000 sec  2.73 MBytes  22.9 Mbits/sec
[  4] 0.0000-1.0000 sec   947 KBytes  7.76 Mbits/sec
[  5] 0.0000-1.0000 sec   269 KBytes  2.20 Mbits/sec
[  1] 1.0000-2.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 1.0000-2.0000 sec  3.94 MBytes  33.1 Mbits/sec
[  2] 1.0000-2.0000 sec  2.56 MBytes  21.5 Mbits/sec
[  4] 1.0000-2.0000 sec   897 KBytes  7.34 Mbits/sec
[  5] 1.0000-2.0000 sec   228 KBytes  1.87 Mbits/sec
[  1] 2.0000-3.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  2] 2.0000-3.0000 sec  2.28 MBytes  19.1 Mbits/sec
[  3] 2.0000-3.0000 sec  2.97 MBytes  25.0 Mbits/sec
[  5] 2.0000-3.0000 sec   184 KBytes  1.51 Mbits/sec
[  4] 2.0000-3.0000 sec   781 KBytes  6.39 Mbits/sec
[  1] 3.0000-4.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 3.0000-4.0000 sec  2.43 MBytes  20.4 Mbits/sec
[  2] 3.0000-4.0000 sec  1.84 MBytes  15.4 Mbits/sec
[  4] 3.0000-4.0000 sec   686 KBytes  5.62 Mbits/sec
[  5] 3.0000-4.0000 sec   214 KBytes  1.75 Mbits/sec
[  1] 4.0000-5.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 4.0000-5.0000 sec  2.29 MBytes  19.2 Mbits/sec
[  4] 4.0000-5.0000 sec   700 KBytes  5.73 Mbits/sec
[  5] 4.0000-5.0000 sec   163 KBytes  1.33 Mbits/sec
[  2] 4.0000-5.0000 sec  1.42 MBytes  11.9 Mbits/sec
[  1] 5.0000-6.0000 sec  6.35 MBytes  53.3 Mbits/sec
[  2] 5.0000-6.0000 sec  1.04 MBytes  8.70 Mbits/sec
[  3] 5.0000-6.0000 sec  1.90 MBytes  15.9 Mbits/sec
[  4] 5.0000-6.0000 sec   691 KBytes  5.66 Mbits/sec
[  5] 5.0000-6.0000 sec   192 KBytes  1.58 Mbits/sec
[  1] 6.0000-7.0000 sec  4.43 MBytes  37.2 Mbits/sec
[  3] 6.0000-7.0000 sec  3.27 MBytes  27.4 Mbits/sec
[  4] 6.0000-7.0000 sec   663 KBytes  5.43 Mbits/sec
[  5] 6.0000-7.0000 sec   235 KBytes  1.92 Mbits/sec
[  2] 6.0000-7.0000 sec  1.42 MBytes  11.9 Mbits/sec
[  1] 7.0000-8.0000 sec  4.25 MBytes  35.7 Mbits/sec
[  2] 7.0000-8.0000 sec  1.19 MBytes  10.0 Mbits/sec
[  3] 7.0000-8.0000 sec  3.77 MBytes  31.6 Mbits/sec
[  5] 7.0000-8.0000 sec   318 KBytes  2.61 Mbits/sec
[  4] 7.0000-8.0000 sec   898 KBytes  7.36 Mbits/sec
[  1] 8.0000-9.0000 sec  4.46 MBytes  37.4 Mbits/sec
[  3] 8.0000-9.0000 sec  3.77 MBytes  31.7 Mbits/sec
[  2] 8.0000-9.0000 sec  1.31 MBytes  11.0 Mbits/sec
[  4] 8.0000-9.0000 sec   891 KBytes  7.30 Mbits/sec
[  5] 8.0000-9.0000 sec   443 KBytes  3.63 Mbits/sec
[  1] 9.0000-10.0000 sec  4.69 MBytes  39.3 Mbits/sec
[  2] 9.0000-10.0000 sec  1.19 MBytes  9.97 Mbits/sec
[  3] 9.0000-10.0000 sec  3.98 MBytes  33.4 Mbits/sec
[  4] 9.0000-10.0000 sec   928 KBytes  7.60 Mbits/sec
[  5] 9.0000-10.0000 sec   542 KBytes  4.44 Mbits/sec
[  1] 0.0000-10.2388 sec  57.3 MBytes  46.9 Mbits/sec
[  3] 10.0000-10.7893 sec  3.27 MBytes  34.7 Mbits/sec
[  3] 0.0000-10.7893 sec  35.8 MBytes  27.8 Mbits/sec
[  2] 10.0000-11.0000 sec  1.27 MBytes  10.6 Mbits/sec
[  4] 10.0000-11.0000 sec   793 KBytes  6.50 Mbits/sec
[  5] 10.0000-11.0000 sec   396 KBytes  3.24 Mbits/sec
[  2] 11.0000-11.5086 sec  1.37 MBytes  22.6 Mbits/sec
[  2] 0.0000-11.5086 sec  19.6 MBytes  14.3 Mbits/sec
[  4] 11.0000-11.5572 sec  1.43 MBytes  21.6 Mbits/sec
[  4] 0.0000-11.5572 sec  10.1 MBytes  7.33 Mbits/sec
[  5] 11.0000-11.5719 sec  1.30 MBytes  19.1 Mbits/sec
[  5] 0.0000-11.5719 sec  4.41 MBytes  3.20 Mbits/sec
