------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.5.2 port 5001 connected with 192.168.2.2 port 47860
[  2] local 192.168.5.2 port 5001 connected with 192.168.1.2 port 52990
[  3] local 192.168.5.2 port 5001 connected with 192.168.4.2 port 43538
[  4] local 192.168.5.2 port 5001 connected with 192.168.3.2 port 52424
[  5] local 192.168.5.2 port 5001 connected with 192.168.6.2 port 47964
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  2.15 MBytes  18.1 Mbits/sec
[  2] 0.0000-1.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  3] 0.0000-1.0000 sec  5.78 MBytes  48.4 Mbits/sec
[  5] 0.0000-1.0000 sec   964 KBytes  7.90 Mbits/sec
[  4] 0.0000-1.0000 sec   949 KBytes  7.77 Mbits/sec
[  1] 1.0000-2.0000 sec  2.98 MBytes  25.0 Mbits/sec
[  2] 1.0000-2.0000 sec  1.02 MBytes  8.53 Mbits/sec
[  3] 1.0000-2.0000 sec  7.76 MBytes  65.1 Mbits/sec
[  4] 1.0000-2.0000 sec   799 KBytes  6.54 Mbits/sec
[  5] 1.0000-2.0000 sec   785 KBytes  6.43 Mbits/sec
[  1] 2.0000-3.0000 sec  4.74 MBytes  39.8 Mbits/sec
[  3] 2.0000-3.0000 sec  7.97 MBytes  66.9 Mbits/sec
[  4] 2.0000-3.0000 sec   991 KBytes  8.12 Mbits/sec
[  5] 2.0000-3.0000 sec   885 KBytes  7.25 Mbits/sec
[  2] 2.0000-3.0000 sec  1.01 MBytes  8.50 Mbits/sec
[  1] 3.0000-4.0000 sec  7.73 MBytes  64.8 Mbits/sec
[  3] 3.0000-4.0000 sec  8.21 MBytes  68.8 Mbits/sec
[  4] 3.0000-4.0000 sec   923 KBytes  7.56 Mbits/sec
[  5] 3.0000-4.0000 sec   761 KBytes  6.23 Mbits/sec
[  2] 3.0000-4.0000 sec  1.01 MBytes  8.44 Mbits/sec
[  1] 4.0000-5.0000 sec  9.87 MBytes  82.8 Mbits/sec
[  2] 4.0000-5.0000 sec  1.02 MBytes  8.55 Mbits/sec
[  3] 4.0000-5.0000 sec  8.40 MBytes  70.5 Mbits/sec
[  4] 4.0000-5.0000 sec   861 KBytes  7.05 Mbits/sec
[  5] 4.0000-5.0000 sec   844 KBytes  6.92 Mbits/sec
[  1] 5.0000-6.0000 sec  9.99 MBytes  83.8 Mbits/sec
[  3] 5.0000-6.0000 sec  8.58 MBytes  71.9 Mbits/sec
[  2] 5.0000-6.0000 sec  1.08 MBytes  9.05 Mbits/sec
[  4] 5.0000-6.0000 sec   805 KBytes  6.59 Mbits/sec
[  5] 5.0000-6.0000 sec   897 KBytes  7.34 Mbits/sec
[  1] 6.0000-7.0000 sec  9.85 MBytes  82.7 Mbits/sec
[  2] 6.0000-7.0000 sec  1.04 MBytes  8.72 Mbits/sec
[  3] 6.0000-7.0000 sec  8.88 MBytes  74.5 Mbits/sec
[  5] 6.0000-7.0000 sec   935 KBytes  7.66 Mbits/sec
[  4] 6.0000-7.0000 sec   880 KBytes  7.21 Mbits/sec
[  1] 7.0000-8.0000 sec  9.73 MBytes  81.6 Mbits/sec
[  2] 7.0000-8.0000 sec  1.23 MBytes  10.4 Mbits/sec
[  3] 7.0000-8.0000 sec  6.91 MBytes  57.9 Mbits/sec
[  4] 7.0000-8.0000 sec   957 KBytes  7.84 Mbits/sec
[  5] 7.0000-8.0000 sec   945 KBytes  7.74 Mbits/sec
[  1] 8.0000-9.0000 sec  9.19 MBytes  77.1 Mbits/sec
[  2] 8.0000-9.0000 sec  2.98 MBytes  25.0 Mbits/sec
[  3] 8.0000-9.0000 sec  10.8 MBytes  90.5 Mbits/sec
[  5] 8.0000-9.0000 sec  1.95 MBytes  16.4 Mbits/sec
[  4] 8.0000-9.0000 sec   233 KBytes  1.91 Mbits/sec
[  1] 9.0000-10.0000 sec  9.71 MBytes  81.4 Mbits/sec
[  2] 9.0000-10.0000 sec  3.44 MBytes  28.8 Mbits/sec
[  3] 9.0000-10.0000 sec  8.15 MBytes  68.3 Mbits/sec
[  4] 9.0000-10.0000 sec  1.12 MBytes  9.37 Mbits/sec
[  5] 9.0000-10.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  5] 10.0000-10.6050 sec  1.84 MBytes  25.6 Mbits/sec
[  5] 0.0000-10.6050 sec  12.3 MBytes  9.70 Mbits/sec
[  2] 10.0000-10.7818 sec  3.85 MBytes  41.4 Mbits/sec
[  2] 0.0000-10.7818 sec  19.1 MBytes  14.9 Mbits/sec
[  1] 10.0000-11.0000 sec  9.50 MBytes  79.7 Mbits/sec
[  4] 10.0000-11.0000 sec   717 KBytes  5.87 Mbits/sec
[  3] 10.0000-11.0000 sec  7.85 MBytes  65.8 Mbits/sec
[  1] 11.0000-11.3578 sec  3.08 MBytes  72.3 Mbits/sec
[  1] 0.0000-11.3578 sec  88.5 MBytes  65.4 Mbits/sec
[  4] 11.0000-11.4801 sec  1.60 MBytes  28.0 Mbits/sec
[  4] 0.0000-11.4801 sec  10.6 MBytes  7.78 Mbits/sec
[  3] 11.0000-11.8392 sec  6.02 MBytes  60.2 Mbits/sec
[  3] 0.0000-11.8392 sec  95.3 MBytes  67.5 Mbits/sec
