------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.2.2 port 5001 connected with 192.168.4.2 port 39654
[  2] local 192.168.2.2 port 5001 connected with 192.168.3.2 port 42544
[  3] local 192.168.2.2 port 5001 connected with 192.168.9.2 port 49596
[  4] local 192.168.2.2 port 5001 connected with 192.168.10.2 port 57722
[  5] local 192.168.2.2 port 5001 connected with 192.168.8.2 port 52002
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  5.68 MBytes  47.7 Mbits/sec
[  2] 0.0000-1.0000 sec  4.20 MBytes  35.2 Mbits/sec
[  3] 0.0000-1.0000 sec  4.62 MBytes  38.7 Mbits/sec
[  4] 0.0000-1.0000 sec  6.91 MBytes  58.0 Mbits/sec
[  5] 0.0000-1.0000 sec  3.32 MBytes  27.9 Mbits/sec
[  1] 1.0000-2.0000 sec  4.98 MBytes  41.8 Mbits/sec
[  2] 1.0000-2.0000 sec  4.39 MBytes  36.9 Mbits/sec
[  3] 1.0000-2.0000 sec  6.69 MBytes  56.1 Mbits/sec
[  4] 1.0000-2.0000 sec  7.01 MBytes  58.8 Mbits/sec
[  5] 1.0000-2.0000 sec  2.54 MBytes  21.3 Mbits/sec
[  1] 2.0000-3.0000 sec  4.81 MBytes  40.3 Mbits/sec
[  2] 2.0000-3.0000 sec  4.31 MBytes  36.2 Mbits/sec
[  5] 2.0000-3.0000 sec  2.05 MBytes  17.2 Mbits/sec
[  3] 2.0000-3.0000 sec  5.57 MBytes  46.7 Mbits/sec
[  4] 2.0000-3.0000 sec  7.08 MBytes  59.4 Mbits/sec
[  1] 3.0000-4.0000 sec  4.65 MBytes  39.0 Mbits/sec
[  2] 3.0000-4.0000 sec  4.20 MBytes  35.2 Mbits/sec
[  3] 3.0000-4.0000 sec  6.97 MBytes  58.5 Mbits/sec
[  4] 3.0000-4.0000 sec  7.20 MBytes  60.4 Mbits/sec
[  5] 3.0000-4.0000 sec  2.50 MBytes  20.9 Mbits/sec
[  1] 4.0000-5.0000 sec  4.58 MBytes  38.4 Mbits/sec
[  2] 4.0000-5.0000 sec  4.13 MBytes  34.7 Mbits/sec
[  3] 4.0000-5.0000 sec  6.80 MBytes  57.1 Mbits/sec
[  4] 4.0000-5.0000 sec  7.26 MBytes  60.9 Mbits/sec
[  5] 4.0000-5.0000 sec  2.65 MBytes  22.3 Mbits/sec
[  1] 5.0000-6.0000 sec  4.08 MBytes  34.3 Mbits/sec
[  2] 5.0000-6.0000 sec  4.08 MBytes  34.2 Mbits/sec
[  3] 5.0000-6.0000 sec  6.58 MBytes  55.2 Mbits/sec
[  5] 5.0000-6.0000 sec  2.79 MBytes  23.4 Mbits/sec
[  4] 5.0000-6.0000 sec  7.32 MBytes  61.4 Mbits/sec
[  1] 6.0000-7.0000 sec  3.96 MBytes  33.2 Mbits/sec
[  2] 6.0000-7.0000 sec  4.05 MBytes  34.0 Mbits/sec
[  5] 6.0000-7.0000 sec  2.71 MBytes  22.7 Mbits/sec
[  3] 6.0000-7.0000 sec  6.55 MBytes  55.0 Mbits/sec
[  4] 6.0000-7.0000 sec  7.35 MBytes  61.7 Mbits/sec
[  1] 7.0000-8.0000 sec  3.91 MBytes  32.8 Mbits/sec
[  2] 7.0000-8.0000 sec  4.03 MBytes  33.8 Mbits/sec
[  3] 7.0000-8.0000 sec  6.51 MBytes  54.6 Mbits/sec
[  4] 7.0000-8.0000 sec  7.37 MBytes  61.8 Mbits/sec
[  5] 7.0000-8.0000 sec  2.67 MBytes  22.4 Mbits/sec
[  1] 8.0000-9.0000 sec  3.82 MBytes  32.0 Mbits/sec
[  2] 8.0000-9.0000 sec  4.02 MBytes  33.7 Mbits/sec
[  3] 8.0000-9.0000 sec  6.29 MBytes  52.8 Mbits/sec
[  4] 8.0000-9.0000 sec  7.37 MBytes  61.8 Mbits/sec
[  5] 8.0000-9.0000 sec  2.82 MBytes  23.7 Mbits/sec
[  1] 9.0000-10.0000 sec  3.82 MBytes  32.0 Mbits/sec
[  2] 9.0000-10.0000 sec  4.04 MBytes  33.8 Mbits/sec
[  5] 9.0000-10.0000 sec  3.19 MBytes  26.8 Mbits/sec
[  3] 9.0000-10.0000 sec  6.00 MBytes  50.4 Mbits/sec
[  4] 9.0000-10.0000 sec  7.37 MBytes  61.8 Mbits/sec
[  3] 10.0000-10.4856 sec  2.78 MBytes  48.1 Mbits/sec
[  3] 0.0000-10.4856 sec  65.4 MBytes  52.3 Mbits/sec
[  5] 10.0000-10.6140 sec  2.76 MBytes  37.7 Mbits/sec
[  5] 0.0000-10.6140 sec  30.0 MBytes  23.7 Mbits/sec
[  1] 10.0000-10.6329 sec  2.46 MBytes  32.6 Mbits/sec
[  1] 0.0000-10.6329 sec  46.8 MBytes  36.9 Mbits/sec
[  2] 10.0000-11.0000 sec  3.93 MBytes  33.0 Mbits/sec
[  4] 10.0000-11.0000 sec  7.16 MBytes  60.1 Mbits/sec
[  4] 11.0000-11.3503 sec  1.96 MBytes  47.0 Mbits/sec
[  4] 0.0000-11.3503 sec  81.4 MBytes  60.1 Mbits/sec
[  2] 11.0000-11.6667 sec  5.85 MBytes  73.6 Mbits/sec
[  2] 0.0000-11.6667 sec  51.2 MBytes  36.8 Mbits/sec
