------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.2 port 5001 connected with 192.168.5.2 port 55076
[  2] local 192.168.1.2 port 5001 connected with 192.168.2.2 port 34650
[  3] local 192.168.1.2 port 5001 connected with 192.168.3.2 port 58998
[  4] local 192.168.1.2 port 5001 connected with 192.168.4.2 port 53464
[  5] local 192.168.1.2 port 5001 connected with 192.168.6.2 port 55684
[  6] local 192.168.1.2 port 5001 connected with 192.168.7.2 port 57118
[  7] local 192.168.1.2 port 5001 connected with 192.168.9.2 port 37680
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  9.63 MBytes  80.7 Mbits/sec
[  2] 0.0000-1.0000 sec  2.11 MBytes  17.7 Mbits/sec
[  3] 0.0000-1.0000 sec   929 KBytes  7.61 Mbits/sec
[  7] 0.0000-1.0000 sec   892 KBytes  7.31 Mbits/sec
[  4] 0.0000-1.0000 sec   931 KBytes  7.62 Mbits/sec
[  5] 0.0000-1.0000 sec   929 KBytes  7.61 Mbits/sec
[  6] 0.0000-1.0000 sec   585 KBytes  4.80 Mbits/sec
[  3] 1.0000-2.0000 sec  1021 KBytes  8.36 Mbits/sec
[  1] 1.0000-2.0000 sec  9.62 MBytes  80.7 Mbits/sec
[  2] 1.0000-2.0000 sec  2.40 MBytes  20.1 Mbits/sec
[  4] 1.0000-2.0000 sec   976 KBytes  7.99 Mbits/sec
[  6] 1.0000-2.0000 sec   358 KBytes  2.93 Mbits/sec
[  7] 1.0000-2.0000 sec   805 KBytes  6.59 Mbits/sec
[  5] 1.0000-2.0000 sec  1.10 MBytes  9.24 Mbits/sec
[  2] 2.0000-3.0000 sec  3.38 MBytes  28.4 Mbits/sec
[  1] 2.0000-3.0000 sec  9.62 MBytes  80.7 Mbits/sec
[  3] 2.0000-3.0000 sec  1.36 MBytes  11.4 Mbits/sec
[  4] 2.0000-3.0000 sec  1.08 MBytes  9.09 Mbits/sec
[  7] 2.0000-3.0000 sec   772 KBytes  6.32 Mbits/sec
[  5] 2.0000-3.0000 sec  1.39 MBytes  11.7 Mbits/sec
[  6] 2.0000-3.0000 sec   365 KBytes  2.99 Mbits/sec
[  2] 3.0000-4.0000 sec  3.88 MBytes  32.5 Mbits/sec
[  3] 3.0000-4.0000 sec  1.60 MBytes  13.4 Mbits/sec
[  1] 3.0000-4.0000 sec  9.62 MBytes  80.7 Mbits/sec
[  5] 3.0000-4.0000 sec  1.67 MBytes  14.0 Mbits/sec
[  7] 3.0000-4.0000 sec   752 KBytes  6.16 Mbits/sec
[  6] 3.0000-4.0000 sec   293 KBytes  2.40 Mbits/sec
[  4] 3.0000-4.0000 sec  1.20 MBytes  10.1 Mbits/sec
[  3] 4.0000-5.0000 sec  1.51 MBytes  12.7 Mbits/sec
[  1] 4.0000-5.0000 sec  9.62 MBytes  80.7 Mbits/sec
[  4] 4.0000-5.0000 sec   918 KBytes  7.52 Mbits/sec
[  5] 4.0000-5.0000 sec  2.07 MBytes  17.3 Mbits/sec
[  2] 4.0000-5.0000 sec  4.98 MBytes  41.7 Mbits/sec
