------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.6.2 port 5001 connected with 192.168.1.2 port 45122
[  2] local 192.168.6.2 port 5001 connected with 192.168.9.2 port 38182
[  3] local 192.168.6.2 port 5001 connected with 192.168.5.2 port 44164
[  4] local 192.168.6.2 port 5001 connected with 192.168.7.2 port 45458
[  5] local 192.168.6.2 port 5001 connected with 192.168.10.2 port 58200
[  6] local 192.168.6.2 port 5001 connected with 192.168.4.2 port 34092
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  6.93 MBytes  58.2 Mbits/sec
[  3] 0.0000-1.0000 sec  1.45 MBytes  12.1 Mbits/sec
[  4] 0.0000-1.0000 sec  2.52 MBytes  21.1 Mbits/sec
[  1] 0.0000-1.0000 sec   547 KBytes  4.48 Mbits/sec
[  5] 0.0000-1.0000 sec  1.69 MBytes  14.2 Mbits/sec
[  6] 0.0000-1.0000 sec   441 KBytes  3.61 Mbits/sec
[  1] 1.0000-2.0000 sec   457 KBytes  3.74 Mbits/sec
[  2] 1.0000-2.0000 sec  7.67 MBytes  64.3 Mbits/sec
[  3] 1.0000-2.0000 sec  1.41 MBytes  11.8 Mbits/sec
[  4] 1.0000-2.0000 sec  1.89 MBytes  15.8 Mbits/sec
[  6] 1.0000-2.0000 sec   489 KBytes  4.01 Mbits/sec
[  5] 1.0000-2.0000 sec  2.20 MBytes  18.4 Mbits/sec
[  2] 2.0000-3.0000 sec  8.13 MBytes  68.2 Mbits/sec
[  3] 2.0000-3.0000 sec  1.23 MBytes  10.3 Mbits/sec
[  4] 2.0000-3.0000 sec  1.64 MBytes  13.7 Mbits/sec
[  1] 2.0000-3.0000 sec   526 KBytes  4.31 Mbits/sec
[  5] 2.0000-3.0000 sec  2.53 MBytes  21.2 Mbits/sec
[  6] 2.0000-3.0000 sec   512 KBytes  4.19 Mbits/sec
[  2] 3.0000-4.0000 sec  8.61 MBytes  72.3 Mbits/sec
[  1] 3.0000-4.0000 sec   491 KBytes  4.02 Mbits/sec
[  5] 3.0000-4.0000 sec  3.22 MBytes  27.0 Mbits/sec
[  6] 3.0000-4.0000 sec   486 KBytes  3.98 Mbits/sec
[  3] 3.0000-4.0000 sec  1.23 MBytes  10.3 Mbits/sec
[  4] 3.0000-4.0000 sec  1.20 MBytes  10.1 Mbits/sec
[  1] 4.0000-5.0000 sec   445 KBytes  3.65 Mbits/sec
[  2] 4.0000-5.0000 sec  8.59 MBytes  72.1 Mbits/sec
[  5] 4.0000-5.0000 sec  3.91 MBytes  32.8 Mbits/sec
[  3] 4.0000-5.0000 sec  1.25 MBytes  10.5 Mbits/sec
[  4] 4.0000-5.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  6] 4.0000-5.0000 sec   460 KBytes  3.76 Mbits/sec
[  1] 5.0000-6.0000 sec   379 KBytes  3.10 Mbits/sec
[  5] 5.0000-6.0000 sec  4.73 MBytes  39.7 Mbits/sec
[  2] 5.0000-6.0000 sec  8.51 MBytes  71.4 Mbits/sec
[  3] 5.0000-6.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  4] 5.0000-6.0000 sec  1.46 MBytes  12.3 Mbits/sec
[  6] 5.0000-6.0000 sec   421 KBytes  3.45 Mbits/sec
[  2] 6.0000-7.0000 sec  8.49 MBytes  71.2 Mbits/sec
[  3] 6.0000-7.0000 sec  1.44 MBytes  12.0 Mbits/sec
[  4] 6.0000-7.0000 sec  1.48 MBytes  12.4 Mbits/sec
[  5] 6.0000-7.0000 sec  5.40 MBytes  45.3 Mbits/sec
[  6] 6.0000-7.0000 sec   395 KBytes  3.23 Mbits/sec
[  1] 6.0000-7.0000 sec   409 KBytes  3.35 Mbits/sec
[  1] 7.0000-8.0000 sec   431 KBytes  3.53 Mbits/sec
[  2] 7.0000-8.0000 sec  8.34 MBytes  70.0 Mbits/sec
[  3] 7.0000-8.0000 sec  1.22 MBytes  10.2 Mbits/sec
[  4] 7.0000-8.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  5] 7.0000-8.0000 sec  5.55 MBytes  46.6 Mbits/sec
[  6] 7.0000-8.0000 sec   421 KBytes  3.45 Mbits/sec
[  1] 8.0000-9.0000 sec   178 KBytes  1.46 Mbits/sec
[  5] 8.0000-9.0000 sec  5.53 MBytes  46.3 Mbits/sec
[  3] 8.0000-9.0000 sec  2.16 MBytes  18.1 Mbits/sec
[  4] 8.0000-9.0000 sec  1.18 MBytes  9.93 Mbits/sec
[  2] 8.0000-9.0000 sec  5.47 MBytes  45.9 Mbits/sec
[  6] 8.0000-9.0000 sec   281 KBytes  2.31 Mbits/sec
[  1] 9.0000-10.0000 sec   820 KBytes  6.72 Mbits/sec
[  2] 9.0000-10.0000 sec  10.4 MBytes  87.2 Mbits/sec
[  3] 9.0000-10.0000 sec  1.68 MBytes  14.1 Mbits/sec
[  4] 9.0000-10.0000 sec  2.04 MBytes  17.1 Mbits/sec
[  5] 9.0000-10.0000 sec  5.70 MBytes  47.8 Mbits/sec
[  6] 9.0000-10.0000 sec   696 KBytes  5.70 Mbits/sec
[  2] 10.0000-10.7686 sec  5.22 MBytes  57.0 Mbits/sec
[  2] 0.0000-10.7686 sec  86.4 MBytes  67.3 Mbits/sec
[  4] 10.0000-10.8316 sec  2.23 MBytes  22.5 Mbits/sec
[  4] 0.0000-10.8316 sec  18.4 MBytes  14.3 Mbits/sec
[  3] 10.0000-11.0000 sec  1.76 MBytes  14.8 Mbits/sec
[  1] 10.0000-11.0000 sec   725 KBytes  5.94 Mbits/sec
[  5] 10.0000-11.0000 sec  5.69 MBytes  47.7 Mbits/sec
[  6] 10.0000-11.0000 sec  1.17 MBytes  9.81 Mbits/sec
[  5] 0.0000-11.0520 sec  46.6 MBytes  35.3 Mbits/sec
[  6] 0.0000-11.1242 sec  5.86 MBytes  4.42 Mbits/sec
[  3] 11.0000-11.3873 sec  1.33 MBytes  28.8 Mbits/sec
[  3] 0.0000-11.3873 sec  17.4 MBytes  12.8 Mbits/sec
[  1] 11.0000-11.8211 sec   691 KBytes  6.90 Mbits/sec
[  1] 0.0000-11.8211 sec  5.96 MBytes  4.23 Mbits/sec
