------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.9.2 port 5001 connected with 192.168.2.2 port 34488
[  2] local 192.168.9.2 port 5001 connected with 192.168.4.2 port 55634
[  4] local 192.168.9.2 port 5001 connected with 192.168.6.2 port 35398
[  5] local 192.168.9.2 port 5001 connected with 192.168.7.2 port 54696
[  6] local 192.168.9.2 port 5001 connected with 192.168.5.2 port 55026
[  3] local 192.168.9.2 port 5001 connected with 192.168.1.2 port 53752
[ ID] Interval       Transfer     Bandwidth
[  5] 0.0000-1.0000 sec  10.6 MBytes  89.1 Mbits/sec
[  6] 0.0000-1.0000 sec  3.01 MBytes  25.3 Mbits/sec
[  1] 0.0000-1.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  2] 0.0000-1.0000 sec  3.68 MBytes  30.9 Mbits/sec
[  3] 0.0000-1.0000 sec  7.55 MBytes  63.3 Mbits/sec
[  4] 0.0000-1.0000 sec  6.65 MBytes  55.8 Mbits/sec
[  5] 1.0000-2.0000 sec  11.0 MBytes  92.7 Mbits/sec
[  1] 1.0000-2.0000 sec  8.13 MBytes  68.2 Mbits/sec
[  2] 1.0000-2.0000 sec  3.43 MBytes  28.8 Mbits/sec
[  3] 1.0000-2.0000 sec  7.44 MBytes  62.4 Mbits/sec
[  4] 1.0000-2.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  6] 1.0000-2.0000 sec  2.03 MBytes  17.0 Mbits/sec
[  1] 2.0000-3.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  2] 2.0000-3.0000 sec  4.27 MBytes  35.8 Mbits/sec
[  3] 2.0000-3.0000 sec  6.90 MBytes  57.9 Mbits/sec
[  4] 2.0000-3.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  5] 2.0000-3.0000 sec  11.3 MBytes  94.4 Mbits/sec
[  6] 2.0000-3.0000 sec  1.63 MBytes  13.7 Mbits/sec
[  1] 3.0000-4.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  2] 3.0000-4.0000 sec  5.21 MBytes  43.7 Mbits/sec
[  3] 3.0000-4.0000 sec  5.97 MBytes  50.1 Mbits/sec
[  4] 3.0000-4.0000 sec  6.60 MBytes  55.3 Mbits/sec
[  5] 3.0000-4.0000 sec  11.2 MBytes  93.9 Mbits/sec
[  6] 3.0000-4.0000 sec  1.34 MBytes  11.2 Mbits/sec
[  5] 4.0000-5.0000 sec  11.2 MBytes  94.1 Mbits/sec
[  1] 4.0000-5.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  2] 4.0000-5.0000 sec  5.62 MBytes  47.1 Mbits/sec
[  3] 4.0000-5.0000 sec  5.28 MBytes  44.3 Mbits/sec
[  4] 4.0000-5.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  6] 4.0000-5.0000 sec  1.08 MBytes  9.08 Mbits/sec
[  1] 5.0000-6.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  2] 5.0000-6.0000 sec  4.10 MBytes  34.4 Mbits/sec
[  3] 5.0000-6.0000 sec  4.36 MBytes  36.5 Mbits/sec
[  4] 5.0000-6.0000 sec  6.65 MBytes  55.8 Mbits/sec
[  5] 5.0000-6.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  6] 5.0000-6.0000 sec  1.19 MBytes  9.95 Mbits/sec
[  5] 6.0000-7.0000 sec  11.2 MBytes  94.3 Mbits/sec
[  6] 6.0000-7.0000 sec  1010 KBytes  8.27 Mbits/sec
[  1] 6.0000-7.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  2] 6.0000-7.0000 sec  3.07 MBytes  25.8 Mbits/sec
[  3] 6.0000-7.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  4] 6.0000-7.0000 sec  6.63 MBytes  55.6 Mbits/sec
[  5] 7.0000-8.0000 sec  11.3 MBytes  94.6 Mbits/sec
[  6] 7.0000-8.0000 sec  1.03 MBytes  8.64 Mbits/sec
[  1] 7.0000-8.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  2] 7.0000-8.0000 sec  2.50 MBytes  21.0 Mbits/sec
[  3] 7.0000-8.0000 sec  3.07 MBytes  25.8 Mbits/sec
[  4] 7.0000-8.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  5] 8.0000-9.0000 sec  11.3 MBytes  94.9 Mbits/sec
[  1] 8.0000-9.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  3] 8.0000-9.0000 sec  2.62 MBytes  22.0 Mbits/sec
[  4] 8.0000-9.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  6] 8.0000-9.0000 sec  1.05 MBytes  8.82 Mbits/sec
[  2] 8.0000-9.0000 sec  2.12 MBytes  17.7 Mbits/sec
[  1] 9.0000-10.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  3] 9.0000-10.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  4] 9.0000-10.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  5] 9.0000-10.0000 sec  11.3 MBytes  94.5 Mbits/sec
[  1] 0.0000-10.0112 sec  81.4 MBytes  68.2 Mbits/sec
[  2] 9.0000-10.0000 sec  1.99 MBytes  16.7 Mbits/sec
[  4] 0.0000-10.0095 sec  66.4 MBytes  55.6 Mbits/sec
[  6] 9.0000-10.0000 sec  1.14 MBytes  9.56 Mbits/sec
[  5] 0.0000-10.1701 sec   114 MBytes  93.6 Mbits/sec
[  2] 10.0000-10.6059 sec  1.13 MBytes  15.6 Mbits/sec
[  2] 0.0000-10.6059 sec  37.1 MBytes  29.4 Mbits/sec
[  6] 10.0000-10.9771 sec  1.17 MBytes  10.1 Mbits/sec
[  6] 0.0000-10.9771 sec  15.7 MBytes  12.0 Mbits/sec
[  3] 10.0000-11.0000 sec  3.04 MBytes  25.5 Mbits/sec
[  3] 11.0000-11.7668 sec  2.36 MBytes  25.8 Mbits/sec
[  3] 0.0000-11.7668 sec  53.7 MBytes  38.3 Mbits/sec
