------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.6.2 port 5001 connected with 192.168.2.2 port 49170
[  2] local 192.168.6.2 port 5001 connected with 192.168.5.2 port 50446
[  3] local 192.168.6.2 port 5001 connected with 192.168.7.2 port 52606
[  4] local 192.168.6.2 port 5001 connected with 192.168.4.2 port 35414
[  5] local 192.168.6.2 port 5001 connected with 192.168.9.2 port 34426
[  6] local 192.168.6.2 port 5001 connected with 192.168.1.2 port 34486
[ ID] Interval       Transfer     Bandwidth
[  6] 0.0000-1.0000 sec  3.71 MBytes  31.1 Mbits/sec
[  1] 0.0000-1.0000 sec  1.83 MBytes  15.3 Mbits/sec
[  2] 0.0000-1.0000 sec  7.50 MBytes  62.9 Mbits/sec
[  3] 0.0000-1.0000 sec  6.63 MBytes  55.6 Mbits/sec
[  4] 0.0000-1.0000 sec  7.88 MBytes  66.1 Mbits/sec
[  5] 0.0000-1.0000 sec  4.22 MBytes  35.4 Mbits/sec
[  1] 1.0000-2.0000 sec  1.32 MBytes  11.1 Mbits/sec
[  2] 1.0000-2.0000 sec  8.14 MBytes  68.3 Mbits/sec
[  3] 1.0000-2.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  6] 1.0000-2.0000 sec  3.13 MBytes  26.2 Mbits/sec
[  4] 1.0000-2.0000 sec  7.83 MBytes  65.6 Mbits/sec
[  5] 1.0000-2.0000 sec  4.14 MBytes  34.7 Mbits/sec
[  1] 2.0000-3.0000 sec  1.23 MBytes  10.3 Mbits/sec
[  6] 2.0000-3.0000 sec  2.91 MBytes  24.4 Mbits/sec
[  2] 2.0000-3.0000 sec  8.33 MBytes  69.9 Mbits/sec
[  3] 2.0000-3.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 2.0000-3.0000 sec  7.80 MBytes  65.4 Mbits/sec
[  5] 2.0000-3.0000 sec  4.21 MBytes  35.3 Mbits/sec
[  1] 3.0000-4.0000 sec  1.11 MBytes  9.31 Mbits/sec
[  2] 3.0000-4.0000 sec  8.49 MBytes  71.2 Mbits/sec
[  3] 3.0000-4.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 3.0000-4.0000 sec  7.84 MBytes  65.7 Mbits/sec
[  5] 3.0000-4.0000 sec  3.82 MBytes  32.0 Mbits/sec
[  6] 3.0000-4.0000 sec  2.77 MBytes  23.2 Mbits/sec
[  1] 4.0000-5.0000 sec  1024 KBytes  8.39 Mbits/sec
[  6] 4.0000-5.0000 sec  2.01 MBytes  16.9 Mbits/sec
[  2] 4.0000-5.0000 sec  8.55 MBytes  71.7 Mbits/sec
[  3] 4.0000-5.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 4.0000-5.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  5] 4.0000-5.0000 sec  3.43 MBytes  28.8 Mbits/sec
[  1] 5.0000-6.0000 sec  1007 KBytes  8.25 Mbits/sec
[  2] 5.0000-6.0000 sec  8.27 MBytes  69.4 Mbits/sec
[  3] 5.0000-6.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 5.0000-6.0000 sec  11.1 MBytes  92.8 Mbits/sec
[  5] 5.0000-6.0000 sec  3.40 MBytes  28.5 Mbits/sec
[  6] 5.0000-6.0000 sec  1.86 MBytes  15.6 Mbits/sec
[  1] 6.0000-7.0000 sec  1005 KBytes  8.24 Mbits/sec
[  2] 6.0000-7.0000 sec  8.63 MBytes  72.4 Mbits/sec
[  3] 6.0000-7.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 6.0000-7.0000 sec  11.3 MBytes  94.7 Mbits/sec
[  5] 6.0000-7.0000 sec  3.56 MBytes  29.9 Mbits/sec
[  6] 6.0000-7.0000 sec  1.47 MBytes  12.3 Mbits/sec
[  1] 7.0000-8.0000 sec  1018 KBytes  8.34 Mbits/sec
[  2] 7.0000-8.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  3] 7.0000-8.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 7.0000-8.0000 sec  11.4 MBytes  95.6 Mbits/sec
[  5] 7.0000-8.0000 sec  3.67 MBytes  30.8 Mbits/sec
[  6] 7.0000-8.0000 sec  1.66 MBytes  14.0 Mbits/sec
[  1] 8.0000-9.0000 sec  1007 KBytes  8.25 Mbits/sec
[  2] 8.0000-9.0000 sec  8.72 MBytes  73.1 Mbits/sec
[  6] 8.0000-9.0000 sec  1.53 MBytes  12.8 Mbits/sec
[  3] 8.0000-9.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 8.0000-9.0000 sec  11.4 MBytes  95.5 Mbits/sec
[  5] 8.0000-9.0000 sec  3.72 MBytes  31.2 Mbits/sec
[  1] 9.0000-10.0000 sec  1.07 MBytes  8.98 Mbits/sec
[  2] 9.0000-10.0000 sec  8.12 MBytes  68.2 Mbits/sec
[  3] 9.0000-10.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  6] 9.0000-10.0000 sec  2.51 MBytes  21.1 Mbits/sec
[  3] 0.0000-10.0105 sec  66.4 MBytes  55.6 Mbits/sec
[  5] 9.0000-10.0000 sec  3.75 MBytes  31.5 Mbits/sec
[  4] 9.0000-10.0000 sec  11.3 MBytes  94.7 Mbits/sec
[  2] 0.0000-10.0374 sec  83.9 MBytes  70.1 Mbits/sec
[  6] 10.0000-10.6574 sec  2.97 MBytes  37.9 Mbits/sec
[  6] 0.0000-10.6574 sec  26.5 MBytes  20.9 Mbits/sec
[  1] 10.0000-10.8335 sec  1019 KBytes  10.0 Mbits/sec
[  1] 0.0000-10.8335 sec  12.5 MBytes  9.68 Mbits/sec
[  5] 10.0000-10.8361 sec  3.32 MBytes  33.3 Mbits/sec
[  5] 0.0000-10.8361 sec  41.3 MBytes  31.9 Mbits/sec
[  4] 10.0000-11.0000 sec  11.4 MBytes  95.6 Mbits/sec
[  4] 0.0000-11.1197 sec   111 MBytes  83.7 Mbits/sec
