------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.7.2 port 5001 connected with 192.168.1.2 port 51278
[  2] local 192.168.7.2 port 5001 connected with 192.168.2.2 port 46408
[  3] local 192.168.7.2 port 5001 connected with 192.168.3.2 port 44888
[  4] local 192.168.7.2 port 5001 connected with 192.168.4.2 port 38566
[  5] local 192.168.7.2 port 5001 connected with 192.168.6.2 port 56428
[  6] local 192.168.7.2 port 5001 connected with 192.168.9.2 port 43592
[  7] local 192.168.7.2 port 5001 connected with 192.168.8.2 port 47348
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec   716 KBytes  5.87 Mbits/sec
[  3] 0.0000-1.0000 sec  1.57 MBytes  13.2 Mbits/sec
[  1] 0.0000-1.0000 sec   620 KBytes  5.08 Mbits/sec
[  4] 0.0000-1.0000 sec  1.75 MBytes  14.7 Mbits/sec
[  5] 0.0000-1.0000 sec  5.78 MBytes  48.4 Mbits/sec
[  6] 0.0000-1.0000 sec   597 KBytes  4.89 Mbits/sec
[  7] 0.0000-1.0000 sec   549 KBytes  4.50 Mbits/sec
[  2] 1.0000-2.0000 sec   527 KBytes  4.32 Mbits/sec
[  3] 1.0000-2.0000 sec  1.26 MBytes  10.6 Mbits/sec
[  1] 1.0000-2.0000 sec   503 KBytes  4.12 Mbits/sec
[  6] 1.0000-2.0000 sec   520 KBytes  4.26 Mbits/sec
[  4] 1.0000-2.0000 sec  1.44 MBytes  12.1 Mbits/sec
[  5] 1.0000-2.0000 sec  6.53 MBytes  54.7 Mbits/sec
[  7] 1.0000-2.0000 sec   600 KBytes  4.91 Mbits/sec
[  2] 2.0000-3.0000 sec   609 KBytes  4.99 Mbits/sec
[  3] 2.0000-3.0000 sec  1.11 MBytes  9.34 Mbits/sec
[  4] 2.0000-3.0000 sec  1.20 MBytes  10.1 Mbits/sec
[  5] 2.0000-3.0000 sec  6.96 MBytes  58.4 Mbits/sec
[  6] 2.0000-3.0000 sec   557 KBytes  4.56 Mbits/sec
[  7] 2.0000-3.0000 sec   532 KBytes  4.36 Mbits/sec
[  1] 2.0000-3.0000 sec   437 KBytes  3.58 Mbits/sec
[  2] 3.0000-4.0000 sec   659 KBytes  5.40 Mbits/sec
[  3] 3.0000-4.0000 sec  1.10 MBytes  9.19 Mbits/sec
[  4] 3.0000-4.0000 sec  1.07 MBytes  8.95 Mbits/sec
[  5] 3.0000-4.0000 sec  7.22 MBytes  60.5 Mbits/sec
[  6] 3.0000-4.0000 sec   567 KBytes  4.65 Mbits/sec
[  7] 3.0000-4.0000 sec   437 KBytes  3.58 Mbits/sec
[  1] 3.0000-4.0000 sec   297 KBytes  2.43 Mbits/sec
[  3] 4.0000-5.0000 sec   984 KBytes  8.06 Mbits/sec
[  5] 4.0000-5.0000 sec  7.57 MBytes  63.5 Mbits/sec
[  6] 4.0000-5.0000 sec   527 KBytes  4.32 Mbits/sec
[  4] 4.0000-5.0000 sec   996 KBytes  8.16 Mbits/sec
[  1] 4.0000-5.0000 sec   284 KBytes  2.33 Mbits/sec
[  2] 4.0000-5.0000 sec   605 KBytes  4.96 Mbits/sec
[  7] 4.0000-5.0000 sec   443 KBytes  3.63 Mbits/sec
[  2] 5.0000-6.0000 sec   457 KBytes  3.74 Mbits/sec
[  3] 5.0000-6.0000 sec   954 KBytes  7.82 Mbits/sec
[  1] 5.0000-6.0000 sec   304 KBytes  2.49 Mbits/sec
[  6] 5.0000-6.0000 sec   597 KBytes  4.89 Mbits/sec
[  4] 5.0000-6.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  5] 5.0000-6.0000 sec  7.11 MBytes  59.6 Mbits/sec
[  7] 5.0000-6.0000 sec   619 KBytes  5.07 Mbits/sec
[  2] 6.0000-7.0000 sec   406 KBytes  3.32 Mbits/sec
[  3] 6.0000-7.0000 sec   837 KBytes  6.86 Mbits/sec
[  1] 6.0000-7.0000 sec   385 KBytes  3.15 Mbits/sec
[  4] 6.0000-7.0000 sec  1.92 MBytes  16.1 Mbits/sec
[  5] 6.0000-7.0000 sec  6.26 MBytes  52.5 Mbits/sec
[  6] 6.0000-7.0000 sec   745 KBytes  6.10 Mbits/sec
[  7] 6.0000-7.0000 sec   703 KBytes  5.76 Mbits/sec
[  3] 7.0000-8.0000 sec   645 KBytes  5.28 Mbits/sec
[  2] 7.0000-8.0000 sec   385 KBytes  3.15 Mbits/sec
[  1] 7.0000-8.0000 sec   376 KBytes  3.08 Mbits/sec
[  4] 7.0000-8.0000 sec  1.91 MBytes  16.0 Mbits/sec
[  6] 7.0000-8.0000 sec   537 KBytes  4.40 Mbits/sec
[  5] 7.0000-8.0000 sec  5.22 MBytes  43.8 Mbits/sec
[  7] 7.0000-8.0000 sec   587 KBytes  4.81 Mbits/sec
[  2] 8.0000-9.0000 sec   332 KBytes  2.72 Mbits/sec
[  3] 8.0000-9.0000 sec   771 KBytes  6.31 Mbits/sec
[  4] 8.0000-9.0000 sec  2.07 MBytes  17.4 Mbits/sec
[  1] 8.0000-9.0000 sec   413 KBytes  3.38 Mbits/sec
[  6] 8.0000-9.0000 sec   617 KBytes  5.05 Mbits/sec
[  5] 8.0000-9.0000 sec  6.27 MBytes  52.6 Mbits/sec
[  7] 8.0000-9.0000 sec   645 KBytes  5.28 Mbits/sec
[  2] 9.0000-10.0000 sec   321 KBytes  2.63 Mbits/sec
[  3] 9.0000-10.0000 sec   778 KBytes  6.37 Mbits/sec
[  1] 9.0000-10.0000 sec   376 KBytes  3.08 Mbits/sec
[  4] 9.0000-10.0000 sec  2.18 MBytes  18.3 Mbits/sec
[  5] 9.0000-10.0000 sec  6.21 MBytes  52.1 Mbits/sec
[  7] 9.0000-10.0000 sec   723 KBytes  5.92 Mbits/sec
[  6] 9.0000-10.0000 sec   731 KBytes  5.99 Mbits/sec
[  2] 10.0000-11.0000 sec   803 KBytes  6.58 Mbits/sec
[  3] 10.0000-11.0000 sec  1.59 MBytes  13.3 Mbits/sec
[  1] 10.0000-11.0000 sec   462 KBytes  3.79 Mbits/sec
[  5] 10.0000-11.0000 sec  5.32 MBytes  44.6 Mbits/sec
[  6] 10.0000-11.0000 sec   666 KBytes  5.46 Mbits/sec
[  7] 10.0000-10.9961 sec   718 KBytes  5.91 Mbits/sec
[  7] 0.0000-10.9961 sec  6.40 MBytes  4.88 Mbits/sec
[  4] 10.0000-11.0000 sec  1.79 MBytes  15.0 Mbits/sec
[  4] 0.0000-11.0276 sec  17.6 MBytes  13.4 Mbits/sec
[  6] 0.0000-11.0678 sec  6.55 MBytes  4.96 Mbits/sec
[  2] 0.0000-11.1496 sec  6.00 MBytes  4.51 Mbits/sec
[  3] 0.0000-11.1787 sec  11.8 MBytes  8.88 Mbits/sec
[  1] 11.0000-11.2986 sec   151 KBytes  4.15 Mbits/sec
[  1] 0.0000-11.2986 sec  4.50 MBytes  3.34 Mbits/sec
[  5] 11.0000-11.6095 sec  4.67 MBytes  64.3 Mbits/sec
[  5] 0.0000-11.6095 sec  75.1 MBytes  54.3 Mbits/sec
