------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.3.2 port 5001 connected with 192.168.2.2 port 35284
[  2] local 192.168.3.2 port 5001 connected with 192.168.5.2 port 35916
[  3] local 192.168.3.2 port 5001 connected with 192.168.8.2 port 57058
[  4] local 192.168.3.2 port 5001 connected with 192.168.6.2 port 39916
[  5] local 192.168.3.2 port 5001 connected with 192.168.10.2 port 45386
[  6] local 192.168.3.2 port 5001 connected with 192.168.7.2 port 33334
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  6.65 MBytes  55.8 Mbits/sec
[  2] 0.0000-1.0000 sec  11.4 MBytes  95.6 Mbits/sec
[  3] 0.0000-1.0000 sec  6.63 MBytes  55.6 Mbits/sec
[  4] 0.0000-1.0000 sec  7.16 MBytes  60.1 Mbits/sec
[  5] 0.0000-1.0000 sec  6.88 MBytes  57.7 Mbits/sec
[  6] 0.0000-1.0000 sec   605 KBytes  4.96 Mbits/sec
[  1] 1.0000-2.0000 sec  6.65 MBytes  55.8 Mbits/sec
[  2] 1.0000-2.0000 sec  11.4 MBytes  95.6 Mbits/sec
[  3] 1.0000-2.0000 sec  9.03 MBytes  75.8 Mbits/sec
[  4] 1.0000-2.0000 sec  6.86 MBytes  57.5 Mbits/sec
[  5] 1.0000-2.0000 sec  6.88 MBytes  57.7 Mbits/sec
[  6] 1.0000-2.0000 sec   445 KBytes  3.65 Mbits/sec
[  1] 2.0000-3.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  2] 2.0000-3.0000 sec  11.4 MBytes  95.6 Mbits/sec
[  3] 2.0000-3.0000 sec  9.88 MBytes  82.9 Mbits/sec
[  4] 2.0000-3.0000 sec  8.14 MBytes  68.3 Mbits/sec
[  5] 2.0000-3.0000 sec  6.88 MBytes  57.7 Mbits/sec
[  6] 2.0000-3.0000 sec   482 KBytes  3.95 Mbits/sec
[  1] 3.0000-4.0000 sec  6.59 MBytes  55.3 Mbits/sec
[  2] 3.0000-4.0000 sec  11.3 MBytes  94.8 Mbits/sec
[  3] 3.0000-4.0000 sec  10.1 MBytes  84.3 Mbits/sec
[  4] 3.0000-4.0000 sec  8.95 MBytes  75.1 Mbits/sec
[  5] 3.0000-4.0000 sec  6.88 MBytes  57.7 Mbits/sec
[  6] 3.0000-4.0000 sec   407 KBytes  3.34 Mbits/sec
[  1] 4.0000-5.0000 sec  6.64 MBytes  55.7 Mbits/sec
[  2] 4.0000-5.0000 sec  10.7 MBytes  89.8 Mbits/sec
[  3] 4.0000-5.0000 sec  10.2 MBytes  85.3 Mbits/sec
[  4] 4.0000-5.0000 sec  9.91 MBytes  83.1 Mbits/sec
