------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.7.2 port 5001 connected with 192.168.1.2 port 46602
[  2] local 192.168.7.2 port 5001 connected with 192.168.3.2 port 53016
[  3] local 192.168.7.2 port 5001 connected with 192.168.6.2 port 52906
[  4] local 192.168.7.2 port 5001 connected with 192.168.8.2 port 49618
[  5] local 192.168.7.2 port 5001 connected with 192.168.5.2 port 41686
[  6] local 192.168.7.2 port 5001 connected with 192.168.9.2 port 55352
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.82 MBytes  15.3 Mbits/sec
[  2] 0.0000-1.0000 sec  9.88 MBytes  82.8 Mbits/sec
[  3] 0.0000-1.0000 sec  7.20 MBytes  60.4 Mbits/sec
[  4] 0.0000-1.0000 sec  9.41 MBytes  78.9 Mbits/sec
[  5] 0.0000-1.0000 sec  3.40 MBytes  28.5 Mbits/sec
[  6] 0.0000-1.0000 sec   721 KBytes  5.91 Mbits/sec
[  1] 1.0000-2.0000 sec  1.32 MBytes  11.1 Mbits/sec
[  2] 1.0000-2.0000 sec  9.88 MBytes  82.8 Mbits/sec
[  3] 1.0000-2.0000 sec  8.05 MBytes  67.5 Mbits/sec
[  4] 1.0000-2.0000 sec  9.85 MBytes  82.6 Mbits/sec
[  5] 1.0000-2.0000 sec  2.63 MBytes  22.1 Mbits/sec
[  6] 1.0000-2.0000 sec   494 KBytes  4.04 Mbits/sec
[  1] 2.0000-3.0000 sec  1.35 MBytes  11.3 Mbits/sec
[  2] 2.0000-3.0000 sec  9.88 MBytes  82.8 Mbits/sec
[  3] 2.0000-3.0000 sec  7.62 MBytes  64.0 Mbits/sec
[  4] 2.0000-3.0000 sec  9.92 MBytes  83.3 Mbits/sec
[  5] 2.0000-3.0000 sec  2.59 MBytes  21.8 Mbits/sec
[  6] 2.0000-3.0000 sec   379 KBytes  3.10 Mbits/sec
[  1] 3.0000-4.0000 sec  1.40 MBytes  11.7 Mbits/sec
