------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.7.2 port 5001 connected with 192.168.1.2 port 57002
[  2] local 192.168.7.2 port 5001 connected with 192.168.2.2 port 39008
[  3] local 192.168.7.2 port 5001 connected with 192.168.4.2 port 52310
[  4] local 192.168.7.2 port 5001 connected with 192.168.3.2 port 56144
[  5] local 192.168.7.2 port 5001 connected with 192.168.6.2 port 58804
[  6] local 192.168.7.2 port 5001 connected with 192.168.8.2 port 33666
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.79 MBytes  15.0 Mbits/sec
[  4] 0.0000-1.0000 sec  7.81 MBytes  65.5 Mbits/sec
[  5] 0.0000-1.0000 sec  3.05 MBytes  25.6 Mbits/sec
[  2] 0.0000-1.0000 sec   569 KBytes  4.66 Mbits/sec
[  6] 0.0000-1.0000 sec  1.72 MBytes  14.4 Mbits/sec
[  3] 0.0000-1.0000 sec  2.55 MBytes  21.4 Mbits/sec
[  1] 1.0000-2.0000 sec  3.19 MBytes  26.8 Mbits/sec
[  2] 1.0000-2.0000 sec   403 KBytes  3.30 Mbits/sec
[  3] 1.0000-2.0000 sec  4.76 MBytes  40.0 Mbits/sec
[  4] 1.0000-2.0000 sec  8.51 MBytes  71.4 Mbits/sec
[  5] 1.0000-2.0000 sec  2.45 MBytes  20.5 Mbits/sec
[  6] 1.0000-2.0000 sec  1.92 MBytes  16.1 Mbits/sec
[  1] 2.0000-3.0000 sec  3.89 MBytes  32.6 Mbits/sec
[  3] 2.0000-3.0000 sec  5.77 MBytes  48.4 Mbits/sec
[  4] 2.0000-3.0000 sec  8.50 MBytes  71.3 Mbits/sec
[  5] 2.0000-3.0000 sec  2.31 MBytes  19.4 Mbits/sec
[  6] 2.0000-3.0000 sec  1.65 MBytes  13.8 Mbits/sec
[  2] 2.0000-3.0000 sec   561 KBytes  4.60 Mbits/sec
[  1] 3.0000-4.0000 sec  3.88 MBytes  32.6 Mbits/sec
[  2] 3.0000-4.0000 sec   515 KBytes  4.22 Mbits/sec
[  3] 3.0000-4.0000 sec  5.80 MBytes  48.7 Mbits/sec
[  4] 3.0000-4.0000 sec  8.54 MBytes  71.6 Mbits/sec
[  5] 3.0000-4.0000 sec  2.29 MBytes  19.2 Mbits/sec
[  6] 3.0000-4.0000 sec  1.60 MBytes  13.4 Mbits/sec
[  1] 4.0000-5.0000 sec  3.75 MBytes  31.5 Mbits/sec
[  2] 4.0000-5.0000 sec   556 KBytes  4.55 Mbits/sec
[  3] 4.0000-5.0000 sec  5.78 MBytes  48.5 Mbits/sec
[  5] 4.0000-5.0000 sec  2.38 MBytes  19.9 Mbits/sec
[  6] 4.0000-5.0000 sec  1.53 MBytes  12.8 Mbits/sec
[  4] 4.0000-5.0000 sec  7.06 MBytes  59.2 Mbits/sec
[  1] 5.0000-6.0000 sec  3.77 MBytes  31.6 Mbits/sec
[  2] 5.0000-6.0000 sec   578 KBytes  4.74 Mbits/sec
[  3] 5.0000-6.0000 sec  4.90 MBytes  41.1 Mbits/sec
[  4] 5.0000-6.0000 sec  10.6 MBytes  89.3 Mbits/sec
[  5] 5.0000-6.0000 sec  10.8 MBytes  90.3 Mbits/sec
[  6] 5.0000-6.0000 sec  1.21 MBytes  10.2 Mbits/sec
[  1] 6.0000-7.0000 sec  3.57 MBytes  30.0 Mbits/sec
[  2] 6.0000-7.0000 sec   537 KBytes  4.40 Mbits/sec
[  3] 6.0000-7.0000 sec  4.86 MBytes  40.8 Mbits/sec
[  4] 6.0000-7.0000 sec  10.9 MBytes  91.2 Mbits/sec
[  5] 6.0000-7.0000 sec  11.4 MBytes  95.6 Mbits/sec
[  6] 6.0000-7.0000 sec  1.47 MBytes  12.3 Mbits/sec
[  1] 7.0000-8.0000 sec  3.43 MBytes  28.8 Mbits/sec
[  3] 7.0000-8.0000 sec  5.03 MBytes  42.2 Mbits/sec
[  4] 7.0000-8.0000 sec  11.0 MBytes  92.1 Mbits/sec
[  5] 7.0000-8.0000 sec  11.4 MBytes  95.6 Mbits/sec
[  2] 7.0000-8.0000 sec   561 KBytes  4.60 Mbits/sec
[  6] 7.0000-8.0000 sec  1.59 MBytes  13.4 Mbits/sec
[  1] 8.0000-9.0000 sec  3.29 MBytes  27.6 Mbits/sec
[  3] 8.0000-9.0000 sec  4.76 MBytes  39.9 Mbits/sec
[  2] 8.0000-9.0000 sec   520 KBytes  4.26 Mbits/sec
[  4] 8.0000-9.0000 sec  11.0 MBytes  92.0 Mbits/sec
