------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.2.2 port 5001 connected with 192.168.1.2 port 46194
[  2] local 192.168.2.2 port 5001 connected with 192.168.3.2 port 40578
[  3] local 192.168.2.2 port 5001 connected with 192.168.6.2 port 58432
[  4] local 192.168.2.2 port 5001 connected with 192.168.5.2 port 40180
[  5] local 192.168.2.2 port 5001 connected with 192.168.4.2 port 41700
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec   388 KBytes  3.17 Mbits/sec
[  1] 0.0000-1.0000 sec   850 KBytes  6.96 Mbits/sec
[  5] 0.0000-1.0000 sec   256 KBytes  2.10 Mbits/sec
[  4] 0.0000-1.0000 sec   963 KBytes  7.89 Mbits/sec
[  3] 0.0000-1.0000 sec  3.95 MBytes  33.1 Mbits/sec
[  1] 1.0000-2.0000 sec   697 KBytes  5.71 Mbits/sec
[  4] 1.0000-2.0000 sec   481 KBytes  3.94 Mbits/sec
[  5] 1.0000-2.0000 sec   154 KBytes  1.26 Mbits/sec
[  3] 1.0000-2.0000 sec  2.88 MBytes  24.2 Mbits/sec
[  2] 1.0000-2.0000 sec   240 KBytes  1.97 Mbits/sec
[  1] 2.0000-3.0000 sec   677 KBytes  5.55 Mbits/sec
[  3] 2.0000-3.0000 sec  1.96 MBytes  16.4 Mbits/sec
[  2] 2.0000-3.0000 sec   182 KBytes  1.49 Mbits/sec
[  4] 2.0000-3.0000 sec   379 KBytes  3.10 Mbits/sec
[  5] 2.0000-3.0000 sec   136 KBytes  1.11 Mbits/sec
[  1] 3.0000-4.0000 sec   723 KBytes  5.92 Mbits/sec
[  3] 3.0000-4.0000 sec  1.65 MBytes  13.9 Mbits/sec
[  5] 3.0000-4.0000 sec  93.3 KBytes   765 Kbits/sec
[  2] 3.0000-4.0000 sec   178 KBytes  1.46 Mbits/sec
[  4] 3.0000-4.0000 sec   315 KBytes  2.58 Mbits/sec
[  1] 4.0000-5.0000 sec   723 KBytes  5.92 Mbits/sec
[  3] 4.0000-5.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  2] 4.0000-5.0000 sec   201 KBytes  1.64 Mbits/sec
[  4] 4.0000-5.0000 sec   252 KBytes  2.06 Mbits/sec
[  5] 4.0000-5.0000 sec  89.1 KBytes   730 Kbits/sec
[  1] 5.0000-6.0000 sec   851 KBytes  6.97 Mbits/sec
[  3] 5.0000-6.0000 sec  1.16 MBytes  9.74 Mbits/sec
[  5] 5.0000-6.0000 sec   102 KBytes   834 Kbits/sec
[  4] 5.0000-6.0000 sec   318 KBytes  2.61 Mbits/sec
[  2] 5.0000-6.0000 sec   140 KBytes  1.15 Mbits/sec
[  1] 6.0000-7.0000 sec   621 KBytes  5.09 Mbits/sec
[  3] 6.0000-7.0000 sec  1.22 MBytes  10.2 Mbits/sec
[  5] 6.0000-7.0000 sec   115 KBytes   938 Kbits/sec
[  4] 6.0000-7.0000 sec   232 KBytes  1.90 Mbits/sec
[  2] 6.0000-7.0000 sec   181 KBytes  1.48 Mbits/sec
[  1] 7.0000-8.0000 sec  1.28 MBytes  10.8 Mbits/sec
[  2] 7.0000-8.0000 sec   238 KBytes  1.95 Mbits/sec
[  3] 7.0000-8.0000 sec  2.34 MBytes  19.7 Mbits/sec
[  4] 7.0000-8.0000 sec   508 KBytes  4.16 Mbits/sec
[  5] 7.0000-8.0000 sec   199 KBytes  1.63 Mbits/sec
[  1] 8.0000-9.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  3] 8.0000-9.0000 sec  2.89 MBytes  24.3 Mbits/sec
[  5] 8.0000-9.0000 sec   141 KBytes  1.16 Mbits/sec
[  4] 8.0000-9.0000 sec   741 KBytes  6.07 Mbits/sec
[  2] 8.0000-9.0000 sec   344 KBytes  2.81 Mbits/sec
[  1] 9.0000-10.0000 sec  1.44 MBytes  12.1 Mbits/sec
[  3] 9.0000-10.0000 sec  3.40 MBytes  28.5 Mbits/sec
[  4] 9.0000-10.0000 sec   547 KBytes  4.48 Mbits/sec
[  5] 9.0000-10.0000 sec   144 KBytes  1.18 Mbits/sec
[  2] 9.0000-10.0000 sec   474 KBytes  3.88 Mbits/sec
[  1] 10.0000-10.6112 sec   982 KBytes  13.2 Mbits/sec
[  1] 0.0000-10.6112 sec  10.2 MBytes  8.03 Mbits/sec
[  3] 10.0000-10.8253 sec  3.36 MBytes  34.1 Mbits/sec
[  3] 0.0000-10.8253 sec  26.2 MBytes  20.3 Mbits/sec
[  4] 10.0000-11.0000 sec  1.17 MBytes  9.82 Mbits/sec
[  5] 10.0000-11.0000 sec  59.4 KBytes   487 Kbits/sec
[  4] 0.0000-11.2032 sec  6.68 MBytes  5.00 Mbits/sec
[  2] 10.0000-11.0000 sec   617 KBytes  5.05 Mbits/sec
[  2] 11.0000-11.4948 sec  1.34 MBytes  22.7 Mbits/sec
[  2] 0.0000-11.4948 sec  4.44 MBytes  3.24 Mbits/sec
[  5] 11.0000-11.7339 sec  1.51 MBytes  17.2 Mbits/sec
[  5] 0.0000-11.7339 sec  2.96 MBytes  2.12 Mbits/sec
