------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.8.2 port 5001 connected with 192.168.2.2 port 49852
[  2] local 192.168.8.2 port 5001 connected with 192.168.5.2 port 35620
[  3] local 192.168.8.2 port 5001 connected with 192.168.4.2 port 33530
[  4] local 192.168.8.2 port 5001 connected with 192.168.3.2 port 49956
[  5] local 192.168.8.2 port 5001 connected with 192.168.6.2 port 57158
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  1.78 MBytes  14.9 Mbits/sec
[  3] 0.0000-1.0000 sec  4.03 MBytes  33.8 Mbits/sec
[  1] 0.0000-1.0000 sec  5.00 MBytes  41.9 Mbits/sec
[  4] 0.0000-1.0000 sec   349 KBytes  2.86 Mbits/sec
[  5] 0.0000-1.0000 sec   250 KBytes  2.05 Mbits/sec
[  2] 1.0000-2.0000 sec  2.18 MBytes  18.3 Mbits/sec
[  1] 1.0000-2.0000 sec  4.79 MBytes  40.2 Mbits/sec
[  3] 1.0000-2.0000 sec  3.83 MBytes  32.1 Mbits/sec
[  4] 1.0000-2.0000 sec   318 KBytes  2.61 Mbits/sec
[  5] 1.0000-2.0000 sec   256 KBytes  2.10 Mbits/sec
[  2] 2.0000-3.0000 sec  3.12 MBytes  26.1 Mbits/sec
[  1] 2.0000-3.0000 sec  3.99 MBytes  33.5 Mbits/sec
[  3] 2.0000-3.0000 sec  3.65 MBytes  30.7 Mbits/sec
[  4] 2.0000-3.0000 sec   293 KBytes  2.40 Mbits/sec
[  5] 2.0000-3.0000 sec   298 KBytes  2.44 Mbits/sec
[  2] 3.0000-4.0000 sec  4.05 MBytes  34.0 Mbits/sec
[  3] 3.0000-4.0000 sec  3.56 MBytes  29.9 Mbits/sec
[  1] 3.0000-4.0000 sec  3.19 MBytes  26.7 Mbits/sec
[  4] 3.0000-4.0000 sec   305 KBytes  2.50 Mbits/sec
[  5] 3.0000-4.0000 sec   214 KBytes  1.75 Mbits/sec
[  2] 4.0000-5.0000 sec  4.70 MBytes  39.4 Mbits/sec
[  1] 4.0000-5.0000 sec  2.24 MBytes  18.8 Mbits/sec
[  3] 4.0000-5.0000 sec  3.50 MBytes  29.4 Mbits/sec
[  5] 4.0000-5.0000 sec   375 KBytes  3.07 Mbits/sec
[  4] 4.0000-5.0000 sec   482 KBytes  3.95 Mbits/sec
[  2] 5.0000-6.0000 sec  5.08 MBytes  42.6 Mbits/sec
[  1] 5.0000-6.0000 sec  1.79 MBytes  15.0 Mbits/sec
[  3] 5.0000-6.0000 sec  3.43 MBytes  28.8 Mbits/sec
[  4] 5.0000-6.0000 sec   615 KBytes  5.04 Mbits/sec
[  5] 5.0000-6.0000 sec   447 KBytes  3.66 Mbits/sec
[  2] 6.0000-7.0000 sec  5.32 MBytes  44.6 Mbits/sec
[  3] 6.0000-7.0000 sec  3.61 MBytes  30.3 Mbits/sec
[  1] 6.0000-7.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  4] 6.0000-7.0000 sec   618 KBytes  5.06 Mbits/sec
[  5] 6.0000-7.0000 sec   370 KBytes  3.04 Mbits/sec
[  2] 7.0000-8.0000 sec  4.92 MBytes  41.3 Mbits/sec
[  3] 7.0000-8.0000 sec  4.00 MBytes  33.5 Mbits/sec
[  1] 7.0000-8.0000 sec  1.03 MBytes  8.65 Mbits/sec
[  4] 7.0000-8.0000 sec   660 KBytes  5.41 Mbits/sec
[  5] 7.0000-8.0000 sec   396 KBytes  3.24 Mbits/sec
[  2] 8.0000-9.0000 sec  5.22 MBytes  43.8 Mbits/sec
[  3] 8.0000-9.0000 sec  3.30 MBytes  27.7 Mbits/sec
[  1] 8.0000-9.0000 sec  1.60 MBytes  13.4 Mbits/sec
[  4] 8.0000-9.0000 sec  1.01 MBytes  8.48 Mbits/sec
[  5] 8.0000-9.0000 sec   409 KBytes  3.35 Mbits/sec
[  2] 9.0000-10.0000 sec  5.01 MBytes  42.0 Mbits/sec
[  1] 9.0000-10.0000 sec  1.28 MBytes  10.7 Mbits/sec
[  3] 9.0000-10.0000 sec  3.31 MBytes  27.8 Mbits/sec
[  4] 9.0000-10.0000 sec  1.18 MBytes  9.93 Mbits/sec
[  5] 9.0000-10.0000 sec   527 KBytes  4.32 Mbits/sec
[  4] 10.0000-10.6100 sec   760 KBytes  10.2 Mbits/sec
[  4] 0.0000-10.6100 sec  6.49 MBytes  5.13 Mbits/sec
[  5] 10.0000-10.6452 sec   413 KBytes  5.24 Mbits/sec
[  5] 0.0000-10.6452 sec  3.86 MBytes  3.04 Mbits/sec
[  1] 10.0000-11.0000 sec  1.45 MBytes  12.1 Mbits/sec
[  2] 10.0000-11.0000 sec  5.23 MBytes  43.9 Mbits/sec
[  3] 10.0000-11.0000 sec  3.41 MBytes  28.6 Mbits/sec
[  2] 11.0000-11.4985 sec  2.70 MBytes  45.4 Mbits/sec
[  2] 0.0000-11.4985 sec  49.3 MBytes  36.0 Mbits/sec
[  1] 11.0000-11.8536 sec  1.60 MBytes  15.7 Mbits/sec
[  1] 0.0000-11.8536 sec  29.4 MBytes  20.8 Mbits/sec
[  3] 11.0000-11.9084 sec  5.76 MBytes  53.2 Mbits/sec
[  3] 0.0000-11.9084 sec  45.4 MBytes  32.0 Mbits/sec
