------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.2.2 port 5001 connected with 192.168.1.2 port 39742
[  2] local 192.168.2.2 port 5001 connected with 192.168.3.2 port 50236
[  4] local 192.168.2.2 port 5001 connected with 192.168.6.2 port 46940
[  5] local 192.168.2.2 port 5001 connected with 192.168.7.2 port 60422
[  6] local 192.168.2.2 port 5001 connected with 192.168.5.2 port 54694
[  3] local 192.168.2.2 port 5001 connected with 192.168.4.2 port 38252
[ ID] Interval       Transfer     Bandwidth
[  5] 0.0000-1.0000 sec  7.38 MBytes  61.9 Mbits/sec
[  6] 0.0000-1.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  1] 0.0000-1.0000 sec   863 KBytes  7.07 Mbits/sec
[  2] 0.0000-1.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  3] 0.0000-1.0000 sec  6.24 MBytes  52.4 Mbits/sec
[  4] 0.0000-1.0000 sec  5.91 MBytes  49.6 Mbits/sec
[  1] 1.0000-2.0000 sec   515 KBytes  4.22 Mbits/sec
[  2] 1.0000-2.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  3] 1.0000-2.0000 sec  6.63 MBytes  55.6 Mbits/sec
[  4] 1.0000-2.0000 sec  6.18 MBytes  51.8 Mbits/sec
[  5] 1.0000-2.0000 sec  7.37 MBytes  61.9 Mbits/sec
[  6] 1.0000-2.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  2] 2.0000-3.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  3] 2.0000-3.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  5] 2.0000-3.0000 sec  7.37 MBytes  61.8 Mbits/sec
[  6] 2.0000-3.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  4] 2.0000-3.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  1] 2.0000-3.0000 sec   591 KBytes  4.84 Mbits/sec
[  1] 3.0000-4.0000 sec   634 KBytes  5.19 Mbits/sec
[  2] 3.0000-4.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  5] 3.0000-4.0000 sec  7.30 MBytes  61.2 Mbits/sec
[  6] 3.0000-4.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  3] 3.0000-4.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  4] 3.0000-4.0000 sec  6.58 MBytes  55.2 Mbits/sec
[  1] 4.0000-5.0000 sec   636 KBytes  5.21 Mbits/sec
[  2] 4.0000-5.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  3] 4.0000-5.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  5] 4.0000-5.0000 sec  6.46 MBytes  54.2 Mbits/sec
[  6] 4.0000-5.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  4] 4.0000-5.0000 sec  6.84 MBytes  57.4 Mbits/sec
[  1] 5.0000-6.0000 sec   697 KBytes  5.71 Mbits/sec
[  2] 5.0000-6.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  5] 5.0000-6.0000 sec  5.07 MBytes  42.6 Mbits/sec
[  6] 5.0000-6.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  3] 5.0000-6.0000 sec  6.63 MBytes  55.6 Mbits/sec
[  4] 5.0000-6.0000 sec  7.03 MBytes  59.0 Mbits/sec
