------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.3.2 port 5001 connected with 192.168.1.2 port 42400
[  2] local 192.168.3.2 port 5001 connected with 192.168.6.2 port 51458
[  3] local 192.168.3.2 port 5001 connected with 192.168.8.2 port 41374
[  4] local 192.168.3.2 port 5001 connected with 192.168.5.2 port 35420
[  5] local 192.168.3.2 port 5001 connected with 192.168.7.2 port 33000
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-1.0000 sec  8.00 MBytes  67.1 Mbits/sec
[  1] 0.0000-1.0000 sec   994 KBytes  8.14 Mbits/sec
[  2] 0.0000-1.0000 sec  9.03 MBytes  75.8 Mbits/sec
[  4] 0.0000-1.0000 sec  1.66 MBytes  13.9 Mbits/sec
[  5] 0.0000-1.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 1.0000-2.0000 sec  1.04 MBytes  8.72 Mbits/sec
[  2] 1.0000-2.0000 sec  9.41 MBytes  79.0 Mbits/sec
[  3] 1.0000-2.0000 sec  7.99 MBytes  67.0 Mbits/sec
[  4] 1.0000-2.0000 sec  1.88 MBytes  15.8 Mbits/sec
[  5] 1.0000-2.0000 sec  2.04 MBytes  17.1 Mbits/sec
[  1] 2.0000-3.0000 sec  1.08 MBytes  9.02 Mbits/sec
[  3] 2.0000-3.0000 sec  7.95 MBytes  66.7 Mbits/sec
[  4] 2.0000-3.0000 sec  2.42 MBytes  20.3 Mbits/sec
[  2] 2.0000-3.0000 sec  9.46 MBytes  79.3 Mbits/sec
[  5] 2.0000-3.0000 sec  2.82 MBytes  23.7 Mbits/sec
[  3] 3.0000-4.0000 sec  7.98 MBytes  66.9 Mbits/sec
[  1] 3.0000-4.0000 sec  1.11 MBytes  9.31 Mbits/sec
[  2] 3.0000-4.0000 sec  9.54 MBytes  80.0 Mbits/sec
[  4] 3.0000-4.0000 sec  3.32 MBytes  27.8 Mbits/sec
[  5] 3.0000-4.0000 sec  2.95 MBytes  24.7 Mbits/sec
[  3] 4.0000-5.0000 sec  7.79 MBytes  65.3 Mbits/sec
[  2] 4.0000-5.0000 sec  9.53 MBytes  79.9 Mbits/sec
[  1] 4.0000-5.0000 sec  1.25 MBytes  10.5 Mbits/sec
[  4] 4.0000-5.0000 sec  4.26 MBytes  35.8 Mbits/sec
[  5] 4.0000-5.0000 sec  3.37 MBytes  28.3 Mbits/sec
[  1] 5.0000-6.0000 sec  1.35 MBytes  11.3 Mbits/sec
[  2] 5.0000-6.0000 sec  9.84 MBytes  82.6 Mbits/sec
[  3] 5.0000-6.0000 sec  7.67 MBytes  64.4 Mbits/sec
[  4] 5.0000-6.0000 sec  3.70 MBytes  31.1 Mbits/sec
[  5] 5.0000-6.0000 sec  3.38 MBytes  28.4 Mbits/sec
[  1] 6.0000-7.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  3] 6.0000-7.0000 sec  7.50 MBytes  62.9 Mbits/sec
[  4] 6.0000-7.0000 sec  3.83 MBytes  32.1 Mbits/sec
[  2] 6.0000-7.0000 sec  9.92 MBytes  83.2 Mbits/sec
[  5] 6.0000-7.0000 sec  3.70 MBytes  31.0 Mbits/sec
[  3] 7.0000-8.0000 sec  7.18 MBytes  60.3 Mbits/sec
[  1] 7.0000-8.0000 sec  1.87 MBytes  15.7 Mbits/sec
[  2] 7.0000-8.0000 sec  9.69 MBytes  81.3 Mbits/sec
[  4] 7.0000-8.0000 sec  4.21 MBytes  35.3 Mbits/sec
[  5] 7.0000-8.0000 sec  4.28 MBytes  35.9 Mbits/sec
[  3] 8.0000-9.0000 sec  7.30 MBytes  61.3 Mbits/sec
[  1] 8.0000-9.0000 sec  1.91 MBytes  16.0 Mbits/sec
[  2] 8.0000-9.0000 sec  9.76 MBytes  81.8 Mbits/sec
[  4] 8.0000-9.0000 sec  3.71 MBytes  31.1 Mbits/sec
[  5] 8.0000-9.0000 sec  4.73 MBytes  39.6 Mbits/sec
[  2] 9.0000-10.0000 sec  9.75 MBytes  81.7 Mbits/sec
[  3] 9.0000-10.0000 sec  7.35 MBytes  61.7 Mbits/sec
[  4] 9.0000-10.0000 sec  3.59 MBytes  30.1 Mbits/sec
[  5] 9.0000-10.0000 sec  4.13 MBytes  34.6 Mbits/sec
[  1] 9.0000-10.0000 sec  1.66 MBytes  13.9 Mbits/sec
[  3] 10.0000-10.4555 sec  3.41 MBytes  62.9 Mbits/sec
[  3] 0.0000-10.4555 sec  80.1 MBytes  64.3 Mbits/sec
[  4] 10.0000-10.9459 sec  3.54 MBytes  31.4 Mbits/sec
[  4] 0.0000-10.9459 sec  36.1 MBytes  27.7 Mbits/sec
[  1] 10.0000-11.0000 sec  1.50 MBytes  12.6 Mbits/sec
[  2] 10.0000-11.0000 sec  9.76 MBytes  81.8 Mbits/sec
[  5] 10.0000-11.0000 sec  6.26 MBytes  52.5 Mbits/sec
[  2] 11.0000-11.4311 sec  4.41 MBytes  85.9 Mbits/sec
[  2] 0.0000-11.4311 sec   110 MBytes  80.8 Mbits/sec
[  1] 11.0000-11.5092 sec   539 KBytes  8.67 Mbits/sec
[  1] 0.0000-11.5092 sec  15.7 MBytes  11.5 Mbits/sec
[  5] 11.0000-11.7520 sec  2.82 MBytes  31.5 Mbits/sec
[  5] 0.0000-11.7520 sec  42.7 MBytes  30.4 Mbits/sec
