------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.3.2 port 5001 connected with 192.168.2.2 port 57346
[  2] local 192.168.3.2 port 5001 connected with 192.168.4.2 port 57008
[  3] local 192.168.3.2 port 5001 connected with 192.168.7.2 port 53146
[  4] local 192.168.3.2 port 5001 connected with 192.168.8.2 port 54312
[  5] local 192.168.3.2 port 5001 connected with 192.168.5.2 port 35988
[  6] local 192.168.3.2 port 5001 connected with 192.168.9.2 port 54438
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  3] 0.0000-1.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  4] 0.0000-1.0000 sec  11.4 MBytes  95.3 Mbits/sec
[  1] 0.0000-1.0000 sec  6.13 MBytes  51.4 Mbits/sec
[  5] 0.0000-1.0000 sec  3.40 MBytes  28.6 Mbits/sec
[  6] 0.0000-1.0000 sec  1.94 MBytes  16.3 Mbits/sec
[  2] 1.0000-2.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  1] 1.0000-2.0000 sec  7.06 MBytes  59.2 Mbits/sec
[  5] 1.0000-2.0000 sec  2.83 MBytes  23.8 Mbits/sec
[  3] 1.0000-2.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  4] 1.0000-2.0000 sec  11.3 MBytes  95.2 Mbits/sec
[  6] 1.0000-2.0000 sec  1.42 MBytes  11.9 Mbits/sec
[  2] 2.0000-3.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  1] 2.0000-3.0000 sec  8.21 MBytes  68.8 Mbits/sec
[  5] 2.0000-3.0000 sec  1.89 MBytes  15.9 Mbits/sec
[  3] 2.0000-3.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  4] 2.0000-3.0000 sec  11.3 MBytes  94.5 Mbits/sec
[  6] 2.0000-3.0000 sec  1.20 MBytes  10.0 Mbits/sec
[  2] 3.0000-4.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  1] 3.0000-4.0000 sec  8.89 MBytes  74.5 Mbits/sec
[  3] 3.0000-4.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  4] 3.0000-4.0000 sec  11.3 MBytes  94.5 Mbits/sec
[  5] 3.0000-4.0000 sec  1.40 MBytes  11.8 Mbits/sec
[  6] 3.0000-4.0000 sec  1.04 MBytes  8.75 Mbits/sec
[  1] 4.0000-5.0000 sec  9.13 MBytes  76.6 Mbits/sec
[  2] 4.0000-5.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  3] 4.0000-5.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  4] 4.0000-5.0000 sec  11.2 MBytes  93.8 Mbits/sec
[  5] 4.0000-5.0000 sec  1.15 MBytes  9.65 Mbits/sec
[  6] 4.0000-5.0000 sec   979 KBytes  8.02 Mbits/sec
[  2] 5.0000-6.0000 sec  6.75 MBytes  56.6 Mbits/sec
