------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.4.2 port 5001 connected with 192.168.2.2 port 40602
[  2] local 192.168.4.2 port 5001 connected with 192.168.3.2 port 34282
[  3] local 192.168.4.2 port 5001 connected with 192.168.6.2 port 44904
[  4] local 192.168.4.2 port 5001 connected with 192.168.7.2 port 56160
[  5] local 192.168.4.2 port 5001 connected with 192.168.5.2 port 60994
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  2.10 MBytes  17.7 Mbits/sec
[  1] 0.0000-1.0000 sec  1.97 MBytes  16.6 Mbits/sec
[  4] 0.0000-1.0000 sec  1.74 MBytes  14.6 Mbits/sec
[  3] 0.0000-1.0000 sec  5.21 MBytes  43.7 Mbits/sec
[  5] 0.0000-1.0000 sec   505 KBytes  4.14 Mbits/sec
[  1] 1.0000-2.0000 sec  1.14 MBytes  9.58 Mbits/sec
[  2] 1.0000-2.0000 sec  2.29 MBytes  19.2 Mbits/sec
[  3] 1.0000-2.0000 sec  6.16 MBytes  51.7 Mbits/sec
[  4] 1.0000-2.0000 sec  1.26 MBytes  10.6 Mbits/sec
[  5] 1.0000-2.0000 sec   341 KBytes  2.79 Mbits/sec
[  2] 2.0000-3.0000 sec  2.73 MBytes  22.9 Mbits/sec
[  1] 2.0000-3.0000 sec   899 KBytes  7.37 Mbits/sec
[  4] 2.0000-3.0000 sec  1.07 MBytes  9.00 Mbits/sec
[  3] 2.0000-3.0000 sec  6.41 MBytes  53.7 Mbits/sec
[  5] 2.0000-3.0000 sec   284 KBytes  2.33 Mbits/sec
[  2] 3.0000-4.0000 sec  2.98 MBytes  25.0 Mbits/sec
[  1] 3.0000-4.0000 sec   714 KBytes  5.85 Mbits/sec
[  4] 3.0000-4.0000 sec   981 KBytes  8.04 Mbits/sec
[  3] 3.0000-4.0000 sec  6.46 MBytes  54.2 Mbits/sec
[  5] 3.0000-4.0000 sec   269 KBytes  2.20 Mbits/sec
[  2] 4.0000-5.0000 sec  4.14 MBytes  34.7 Mbits/sec
[  1] 4.0000-5.0000 sec   720 KBytes  5.90 Mbits/sec
[  3] 4.0000-5.0000 sec  8.30 MBytes  69.6 Mbits/sec
[  4] 4.0000-5.0000 sec   988 KBytes  8.10 Mbits/sec
[  5] 4.0000-5.0000 sec   272 KBytes  2.22 Mbits/sec
[  1] 5.0000-6.0000 sec   747 KBytes  6.12 Mbits/sec
[  2] 5.0000-6.0000 sec  10.0 MBytes  84.2 Mbits/sec
[  3] 5.0000-6.0000 sec  10.6 MBytes  89.0 Mbits/sec
[  4] 5.0000-6.0000 sec  1.10 MBytes  9.21 Mbits/sec
[  5] 5.0000-6.0000 sec   260 KBytes  2.13 Mbits/sec
[  2] 6.0000-7.0000 sec  10.2 MBytes  85.4 Mbits/sec
[  1] 6.0000-7.0000 sec   677 KBytes  5.55 Mbits/sec
[  4] 6.0000-7.0000 sec   987 KBytes  8.09 Mbits/sec
[  3] 6.0000-7.0000 sec  10.7 MBytes  89.4 Mbits/sec
[  5] 6.0000-7.0000 sec   201 KBytes  1.64 Mbits/sec
[  2] 7.0000-8.0000 sec  10.2 MBytes  85.6 Mbits/sec
[  1] 7.0000-8.0000 sec   619 KBytes  5.07 Mbits/sec
[  4] 7.0000-8.0000 sec   898 KBytes  7.36 Mbits/sec
[  3] 7.0000-8.0000 sec  10.7 MBytes  90.0 Mbits/sec
[  5] 7.0000-8.0000 sec   313 KBytes  2.56 Mbits/sec
[  2] 8.0000-9.0000 sec  10.2 MBytes  85.7 Mbits/sec
[  1] 8.0000-9.0000 sec   717 KBytes  5.87 Mbits/sec
[  3] 8.0000-9.0000 sec  10.6 MBytes  89.1 Mbits/sec
[  4] 8.0000-9.0000 sec   836 KBytes  6.85 Mbits/sec
[  5] 8.0000-9.0000 sec   337 KBytes  2.76 Mbits/sec
[  1] 9.0000-10.0000 sec  1.02 MBytes  8.55 Mbits/sec
[  2] 9.0000-10.0000 sec  10.4 MBytes  86.9 Mbits/sec
[  4] 9.0000-10.0000 sec   798 KBytes  6.53 Mbits/sec
[  3] 9.0000-10.0000 sec  10.3 MBytes  86.8 Mbits/sec
[  5] 9.0000-10.0000 sec   255 KBytes  2.09 Mbits/sec
[  3] 10.0000-10.4476 sec  4.61 MBytes  86.4 Mbits/sec
[  3] 0.0000-10.4476 sec  90.1 MBytes  72.4 Mbits/sec
[  2] 10.0000-11.0000 sec  10.3 MBytes  86.3 Mbits/sec
[  1] 10.0000-11.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  4] 10.0000-11.0000 sec   735 KBytes  6.02 Mbits/sec
[  2] 0.0000-11.0735 sec  76.3 MBytes  57.8 Mbits/sec
[  5] 10.0000-11.0000 sec   354 KBytes  2.90 Mbits/sec
[  1] 0.0000-11.2205 sec  11.1 MBytes  8.31 Mbits/sec
[  4] 11.0000-11.4536 sec  2.34 MBytes  43.4 Mbits/sec
[  4] 0.0000-11.4536 sec  13.6 MBytes  9.95 Mbits/sec
[  5] 11.0000-11.8497 sec  1.09 MBytes  10.7 Mbits/sec
[  5] 0.0000-11.8497 sec  4.40 MBytes  3.11 Mbits/sec
