------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.2 port 5001 connected with 192.168.2.2 port 52684
[  2] local 192.168.1.2 port 5001 connected with 192.168.5.2 port 54630
[  3] local 192.168.1.2 port 5001 connected with 192.168.8.2 port 44784
[  4] local 192.168.1.2 port 5001 connected with 192.168.7.2 port 49064
[  5] local 192.168.1.2 port 5001 connected with 192.168.4.2 port 41666
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  3.04 MBytes  25.5 Mbits/sec
[  3] 0.0000-1.0000 sec  6.57 MBytes  55.1 Mbits/sec
[  1] 0.0000-1.0000 sec  8.86 MBytes  74.3 Mbits/sec
[  4] 0.0000-1.0000 sec   837 KBytes  6.86 Mbits/sec
[  5] 0.0000-1.0000 sec   366 KBytes  3.00 Mbits/sec
[  2] 1.0000-2.0000 sec  2.33 MBytes  19.5 Mbits/sec
[  3] 1.0000-2.0000 sec  7.76 MBytes  65.1 Mbits/sec
[  1] 1.0000-2.0000 sec  9.47 MBytes  79.4 Mbits/sec
[  4] 1.0000-2.0000 sec   628 KBytes  5.14 Mbits/sec
[  5] 1.0000-2.0000 sec   274 KBytes  2.25 Mbits/sec
[  2] 2.0000-3.0000 sec  2.27 MBytes  19.0 Mbits/sec
[  3] 2.0000-3.0000 sec  7.97 MBytes  66.8 Mbits/sec
[  1] 2.0000-3.0000 sec  9.68 MBytes  81.2 Mbits/sec
[  4] 2.0000-3.0000 sec   598 KBytes  4.90 Mbits/sec
[  5] 2.0000-3.0000 sec   252 KBytes  2.06 Mbits/sec
[  2] 3.0000-4.0000 sec  2.25 MBytes  18.9 Mbits/sec
[  1] 3.0000-4.0000 sec  9.74 MBytes  81.7 Mbits/sec
[  3] 3.0000-4.0000 sec  8.21 MBytes  68.9 Mbits/sec
[  4] 3.0000-4.0000 sec   672 KBytes  5.50 Mbits/sec
[  5] 3.0000-4.0000 sec   286 KBytes  2.34 Mbits/sec
[  1] 4.0000-5.0000 sec  9.74 MBytes  81.7 Mbits/sec
[  2] 4.0000-5.0000 sec  2.33 MBytes  19.5 Mbits/sec
[  3] 4.0000-5.0000 sec  8.59 MBytes  72.1 Mbits/sec
[  4] 4.0000-5.0000 sec   735 KBytes  6.02 Mbits/sec
[  5] 4.0000-5.0000 sec   331 KBytes  2.71 Mbits/sec
[  2] 5.0000-6.0000 sec  2.35 MBytes  19.7 Mbits/sec
[  3] 5.0000-6.0000 sec  9.00 MBytes  75.5 Mbits/sec
[  1] 5.0000-6.0000 sec  10.1 MBytes  84.4 Mbits/sec
[  4] 5.0000-6.0000 sec   902 KBytes  7.39 Mbits/sec
[  5] 5.0000-6.0000 sec   393 KBytes  3.22 Mbits/sec
[  2] 6.0000-7.0000 sec  2.29 MBytes  19.2 Mbits/sec
[  3] 6.0000-7.0000 sec  9.09 MBytes  76.2 Mbits/sec
[  1] 6.0000-7.0000 sec  9.83 MBytes  82.4 Mbits/sec
[  4] 6.0000-7.0000 sec  1.01 MBytes  8.43 Mbits/sec
[  5] 6.0000-7.0000 sec   387 KBytes  3.17 Mbits/sec
[  3] 7.0000-8.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  1] 7.0000-8.0000 sec  9.62 MBytes  80.7 Mbits/sec
[  2] 7.0000-8.0000 sec  2.27 MBytes  19.0 Mbits/sec
[  4] 7.0000-8.0000 sec   960 KBytes  7.87 Mbits/sec
[  5] 7.0000-8.0000 sec   656 KBytes  5.37 Mbits/sec
[  1] 8.0000-9.0000 sec  9.56 MBytes  80.2 Mbits/sec
[  2] 8.0000-9.0000 sec  2.29 MBytes  19.2 Mbits/sec
[  3] 8.0000-9.0000 sec  9.07 MBytes  76.0 Mbits/sec
[  4] 8.0000-9.0000 sec   952 KBytes  7.80 Mbits/sec
[  5] 8.0000-9.0000 sec   689 KBytes  5.64 Mbits/sec
[  2] 9.0000-10.0000 sec  2.46 MBytes  20.7 Mbits/sec
[  3] 9.0000-10.0000 sec  8.92 MBytes  74.8 Mbits/sec
[  1] 9.0000-10.0000 sec  9.62 MBytes  80.7 Mbits/sec
[  1] 0.0000-10.0175 sec  96.4 MBytes  80.7 Mbits/sec
[  4] 9.0000-10.0000 sec  1.02 MBytes  8.55 Mbits/sec
[  5] 9.0000-10.0000 sec   663 KBytes  5.43 Mbits/sec
[  4] 10.0000-11.0000 sec   990 KBytes  8.11 Mbits/sec
[  5] 10.0000-11.0000 sec  1.08 MBytes  9.07 Mbits/sec
[  2] 10.0000-11.0000 sec  2.39 MBytes  20.1 Mbits/sec
[  3] 10.0000-11.0000 sec  7.25 MBytes  60.8 Mbits/sec
[  3] 11.0000-11.3242 sec  3.91 MBytes   101 Mbits/sec
[  3] 0.0000-11.3242 sec  95.4 MBytes  70.7 Mbits/sec
[  4] 11.0000-11.3320 sec  1.03 MBytes  26.1 Mbits/sec
[  4] 0.0000-11.3320 sec  10.2 MBytes  7.52 Mbits/sec
[  5] 11.0000-11.3710 sec  1.29 MBytes  29.1 Mbits/sec
[  5] 0.0000-11.3710 sec  6.57 MBytes  4.84 Mbits/sec
[  2] 11.0000-11.5372 sec  3.89 MBytes  60.7 Mbits/sec
[  2] 0.0000-11.5372 sec  30.2 MBytes  21.9 Mbits/sec
