------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.7.2 port 5001 connected with 192.168.1.2 port 44632
[  2] local 192.168.7.2 port 5001 connected with 192.168.2.2 port 50864
[  3] local 192.168.7.2 port 5001 connected with 192.168.3.2 port 55074
[  4] local 192.168.7.2 port 5001 connected with 192.168.5.2 port 43182
[  5] local 192.168.7.2 port 5001 connected with 192.168.8.2 port 40640
[  6] local 192.168.7.2 port 5001 connected with 192.168.6.2 port 49392
[ ID] Interval       Transfer     Bandwidth
[  6] 0.0000-1.0000 sec  3.71 MBytes  31.1 Mbits/sec
[  1] 0.0000-1.0000 sec  1.51 MBytes  12.7 Mbits/sec
[  2] 0.0000-1.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  3] 0.0000-1.0000 sec  4.49 MBytes  37.6 Mbits/sec
[  4] 0.0000-1.0000 sec  10.6 MBytes  88.6 Mbits/sec
[  5] 0.0000-1.0000 sec  9.50 MBytes  79.7 Mbits/sec
[  1] 1.0000-2.0000 sec   847 KBytes  6.94 Mbits/sec
[  2] 1.0000-2.0000 sec  7.39 MBytes  62.0 Mbits/sec
[  3] 1.0000-2.0000 sec  3.80 MBytes  31.9 Mbits/sec
[  4] 1.0000-2.0000 sec  11.3 MBytes  94.7 Mbits/sec
[  5] 1.0000-2.0000 sec  9.50 MBytes  79.7 Mbits/sec
[  6] 1.0000-2.0000 sec  3.36 MBytes  28.2 Mbits/sec
[  6] 2.0000-3.0000 sec  2.73 MBytes  22.9 Mbits/sec
[  1] 2.0000-3.0000 sec   669 KBytes  5.48 Mbits/sec
[  2] 2.0000-3.0000 sec  7.17 MBytes  60.2 Mbits/sec
[  3] 2.0000-3.0000 sec  3.77 MBytes  31.6 Mbits/sec
[  4] 2.0000-3.0000 sec  11.2 MBytes  94.1 Mbits/sec
[  5] 2.0000-3.0000 sec  9.50 MBytes  79.7 Mbits/sec
[  2] 3.0000-4.0000 sec  7.27 MBytes  61.0 Mbits/sec
[  3] 3.0000-4.0000 sec  3.98 MBytes  33.4 Mbits/sec
[  4] 3.0000-4.0000 sec  11.3 MBytes  94.9 Mbits/sec
[  5] 3.0000-4.0000 sec  9.50 MBytes  79.7 Mbits/sec
[  6] 3.0000-4.0000 sec  2.75 MBytes  23.1 Mbits/sec
[  1] 3.0000-4.0000 sec   708 KBytes  5.80 Mbits/sec
[  2] 4.0000-5.0000 sec  7.06 MBytes  59.2 Mbits/sec
[  3] 4.0000-5.0000 sec  4.14 MBytes  34.7 Mbits/sec
[  4] 4.0000-5.0000 sec  11.3 MBytes  94.6 Mbits/sec
[  5] 4.0000-5.0000 sec  9.50 MBytes  79.7 Mbits/sec
[  6] 4.0000-5.0000 sec  2.73 MBytes  22.9 Mbits/sec
[  1] 4.0000-5.0000 sec   642 KBytes  5.26 Mbits/sec
[  3] 5.0000-6.0000 sec  4.04 MBytes  33.8 Mbits/sec
[  6] 5.0000-6.0000 sec  2.52 MBytes  21.1 Mbits/sec
[  1] 5.0000-6.0000 sec   624 KBytes  5.11 Mbits/sec
[  2] 5.0000-6.0000 sec  6.77 MBytes  56.8 Mbits/sec
[  4] 5.0000-6.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  5] 5.0000-6.0000 sec  9.50 MBytes  79.7 Mbits/sec
[  2] 6.0000-7.0000 sec  6.76 MBytes  56.7 Mbits/sec
[  3] 6.0000-7.0000 sec  4.13 MBytes  34.6 Mbits/sec
[  6] 6.0000-7.0000 sec  2.49 MBytes  20.9 Mbits/sec
[  1] 6.0000-7.0000 sec   583 KBytes  4.77 Mbits/sec
[  4] 6.0000-7.0000 sec  11.1 MBytes  93.1 Mbits/sec
[  5] 6.0000-7.0000 sec  9.50 MBytes  79.7 Mbits/sec
[  1] 7.0000-8.0000 sec   567 KBytes  4.65 Mbits/sec
[  2] 7.0000-8.0000 sec  6.79 MBytes  57.0 Mbits/sec
[  3] 7.0000-8.0000 sec  4.30 MBytes  36.1 Mbits/sec
[  4] 7.0000-8.0000 sec  11.1 MBytes  93.4 Mbits/sec
[  6] 7.0000-8.0000 sec  2.57 MBytes  21.6 Mbits/sec
[  5] 7.0000-8.0000 sec  9.50 MBytes  79.7 Mbits/sec
[  1] 8.0000-9.0000 sec   503 KBytes  4.12 Mbits/sec
[  2] 8.0000-9.0000 sec  6.56 MBytes  55.0 Mbits/sec
[  3] 8.0000-9.0000 sec  4.28 MBytes  35.9 Mbits/sec
[  4] 8.0000-9.0000 sec  11.1 MBytes  93.3 Mbits/sec
[  5] 8.0000-9.0000 sec  9.50 MBytes  79.7 Mbits/sec
[  6] 8.0000-9.0000 sec  2.42 MBytes  20.3 Mbits/sec
[  1] 9.0000-10.0000 sec   694 KBytes  5.69 Mbits/sec
[  2] 9.0000-10.0000 sec  6.55 MBytes  55.0 Mbits/sec
[  3] 9.0000-10.0000 sec  4.28 MBytes  35.9 Mbits/sec
[  4] 9.0000-10.0000 sec  10.9 MBytes  91.5 Mbits/sec
[  6] 9.0000-10.0000 sec  2.59 MBytes  21.8 Mbits/sec
[  5] 9.0000-10.0000 sec  9.50 MBytes  79.7 Mbits/sec
[  5] 0.0000-10.0113 sec  95.1 MBytes  79.7 Mbits/sec
[  4] 0.0000-10.1724 sec   113 MBytes  93.2 Mbits/sec
[  2] 0.0000-10.2287 sec  70.6 MBytes  57.9 Mbits/sec
[  3] 0.0000-10.2409 sec  42.4 MBytes  34.7 Mbits/sec
[  1] 10.0000-10.6006 sec   432 KBytes  5.89 Mbits/sec
[  1] 0.0000-10.6006 sec  7.63 MBytes  6.04 Mbits/sec
[  6] 10.0000-11.0000 sec  2.78 MBytes  23.4 Mbits/sec
[  6] 0.0000-11.0758 sec  30.9 MBytes  23.4 Mbits/sec
