------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.8.2 port 5001 connected with 192.168.4.2 port 48092
[  2] local 192.168.8.2 port 5001 connected with 192.168.3.2 port 53564
[  3] local 192.168.8.2 port 5001 connected with 192.168.5.2 port 36324
[  4] local 192.168.8.2 port 5001 connected with 192.168.10.2 port 44534
[  5] local 192.168.8.2 port 5001 connected with 192.168.9.2 port 46540
[  6] local 192.168.8.2 port 5001 connected with 192.168.7.2 port 35342
[ ID] Interval       Transfer     Bandwidth
[  5] 0.0000-1.0000 sec  1.15 MBytes  9.65 Mbits/sec
[  3] 0.0000-1.0000 sec  1.71 MBytes  14.3 Mbits/sec
[  4] 0.0000-1.0000 sec  2.40 MBytes  20.2 Mbits/sec
[  1] 0.0000-1.0000 sec  2.23 MBytes  18.7 Mbits/sec
[  2] 0.0000-1.0000 sec   709 KBytes  5.80 Mbits/sec
[  6] 0.0000-1.0000 sec   873 KBytes  7.15 Mbits/sec
[  1] 1.0000-2.0000 sec  1.27 MBytes  10.7 Mbits/sec
[  5] 1.0000-2.0000 sec   935 KBytes  7.66 Mbits/sec
[  2] 1.0000-2.0000 sec   660 KBytes  5.41 Mbits/sec
[  3] 1.0000-2.0000 sec  1.26 MBytes  10.6 Mbits/sec
[  6] 1.0000-2.0000 sec   824 KBytes  6.75 Mbits/sec
[  4] 1.0000-2.0000 sec  2.00 MBytes  16.8 Mbits/sec
[  3] 2.0000-3.0000 sec  1.41 MBytes  11.9 Mbits/sec
[  4] 2.0000-3.0000 sec  1.60 MBytes  13.4 Mbits/sec
[  2] 2.0000-3.0000 sec   820 KBytes  6.72 Mbits/sec
[  1] 2.0000-3.0000 sec   932 KBytes  7.63 Mbits/sec
[  5] 2.0000-3.0000 sec   830 KBytes  6.80 Mbits/sec
[  6] 2.0000-3.0000 sec  1.08 MBytes  9.02 Mbits/sec
[  2] 3.0000-4.0000 sec   936 KBytes  7.67 Mbits/sec
[  3] 3.0000-4.0000 sec  1.55 MBytes  13.0 Mbits/sec
[  4] 3.0000-4.0000 sec  1.86 MBytes  15.6 Mbits/sec
[  1] 3.0000-4.0000 sec   673 KBytes  5.51 Mbits/sec
[  5] 3.0000-4.0000 sec   730 KBytes  5.98 Mbits/sec
