------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.4.2 port 5001 connected with 192.168.1.2 port 36240
[  2] local 192.168.4.2 port 5001 connected with 192.168.2.2 port 58806
[  3] local 192.168.4.2 port 5001 connected with 192.168.3.2 port 52946
[  4] local 192.168.4.2 port 5001 connected with 192.168.6.2 port 38908
[  5] local 192.168.4.2 port 5001 connected with 192.168.5.2 port 56178
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec   272 KBytes  2.22 Mbits/sec
[  3] 0.0000-1.0000 sec  3.92 MBytes  32.9 Mbits/sec
[  5] 0.0000-1.0000 sec   969 KBytes  7.94 Mbits/sec
[  2] 0.0000-1.0000 sec   781 KBytes  6.40 Mbits/sec
[  4] 0.0000-1.0000 sec  5.43 MBytes  45.6 Mbits/sec
[  3] 1.0000-2.0000 sec  2.80 MBytes  23.5 Mbits/sec
[  2] 1.0000-2.0000 sec   518 KBytes  4.24 Mbits/sec
[  4] 1.0000-2.0000 sec  6.91 MBytes  57.9 Mbits/sec
[  1] 1.0000-2.0000 sec   139 KBytes  1.14 Mbits/sec
[  5] 1.0000-2.0000 sec   922 KBytes  7.55 Mbits/sec
[  2] 2.0000-3.0000 sec   471 KBytes  3.86 Mbits/sec
[  4] 2.0000-3.0000 sec  7.63 MBytes  64.0 Mbits/sec
[  5] 2.0000-3.0000 sec   782 KBytes  6.41 Mbits/sec
[  1] 2.0000-3.0000 sec   100 KBytes   822 Kbits/sec
[  3] 2.0000-3.0000 sec  2.26 MBytes  19.0 Mbits/sec
[  1] 3.0000-4.0000 sec  94.7 KBytes   776 Kbits/sec
[  3] 3.0000-4.0000 sec  1.69 MBytes  14.1 Mbits/sec
[  4] 3.0000-4.0000 sec  8.22 MBytes  68.9 Mbits/sec
[  2] 3.0000-4.0000 sec   536 KBytes  4.39 Mbits/sec
[  5] 3.0000-4.0000 sec   700 KBytes  5.73 Mbits/sec
[  4] 4.0000-5.0000 sec  7.23 MBytes  60.7 Mbits/sec
[  3] 4.0000-5.0000 sec  1.25 MBytes  10.4 Mbits/sec
[  5] 4.0000-5.0000 sec   578 KBytes  4.74 Mbits/sec
[  2] 4.0000-5.0000 sec   421 KBytes  3.45 Mbits/sec
[  1] 4.0000-5.0000 sec  69.3 KBytes   568 Kbits/sec
[  1] 5.0000-6.0000 sec   112 KBytes   915 Kbits/sec
[  5] 5.0000-6.0000 sec   969 KBytes  7.94 Mbits/sec
[  2] 5.0000-6.0000 sec   730 KBytes  5.98 Mbits/sec
[  4] 5.0000-6.0000 sec  8.63 MBytes  72.4 Mbits/sec
[  3] 5.0000-6.0000 sec  1.66 MBytes  14.0 Mbits/sec
[  2] 6.0000-7.0000 sec   731 KBytes  5.99 Mbits/sec
[  4] 6.0000-7.0000 sec  5.59 MBytes  46.9 Mbits/sec
[  5] 6.0000-7.0000 sec   468 KBytes  3.83 Mbits/sec
[  3] 6.0000-7.0000 sec  1.26 MBytes  10.6 Mbits/sec
[  1] 6.0000-7.0000 sec   105 KBytes   857 Kbits/sec
[  1] 7.0000-8.0000 sec   113 KBytes   927 Kbits/sec
[  5] 7.0000-8.0000 sec   590 KBytes  4.83 Mbits/sec
[  2] 7.0000-8.0000 sec   877 KBytes  7.18 Mbits/sec
[  4] 7.0000-8.0000 sec  7.67 MBytes  64.3 Mbits/sec
[  3] 7.0000-8.0000 sec  1.41 MBytes  11.8 Mbits/sec
[  2] 8.0000-9.0000 sec   853 KBytes  6.99 Mbits/sec
[  3] 8.0000-9.0000 sec  1.59 MBytes  13.3 Mbits/sec
[  4] 8.0000-9.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  5] 8.0000-9.0000 sec   577 KBytes  4.73 Mbits/sec
[  1] 8.0000-9.0000 sec   151 KBytes  1.24 Mbits/sec
[  1] 9.0000-10.0000 sec   157 KBytes  1.29 Mbits/sec
[  2] 9.0000-10.0000 sec   793 KBytes  6.50 Mbits/sec
[  3] 9.0000-10.0000 sec  1.44 MBytes  12.1 Mbits/sec
[  4] 9.0000-10.0000 sec  6.19 MBytes  52.0 Mbits/sec
[  5] 9.0000-10.0000 sec   512 KBytes  4.19 Mbits/sec
[  2] 10.0000-10.8412 sec   821 KBytes  8.00 Mbits/sec
[  2] 0.0000-10.8412 sec  7.36 MBytes  5.69 Mbits/sec
[  3] 10.0000-11.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  5] 10.0000-11.0000 sec   503 KBytes  4.12 Mbits/sec
[  4] 10.0000-11.0000 sec  6.51 MBytes  54.6 Mbits/sec
[  3] 0.0000-11.0674 sec  21.7 MBytes  16.4 Mbits/sec
[  1] 10.0000-11.0000 sec   187 KBytes  1.53 Mbits/sec
[  4] 11.0000-11.2511 sec  2.41 MBytes  80.6 Mbits/sec
[  4] 0.0000-11.2511 sec  78.8 MBytes  58.7 Mbits/sec
[  5] 11.0000-11.3846 sec   764 KBytes  16.3 Mbits/sec
[  5] 0.0000-11.3846 sec  8.14 MBytes  6.00 Mbits/sec
[  1] 11.0000-11.4745 sec   167 KBytes  2.88 Mbits/sec
[  1] 0.0000-11.4745 sec  1.63 MBytes  1.19 Mbits/sec
