------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  6] 0.0000-10.8414 sec  3.97 MBytes  3.07 Mbits/sec
[  2] 10.0000-10.9113 sec  1.43 MBytes  13.2 Mbits/sec
[  2] 0.0000-10.9113 sec  16.9 MBytes  13.0 Mbits/sec
[  3] 10.0000-10.9460 sec   519 KBytes  4.49 Mbits/sec
[  3] 0.0000-10.9460 sec  3.67 MBytes  2.81 Mbits/sec
[  4] 10.0000-10.9274 sec  4.53 MBytes  41.0 Mbits/sec
[  4] 0.0000-10.9274 sec  58.0 MBytes  44.5 Mbits/sec
[  7] 10.0000-11.0000 sec   214 KBytes  1.75 Mbits/sec
[  7] 11.0000-11.3479 sec   328 KBytes  7.72 Mbits/sec
[  7] 0.0000-11.3479 sec  3.14 MBytes  2.32 Mbits/sec
