------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.2 port 5001 connected with 192.168.2.2 port 39866
[  2] local 192.168.1.2 port 5001 connected with 192.168.4.2 port 48142
[  3] local 192.168.1.2 port 5001 connected with 192.168.3.2 port 55578
[  4] local 192.168.1.2 port 5001 connected with 192.168.5.2 port 50068
[  5] local 192.168.1.2 port 5001 connected with 192.168.6.2 port 40648
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.83 MBytes  15.3 Mbits/sec
[  2] 0.0000-1.0000 sec  9.34 MBytes  78.3 Mbits/sec
[  3] 0.0000-1.0000 sec  6.70 MBytes  56.2 Mbits/sec
[  5] 0.0000-1.0000 sec  2.01 MBytes  16.9 Mbits/sec
[  4] 0.0000-1.0000 sec  2.78 MBytes  23.3 Mbits/sec
[  5] 1.0000-2.0000 sec  1.81 MBytes  15.2 Mbits/sec
[  1] 1.0000-2.0000 sec  2.36 MBytes  19.8 Mbits/sec
[  2] 1.0000-2.0000 sec  9.56 MBytes  80.2 Mbits/sec
[  3] 1.0000-2.0000 sec  5.31 MBytes  44.6 Mbits/sec
[  4] 1.0000-2.0000 sec  3.12 MBytes  26.2 Mbits/sec
[  1] 2.0000-3.0000 sec  3.88 MBytes  32.6 Mbits/sec
[  5] 2.0000-3.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  2] 2.0000-3.0000 sec  9.77 MBytes  81.9 Mbits/sec
[  3] 2.0000-3.0000 sec  3.98 MBytes  33.4 Mbits/sec
[  4] 2.0000-3.0000 sec  3.15 MBytes  26.4 Mbits/sec
[  1] 3.0000-4.0000 sec  4.79 MBytes  40.2 Mbits/sec
[  2] 3.0000-4.0000 sec  9.96 MBytes  83.6 Mbits/sec
[  3] 3.0000-4.0000 sec  3.24 MBytes  27.1 Mbits/sec
[  5] 3.0000-4.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  4] 3.0000-4.0000 sec  3.32 MBytes  27.8 Mbits/sec
[  1] 4.0000-5.0000 sec  5.38 MBytes  45.1 Mbits/sec
[  2] 4.0000-5.0000 sec  10.0 MBytes  84.1 Mbits/sec
[  3] 4.0000-5.0000 sec  2.56 MBytes  21.4 Mbits/sec
[  5] 4.0000-5.0000 sec  1.28 MBytes  10.8 Mbits/sec
[  4] 4.0000-5.0000 sec  3.27 MBytes  27.4 Mbits/sec
[  1] 5.0000-6.0000 sec  5.59 MBytes  46.9 Mbits/sec
[  2] 5.0000-6.0000 sec  10.1 MBytes  84.8 Mbits/sec
[  3] 5.0000-6.0000 sec  2.27 MBytes  19.0 Mbits/sec
[  5] 5.0000-6.0000 sec  1.29 MBytes  10.8 Mbits/sec
[  4] 5.0000-6.0000 sec  3.49 MBytes  29.3 Mbits/sec
[  1] 6.0000-7.0000 sec  5.08 MBytes  42.6 Mbits/sec
[  5] 6.0000-7.0000 sec  1001 KBytes  8.20 Mbits/sec
[  2] 6.0000-7.0000 sec  10.4 MBytes  87.3 Mbits/sec
[  3] 6.0000-7.0000 sec  3.26 MBytes  27.3 Mbits/sec
[  4] 6.0000-7.0000 sec  2.97 MBytes  24.9 Mbits/sec
[  1] 7.0000-8.0000 sec  4.53 MBytes  38.0 Mbits/sec
[  5] 7.0000-8.0000 sec   984 KBytes  8.06 Mbits/sec
[  2] 7.0000-8.0000 sec  10.4 MBytes  87.5 Mbits/sec
[  3] 7.0000-8.0000 sec  3.59 MBytes  30.1 Mbits/sec
[  4] 7.0000-8.0000 sec  3.18 MBytes  26.6 Mbits/sec
[  1] 8.0000-9.0000 sec  4.77 MBytes  40.0 Mbits/sec
[  2] 8.0000-9.0000 sec  10.4 MBytes  87.5 Mbits/sec
[  3] 8.0000-9.0000 sec  3.65 MBytes  30.6 Mbits/sec
[  5] 8.0000-9.0000 sec   971 KBytes  7.96 Mbits/sec
[  4] 8.0000-9.0000 sec  2.85 MBytes  23.9 Mbits/sec
[  1] 9.0000-10.0000 sec  4.92 MBytes  41.3 Mbits/sec
[  2] 9.0000-10.0000 sec  10.4 MBytes  87.5 Mbits/sec
[  3] 9.0000-10.0000 sec  3.34 MBytes  28.0 Mbits/sec
[  5] 9.0000-10.0000 sec   916 KBytes  7.51 Mbits/sec
[  4] 9.0000-10.0000 sec  2.95 MBytes  24.8 Mbits/sec
[  1] 10.0000-10.2732 sec  1.36 MBytes  41.7 Mbits/sec
[  1] 0.0000-10.2732 sec  44.5 MBytes  36.3 Mbits/sec
[  3] 10.0000-10.7366 sec  4.86 MBytes  55.4 Mbits/sec
[  3] 0.0000-10.7366 sec  42.8 MBytes  33.4 Mbits/sec
[  2] 10.0000-11.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  5] 10.0000-11.0000 sec   885 KBytes  7.25 Mbits/sec
[  2] 0.0000-11.2025 sec   113 MBytes  84.7 Mbits/sec
[  4] 10.0000-11.0000 sec  3.30 MBytes  27.7 Mbits/sec
[  5] 11.0000-11.3633 sec  2.07 MBytes  47.7 Mbits/sec
[  5] 0.0000-11.3633 sec  16.2 MBytes  11.9 Mbits/sec
[  4] 11.0000-11.7518 sec  2.56 MBytes  28.6 Mbits/sec
[  4] 0.0000-11.7518 sec  36.9 MBytes  26.4 Mbits/sec
