------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.7.2 port 5001 connected with 192.168.1.2 port 37854
[  2] local 192.168.7.2 port 5001 connected with 192.168.3.2 port 34666
[  3] local 192.168.7.2 port 5001 connected with 192.168.5.2 port 53198
[  4] local 192.168.7.2 port 5001 connected with 192.168.2.2 port 40482
[  5] local 192.168.7.2 port 5001 connected with 192.168.6.2 port 47290
[  6] local 192.168.7.2 port 5001 connected with 192.168.4.2 port 42994
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  4.44 MBytes  37.2 Mbits/sec
[  6] 0.0000-1.0000 sec  2.46 MBytes  20.6 Mbits/sec
[  3] 0.0000-1.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  4] 0.0000-1.0000 sec  5.63 MBytes  47.3 Mbits/sec
[  1] 0.0000-1.0000 sec  1.11 MBytes  9.31 Mbits/sec
[  5] 0.0000-1.0000 sec  1.72 MBytes  14.4 Mbits/sec
[  2] 1.0000-2.0000 sec  5.66 MBytes  47.5 Mbits/sec
[  5] 1.0000-2.0000 sec  1.18 MBytes  9.86 Mbits/sec
[  6] 1.0000-2.0000 sec  1.96 MBytes  16.5 Mbits/sec
[  3] 1.0000-2.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  4] 1.0000-2.0000 sec  4.33 MBytes  36.3 Mbits/sec
[  1] 1.0000-2.0000 sec   631 KBytes  5.17 Mbits/sec
[  2] 2.0000-3.0000 sec  6.89 MBytes  57.8 Mbits/sec
[  1] 2.0000-3.0000 sec   663 KBytes  5.43 Mbits/sec
[  3] 2.0000-3.0000 sec  1.33 MBytes  11.2 Mbits/sec
[  4] 2.0000-3.0000 sec  3.15 MBytes  26.4 Mbits/sec
[  5] 2.0000-3.0000 sec  1.01 MBytes  8.43 Mbits/sec
[  6] 2.0000-3.0000 sec  2.10 MBytes  17.7 Mbits/sec
[  2] 3.0000-4.0000 sec  7.48 MBytes  62.7 Mbits/sec
[  4] 3.0000-4.0000 sec  2.40 MBytes  20.1 Mbits/sec
[  5] 3.0000-4.0000 sec  1.09 MBytes  9.17 Mbits/sec
[  6] 3.0000-4.0000 sec  2.12 MBytes  17.7 Mbits/sec
[  3] 3.0000-4.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  1] 3.0000-4.0000 sec   665 KBytes  5.44 Mbits/sec
[  2] 4.0000-5.0000 sec  7.96 MBytes  66.8 Mbits/sec
[  3] 4.0000-5.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  4] 4.0000-5.0000 sec  1.97 MBytes  16.5 Mbits/sec
[  6] 4.0000-5.0000 sec  2.10 MBytes  17.6 Mbits/sec
[  5] 4.0000-5.0000 sec   902 KBytes  7.39 Mbits/sec
[  1] 4.0000-5.0000 sec   611 KBytes  5.00 Mbits/sec
[  2] 5.0000-6.0000 sec  8.13 MBytes  68.2 Mbits/sec
[  3] 5.0000-6.0000 sec  1.55 MBytes  13.0 Mbits/sec
[  4] 5.0000-6.0000 sec  1.69 MBytes  14.2 Mbits/sec
[  6] 5.0000-6.0000 sec  2.12 MBytes  17.8 Mbits/sec
[  5] 5.0000-6.0000 sec   981 KBytes  8.04 Mbits/sec
[  1] 5.0000-6.0000 sec   648 KBytes  5.31 Mbits/sec
[  2] 6.0000-7.0000 sec  7.90 MBytes  66.3 Mbits/sec
[  1] 6.0000-7.0000 sec   824 KBytes  6.75 Mbits/sec
[  4] 6.0000-7.0000 sec  1.57 MBytes  13.2 Mbits/sec
[  6] 6.0000-7.0000 sec  2.56 MBytes  21.5 Mbits/sec
[  3] 6.0000-7.0000 sec  1.83 MBytes  15.4 Mbits/sec
[  5] 6.0000-7.0000 sec  1.09 MBytes  9.16 Mbits/sec
[  2] 7.0000-8.0000 sec  8.38 MBytes  70.3 Mbits/sec
[  3] 7.0000-8.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  6] 7.0000-8.0000 sec  4.49 MBytes  37.7 Mbits/sec
[  4] 7.0000-8.0000 sec  1.51 MBytes  12.6 Mbits/sec
[  1] 7.0000-8.0000 sec  1.76 MBytes  14.8 Mbits/sec
[  5] 7.0000-8.0000 sec  1.80 MBytes  15.1 Mbits/sec
[  2] 8.0000-9.0000 sec  8.42 MBytes  70.6 Mbits/sec
[  1] 8.0000-9.0000 sec  1.64 MBytes  13.8 Mbits/sec
[  5] 8.0000-9.0000 sec  1.66 MBytes  13.9 Mbits/sec
[  6] 8.0000-9.0000 sec  4.66 MBytes  39.0 Mbits/sec
[  3] 8.0000-9.0000 sec  1.46 MBytes  12.2 Mbits/sec
[  4] 8.0000-9.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  2] 9.0000-10.0000 sec  8.45 MBytes  70.9 Mbits/sec
[  5] 9.0000-10.0000 sec  2.15 MBytes  18.0 Mbits/sec
[  6] 9.0000-10.0000 sec  5.16 MBytes  43.3 Mbits/sec
[  3] 9.0000-10.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  4] 9.0000-10.0000 sec  1.51 MBytes  12.7 Mbits/sec
[  1] 9.0000-10.0000 sec  1.72 MBytes  14.4 Mbits/sec
[  2] 0.0000-10.1674 sec  75.1 MBytes  62.0 Mbits/sec
[  3] 0.0000-10.2465 sec  15.6 MBytes  12.8 Mbits/sec
[  1] 10.0000-10.8870 sec  1.26 MBytes  11.9 Mbits/sec
[  1] 0.0000-10.8870 sec  11.4 MBytes  8.81 Mbits/sec
[  6] 10.0000-10.8792 sec  5.59 MBytes  53.4 Mbits/sec
[  6] 0.0000-10.8792 sec  35.3 MBytes  27.2 Mbits/sec
[  5] 10.0000-11.0000 sec  2.73 MBytes  22.9 Mbits/sec
[  5] 0.0000-11.0535 sec  16.6 MBytes  12.6 Mbits/sec
[  4] 10.0000-11.0000 sec  1.34 MBytes  11.3 Mbits/sec
[  4] 11.0000-11.6052 sec  2.39 MBytes  33.1 Mbits/sec
