------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.8.2 port 5001 connected with 192.168.2.2 port 52552
[  2] local 192.168.8.2 port 5001 connected with 192.168.4.2 port 33804
[  3] local 192.168.8.2 port 5001 connected with 192.168.3.2 port 33846
[  4] local 192.168.8.2 port 5001 connected with 192.168.5.2 port 56918
[  5] local 192.168.8.2 port 5001 connected with 192.168.6.2 port 39790
[  6] local 192.168.8.2 port 5001 connected with 192.168.10.2 port 58716
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  5.45 MBytes  45.7 Mbits/sec
[  3] 0.0000-1.0000 sec  3.65 MBytes  30.6 Mbits/sec
[  4] 0.0000-1.0000 sec   830 KBytes  6.80 Mbits/sec
[  1] 0.0000-1.0000 sec   670 KBytes  5.49 Mbits/sec
[  5] 0.0000-1.0000 sec  5.87 MBytes  49.3 Mbits/sec
[  6] 0.0000-1.0000 sec  6.35 MBytes  53.3 Mbits/sec
[  2] 1.0000-2.0000 sec  5.70 MBytes  47.8 Mbits/sec
[  3] 1.0000-2.0000 sec  3.75 MBytes  31.5 Mbits/sec
[  4] 1.0000-2.0000 sec   544 KBytes  4.46 Mbits/sec
[  5] 1.0000-2.0000 sec  5.51 MBytes  46.3 Mbits/sec
[  6] 1.0000-2.0000 sec  6.60 MBytes  55.4 Mbits/sec
[  1] 1.0000-2.0000 sec   382 KBytes  3.13 Mbits/sec
[  2] 2.0000-3.0000 sec  6.91 MBytes  57.9 Mbits/sec
[  3] 2.0000-3.0000 sec  3.64 MBytes  30.5 Mbits/sec
[  4] 2.0000-3.0000 sec   537 KBytes  4.40 Mbits/sec
[  1] 2.0000-3.0000 sec   307 KBytes  2.51 Mbits/sec
[  5] 2.0000-3.0000 sec  4.23 MBytes  35.4 Mbits/sec
[  6] 2.0000-3.0000 sec  6.55 MBytes  55.0 Mbits/sec
[  2] 3.0000-4.0000 sec  6.95 MBytes  58.3 Mbits/sec
[  3] 3.0000-4.0000 sec  3.21 MBytes  26.9 Mbits/sec
[  4] 3.0000-4.0000 sec   539 KBytes  4.41 Mbits/sec
[  1] 3.0000-4.0000 sec   276 KBytes  2.26 Mbits/sec
[  5] 3.0000-4.0000 sec  3.39 MBytes  28.4 Mbits/sec
[  6] 3.0000-4.0000 sec  6.69 MBytes  56.1 Mbits/sec
[  2] 4.0000-5.0000 sec  6.25 MBytes  52.4 Mbits/sec
[  4] 4.0000-5.0000 sec   505 KBytes  4.14 Mbits/sec
[  5] 4.0000-5.0000 sec  3.26 MBytes  27.3 Mbits/sec
[  1] 4.0000-5.0000 sec   253 KBytes  2.07 Mbits/sec
[  6] 4.0000-5.0000 sec  7.15 MBytes  59.9 Mbits/sec
[  3] 4.0000-5.0000 sec  2.83 MBytes  23.8 Mbits/sec
[  2] 5.0000-6.0000 sec  6.25 MBytes  52.4 Mbits/sec
[  1] 5.0000-6.0000 sec   257 KBytes  2.11 Mbits/sec
