------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.8.2 port 5001 connected with 192.168.1.2 port 36782
[  2] local 192.168.8.2 port 5001 connected with 192.168.2.2 port 43512
[  3] local 192.168.8.2 port 5001 connected with 192.168.6.2 port 34030
[  4] local 192.168.8.2 port 5001 connected with 192.168.3.2 port 40644
[  5] local 192.168.8.2 port 5001 connected with 192.168.4.2 port 44726
[  6] local 192.168.8.2 port 5001 connected with 192.168.9.2 port 46506
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-1.0000 sec  2.32 MBytes  19.5 Mbits/sec
[  1] 0.0000-1.0000 sec  7.13 MBytes  59.8 Mbits/sec
[  2] 0.0000-1.0000 sec   212 KBytes  1.74 Mbits/sec
[  4] 0.0000-1.0000 sec   489 KBytes  4.01 Mbits/sec
[  5] 0.0000-1.0000 sec   840 KBytes  6.88 Mbits/sec
[  6] 0.0000-1.0000 sec   324 KBytes  2.65 Mbits/sec
[  1] 1.0000-2.0000 sec  5.86 MBytes  49.2 Mbits/sec
[  4] 1.0000-2.0000 sec   505 KBytes  4.14 Mbits/sec
[  2] 1.0000-2.0000 sec   146 KBytes  1.19 Mbits/sec
[  3] 1.0000-2.0000 sec  3.60 MBytes  30.2 Mbits/sec
[  5] 1.0000-2.0000 sec   940 KBytes  7.70 Mbits/sec
[  6] 1.0000-2.0000 sec   290 KBytes  2.37 Mbits/sec
[  1] 2.0000-3.0000 sec  5.40 MBytes  45.3 Mbits/sec
[  3] 2.0000-3.0000 sec  4.11 MBytes  34.5 Mbits/sec
[  4] 2.0000-3.0000 sec   430 KBytes  3.52 Mbits/sec
[  2] 2.0000-3.0000 sec   137 KBytes  1.12 Mbits/sec
[  5] 2.0000-3.0000 sec   902 KBytes  7.39 Mbits/sec
[  6] 2.0000-3.0000 sec   246 KBytes  2.02 Mbits/sec
[  1] 3.0000-4.0000 sec  5.98 MBytes  50.2 Mbits/sec
[  3] 3.0000-4.0000 sec  3.86 MBytes  32.4 Mbits/sec
[  4] 3.0000-4.0000 sec   368 KBytes  3.01 Mbits/sec
[  2] 3.0000-4.0000 sec   112 KBytes   915 Kbits/sec
[  5] 3.0000-4.0000 sec   741 KBytes  6.07 Mbits/sec
[  6] 3.0000-4.0000 sec   239 KBytes  1.96 Mbits/sec
[  2] 4.0000-5.0000 sec   123 KBytes  1.01 Mbits/sec
[  3] 4.0000-5.0000 sec  3.94 MBytes  33.0 Mbits/sec
[  1] 4.0000-5.0000 sec  5.75 MBytes  48.2 Mbits/sec
[  4] 4.0000-5.0000 sec   460 KBytes  3.76 Mbits/sec
[  5] 4.0000-5.0000 sec   727 KBytes  5.95 Mbits/sec
[  6] 4.0000-5.0000 sec   209 KBytes  1.71 Mbits/sec
[  1] 5.0000-6.0000 sec  5.27 MBytes  44.2 Mbits/sec
[  4] 5.0000-6.0000 sec   341 KBytes  2.79 Mbits/sec
[  3] 5.0000-6.0000 sec  4.39 MBytes  36.8 Mbits/sec
[  5] 5.0000-6.0000 sec   908 KBytes  7.44 Mbits/sec
[  2] 5.0000-6.0000 sec   106 KBytes   869 Kbits/sec
[  6] 5.0000-6.0000 sec   399 KBytes  3.27 Mbits/sec
[  1] 6.0000-7.0000 sec  4.54 MBytes  38.1 Mbits/sec
