------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.5.2 port 5001 connected with 192.168.1.2 port 33492
[  2] local 192.168.5.2 port 5001 connected with 192.168.3.2 port 37994
[  3] local 192.168.5.2 port 5001 connected with 192.168.4.2 port 49518
[  4] local 192.168.5.2 port 5001 connected with 192.168.7.2 port 54372
[  5] local 192.168.5.2 port 5001 connected with 192.168.8.2 port 37798
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  9.77 MBytes  81.9 Mbits/sec
[  1] 0.0000-1.0000 sec  2.39 MBytes  20.1 Mbits/sec
[  3] 0.0000-1.0000 sec  1.77 MBytes  14.8 Mbits/sec
[  4] 0.0000-1.0000 sec  2.39 MBytes  20.0 Mbits/sec
[  5] 0.0000-1.0000 sec   515 KBytes  4.22 Mbits/sec
[  2] 1.0000-2.0000 sec  10.1 MBytes  85.0 Mbits/sec
[  1] 1.0000-2.0000 sec  1.97 MBytes  16.5 Mbits/sec
[  3] 1.0000-2.0000 sec  1.58 MBytes  13.2 Mbits/sec
[  4] 1.0000-2.0000 sec  2.93 MBytes  24.6 Mbits/sec
[  5] 1.0000-2.0000 sec   665 KBytes  5.44 Mbits/sec
[  2] 2.0000-3.0000 sec  10.4 MBytes  86.9 Mbits/sec
[  1] 2.0000-3.0000 sec  1.89 MBytes  15.9 Mbits/sec
[  3] 2.0000-3.0000 sec  1.70 MBytes  14.3 Mbits/sec
[  4] 2.0000-3.0000 sec  2.73 MBytes  22.9 Mbits/sec
[  5] 2.0000-3.0000 sec   717 KBytes  5.87 Mbits/sec
[  2] 3.0000-4.0000 sec  10.5 MBytes  88.2 Mbits/sec
[  1] 3.0000-4.0000 sec  2.43 MBytes  20.4 Mbits/sec
[  3] 3.0000-4.0000 sec  1.59 MBytes  13.4 Mbits/sec
[  4] 3.0000-4.0000 sec  3.44 MBytes  28.8 Mbits/sec
[  5] 3.0000-4.0000 sec   533 KBytes  4.37 Mbits/sec
[  1] 4.0000-5.0000 sec  5.47 MBytes  45.9 Mbits/sec
[  2] 4.0000-5.0000 sec  10.5 MBytes  88.0 Mbits/sec
[  3] 4.0000-5.0000 sec  1.39 MBytes  11.7 Mbits/sec
[  4] 4.0000-5.0000 sec  7.65 MBytes  64.2 Mbits/sec
[  5] 4.0000-5.0000 sec   833 KBytes  6.82 Mbits/sec
[  2] 5.0000-6.0000 sec  9.67 MBytes  81.1 Mbits/sec
[  1] 5.0000-6.0000 sec  9.62 MBytes  80.7 Mbits/sec
[  3] 5.0000-6.0000 sec  1.59 MBytes  13.3 Mbits/sec
[  4] 5.0000-6.0000 sec  8.53 MBytes  71.6 Mbits/sec
[  5] 5.0000-6.0000 sec   833 KBytes  6.82 Mbits/sec
[  2] 6.0000-7.0000 sec  9.79 MBytes  82.1 Mbits/sec
[  1] 6.0000-7.0000 sec  10.9 MBytes  91.8 Mbits/sec
[  5] 6.0000-7.0000 sec   810 KBytes  6.64 Mbits/sec
[  3] 6.0000-7.0000 sec  1.79 MBytes  15.0 Mbits/sec
[  4] 6.0000-7.0000 sec  8.55 MBytes  71.7 Mbits/sec
[  2] 7.0000-8.0000 sec  9.91 MBytes  83.1 Mbits/sec
[  1] 7.0000-8.0000 sec  11.0 MBytes  92.0 Mbits/sec
[  5] 7.0000-8.0000 sec   772 KBytes  6.32 Mbits/sec
[  3] 7.0000-8.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  4] 7.0000-8.0000 sec  8.40 MBytes  70.5 Mbits/sec
[  1] 8.0000-9.0000 sec  10.9 MBytes  91.6 Mbits/sec
[  2] 8.0000-9.0000 sec  10.0 MBytes  84.2 Mbits/sec
[  3] 8.0000-9.0000 sec  1.39 MBytes  11.7 Mbits/sec
[  4] 8.0000-9.0000 sec  7.36 MBytes  61.7 Mbits/sec
[  5] 8.0000-9.0000 sec   700 KBytes  5.73 Mbits/sec
[  2] 9.0000-10.0000 sec  10.0 MBytes  84.0 Mbits/sec
[  1] 9.0000-10.0000 sec  10.8 MBytes  90.9 Mbits/sec
[  3] 9.0000-10.0000 sec  1.13 MBytes  9.45 Mbits/sec
[  4] 9.0000-10.0000 sec  9.24 MBytes  77.5 Mbits/sec
[  5] 9.0000-10.0000 sec   789 KBytes  6.46 Mbits/sec
[  3] 10.0000-10.3549 sec   974 KBytes  22.5 Mbits/sec
[  3] 0.0000-10.3549 sec  16.5 MBytes  13.4 Mbits/sec
[  2] 10.0000-10.7087 sec  6.93 MBytes  82.0 Mbits/sec
[  2] 0.0000-10.7087 sec   108 MBytes  84.3 Mbits/sec
[  1] 10.0000-10.9682 sec  10.3 MBytes  89.2 Mbits/sec
[  1] 0.0000-10.9682 sec  77.7 MBytes  59.5 Mbits/sec
[  4] 10.0000-11.0000 sec  8.45 MBytes  70.9 Mbits/sec
[  5] 10.0000-11.0000 sec   365 KBytes  2.99 Mbits/sec
[  4] 11.0000-11.5662 sec  4.18 MBytes  62.0 Mbits/sec
[  4] 0.0000-11.5662 sec  73.8 MBytes  53.6 Mbits/sec
[  5] 11.0000-11.8637 sec  1.59 MBytes  15.4 Mbits/sec
[  5] 0.0000-11.8637 sec  8.94 MBytes  6.32 Mbits/sec
