------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.4.2 port 5001 connected with 192.168.1.2 port 54326
[  2] local 192.168.4.2 port 5001 connected with 192.168.2.2 port 55720
[  3] local 192.168.4.2 port 5001 connected with 192.168.7.2 port 33438
[  4] local 192.168.4.2 port 5001 connected with 192.168.10.2 port 57602
[  5] local 192.168.4.2 port 5001 connected with 192.168.6.2 port 39024
[  6] local 192.168.4.2 port 5001 connected with 192.168.9.2 port 55074
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  7.91 MBytes  66.4 Mbits/sec
[  1] 0.0000-1.0000 sec   617 KBytes  5.05 Mbits/sec
[  3] 0.0000-1.0000 sec  4.29 MBytes  36.0 Mbits/sec
[  4] 0.0000-1.0000 sec  7.50 MBytes  62.9 Mbits/sec
[  6] 0.0000-1.0000 sec   877 KBytes  7.18 Mbits/sec
[  5] 0.0000-1.0000 sec   677 KBytes  5.55 Mbits/sec
[  2] 1.0000-2.0000 sec  8.65 MBytes  72.5 Mbits/sec
[  1] 1.0000-2.0000 sec   512 KBytes  4.19 Mbits/sec
[  3] 1.0000-2.0000 sec  5.78 MBytes  48.5 Mbits/sec
[  4] 1.0000-2.0000 sec  7.50 MBytes  62.9 Mbits/sec
[  5] 1.0000-2.0000 sec   407 KBytes  3.34 Mbits/sec
[  6] 1.0000-2.0000 sec   957 KBytes  7.84 Mbits/sec
[  2] 2.0000-3.0000 sec  8.34 MBytes  69.9 Mbits/sec
[  1] 2.0000-3.0000 sec   650 KBytes  5.33 Mbits/sec
[  3] 2.0000-3.0000 sec  7.14 MBytes  59.9 Mbits/sec
[  4] 2.0000-3.0000 sec  7.50 MBytes  62.9 Mbits/sec
[  5] 2.0000-3.0000 sec   339 KBytes  2.78 Mbits/sec
[  6] 2.0000-3.0000 sec  1.15 MBytes  9.61 Mbits/sec
[  2] 3.0000-4.0000 sec  7.97 MBytes  66.8 Mbits/sec
[  1] 3.0000-4.0000 sec   833 KBytes  6.82 Mbits/sec
[  3] 3.0000-4.0000 sec  8.17 MBytes  68.6 Mbits/sec
[  4] 3.0000-4.0000 sec  7.50 MBytes  62.9 Mbits/sec
[  5] 3.0000-4.0000 sec   300 KBytes  2.46 Mbits/sec
[  6] 3.0000-4.0000 sec  1.48 MBytes  12.4 Mbits/sec
[  2] 4.0000-5.0000 sec  7.42 MBytes  62.2 Mbits/sec
[  1] 4.0000-5.0000 sec  1.01 MBytes  8.46 Mbits/sec
[  3] 4.0000-5.0000 sec  8.78 MBytes  73.7 Mbits/sec
[  4] 4.0000-5.0000 sec  7.50 MBytes  62.9 Mbits/sec
[  6] 4.0000-5.0000 sec  1.73 MBytes  14.5 Mbits/sec
[  5] 4.0000-5.0000 sec   337 KBytes  2.76 Mbits/sec
[  2] 5.0000-6.0000 sec  7.28 MBytes  61.0 Mbits/sec
[  1] 5.0000-6.0000 sec  1.31 MBytes  11.0 Mbits/sec
[  3] 5.0000-6.0000 sec  9.17 MBytes  76.9 Mbits/sec
