------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.6.2 port 5001 connected with 192.168.4.2 port 59752
[  2] local 192.168.6.2 port 5001 connected with 192.168.2.2 port 55152
[  3] local 192.168.6.2 port 5001 connected with 192.168.5.2 port 36058
[  4] local 192.168.6.2 port 5001 connected with 192.168.7.2 port 36870
[  5] local 192.168.6.2 port 5001 connected with 192.168.8.2 port 43700
[  6] local 192.168.6.2 port 5001 connected with 192.168.9.2 port 34958
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  1] 0.0000-1.0000 sec  6.78 MBytes  56.9 Mbits/sec
[  5] 0.0000-1.0000 sec  10.7 MBytes  89.8 Mbits/sec
[  3] 0.0000-1.0000 sec  2.42 MBytes  20.3 Mbits/sec
[  4] 0.0000-1.0000 sec  5.93 MBytes  49.8 Mbits/sec
[  6] 0.0000-1.0000 sec  7.52 MBytes  63.1 Mbits/sec
[  2] 1.0000-2.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  1] 1.0000-2.0000 sec  9.76 MBytes  81.8 Mbits/sec
[  3] 1.0000-2.0000 sec  2.40 MBytes  20.1 Mbits/sec
[  4] 1.0000-2.0000 sec  5.63 MBytes  47.2 Mbits/sec
[  5] 1.0000-2.0000 sec  10.4 MBytes  87.1 Mbits/sec
[  6] 1.0000-2.0000 sec  7.29 MBytes  61.1 Mbits/sec
[  2] 2.0000-3.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  3] 2.0000-3.0000 sec  2.78 MBytes  23.3 Mbits/sec
[  4] 2.0000-3.0000 sec  6.15 MBytes  51.6 Mbits/sec
[  1] 2.0000-3.0000 sec  10.8 MBytes  90.4 Mbits/sec
[  5] 2.0000-3.0000 sec  10.7 MBytes  90.1 Mbits/sec
[  6] 2.0000-3.0000 sec  7.03 MBytes  59.0 Mbits/sec
[  2] 3.0000-4.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  3] 3.0000-4.0000 sec  2.99 MBytes  25.1 Mbits/sec
[  4] 3.0000-4.0000 sec  6.43 MBytes  53.9 Mbits/sec
[  1] 3.0000-4.0000 sec  11.1 MBytes  92.9 Mbits/sec
[  5] 3.0000-4.0000 sec  10.8 MBytes  90.5 Mbits/sec
[  6] 3.0000-4.0000 sec  7.07 MBytes  59.3 Mbits/sec
[  2] 4.0000-5.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  3] 4.0000-5.0000 sec  4.92 MBytes  41.3 Mbits/sec
[  4] 4.0000-5.0000 sec  7.10 MBytes  59.6 Mbits/sec
[  1] 4.0000-5.0000 sec  10.4 MBytes  86.9 Mbits/sec
[  5] 4.0000-5.0000 sec  11.1 MBytes  93.5 Mbits/sec
[  6] 4.0000-5.0000 sec  8.22 MBytes  69.0 Mbits/sec
[  1] 5.0000-6.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  2] 5.0000-6.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  3] 5.0000-6.0000 sec  5.98 MBytes  50.2 Mbits/sec
[  4] 5.0000-6.0000 sec  6.25 MBytes  52.4 Mbits/sec
[  5] 5.0000-6.0000 sec  10.8 MBytes  90.4 Mbits/sec
[  6] 5.0000-6.0000 sec  7.88 MBytes  66.1 Mbits/sec
[  2] 6.0000-7.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  1] 6.0000-7.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  3] 6.0000-7.0000 sec  6.48 MBytes  54.3 Mbits/sec
[  4] 6.0000-7.0000 sec  6.25 MBytes  52.4 Mbits/sec
[  5] 6.0000-7.0000 sec  11.1 MBytes  92.9 Mbits/sec
[  6] 6.0000-7.0000 sec  7.97 MBytes  66.9 Mbits/sec
[  2] 7.0000-8.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  1] 7.0000-8.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  3] 7.0000-8.0000 sec  6.90 MBytes  57.9 Mbits/sec
[  4] 7.0000-8.0000 sec  6.25 MBytes  52.4 Mbits/sec
[  5] 7.0000-8.0000 sec  11.3 MBytes  94.4 Mbits/sec
[  6] 7.0000-8.0000 sec  8.18 MBytes  68.6 Mbits/sec
[  2] 8.0000-9.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  1] 8.0000-9.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  3] 8.0000-9.0000 sec  7.17 MBytes  60.1 Mbits/sec
[  4] 8.0000-9.0000 sec  6.25 MBytes  52.4 Mbits/sec
[  5] 8.0000-9.0000 sec  11.2 MBytes  94.0 Mbits/sec
[  6] 8.0000-9.0000 sec  8.93 MBytes  74.9 Mbits/sec
[  2] 9.0000-10.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  3] 9.0000-10.0000 sec  7.02 MBytes  58.9 Mbits/sec
[  4] 9.0000-10.0000 sec  6.25 MBytes  52.4 Mbits/sec
[  1] 9.0000-10.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  5] 9.0000-10.0000 sec  10.5 MBytes  88.2 Mbits/sec
[  2] 0.0000-10.0091 sec  65.1 MBytes  54.6 Mbits/sec
[  4] 0.0000-10.0115 sec  62.6 MBytes  52.5 Mbits/sec
[  1] 0.0000-10.0107 sec  97.6 MBytes  81.8 Mbits/sec
[  6] 9.0000-10.0000 sec  8.83 MBytes  74.0 Mbits/sec
[  3] 0.0000-10.1611 sec  50.3 MBytes  41.5 Mbits/sec
[  5] 0.0000-10.1722 sec   111 MBytes  91.1 Mbits/sec
[  6] 10.0000-10.2664 sec  2.46 MBytes  77.5 Mbits/sec
[  6] 0.0000-10.2664 sec  81.4 MBytes  66.5 Mbits/sec
