------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.3.2 port 5001 connected with 192.168.4.2 port 59898
[  2] local 192.168.3.2 port 5001 connected with 192.168.2.2 port 44150
[  3] local 192.168.3.2 port 5001 connected with 192.168.7.2 port 38110
[  4] local 192.168.3.2 port 5001 connected with 192.168.9.2 port 43070
[  5] local 192.168.3.2 port 5001 connected with 192.168.8.2 port 59246
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  7.75 MBytes  65.0 Mbits/sec
[  2] 0.0000-1.0000 sec  2.61 MBytes  21.9 Mbits/sec
[  5] 0.0000-1.0000 sec  4.11 MBytes  34.4 Mbits/sec
[  3] 0.0000-1.0000 sec  3.32 MBytes  27.8 Mbits/sec
[  4] 0.0000-1.0000 sec  6.62 MBytes  55.5 Mbits/sec
[  1] 1.0000-2.0000 sec  7.75 MBytes  65.0 Mbits/sec
[  2] 1.0000-2.0000 sec  2.97 MBytes  24.9 Mbits/sec
[  5] 1.0000-2.0000 sec  4.12 MBytes  34.5 Mbits/sec
[  3] 1.0000-2.0000 sec  3.13 MBytes  26.2 Mbits/sec
[  4] 1.0000-2.0000 sec  6.51 MBytes  54.6 Mbits/sec
[  1] 2.0000-3.0000 sec  7.75 MBytes  65.0 Mbits/sec
[  2] 2.0000-3.0000 sec  3.84 MBytes  32.2 Mbits/sec
[  5] 2.0000-3.0000 sec  4.25 MBytes  35.6 Mbits/sec
[  3] 2.0000-3.0000 sec  2.31 MBytes  19.4 Mbits/sec
[  4] 2.0000-3.0000 sec  6.57 MBytes  55.1 Mbits/sec
[  5] 3.0000-4.0000 sec  4.38 MBytes  36.7 Mbits/sec
[  1] 3.0000-4.0000 sec  7.75 MBytes  65.0 Mbits/sec
[  2] 3.0000-4.0000 sec  4.46 MBytes  37.4 Mbits/sec
[  3] 3.0000-4.0000 sec  1.77 MBytes  14.9 Mbits/sec
[  4] 3.0000-4.0000 sec  6.43 MBytes  54.0 Mbits/sec
[  1] 4.0000-5.0000 sec  7.75 MBytes  65.0 Mbits/sec
[  2] 4.0000-5.0000 sec  4.88 MBytes  40.9 Mbits/sec
[  5] 4.0000-5.0000 sec  4.37 MBytes  36.6 Mbits/sec
[  3] 4.0000-5.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  4] 4.0000-5.0000 sec  6.54 MBytes  54.9 Mbits/sec
[  1] 5.0000-6.0000 sec  7.40 MBytes  62.0 Mbits/sec
[  2] 5.0000-6.0000 sec  4.96 MBytes  41.6 Mbits/sec
[  3] 5.0000-6.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  4] 5.0000-6.0000 sec  6.58 MBytes  55.2 Mbits/sec
[  5] 5.0000-6.0000 sec  3.24 MBytes  27.2 Mbits/sec
[  1] 6.0000-7.0000 sec  6.27 MBytes  52.6 Mbits/sec
[  5] 6.0000-7.0000 sec  4.96 MBytes  41.6 Mbits/sec
[  3] 6.0000-7.0000 sec  1.95 MBytes  16.3 Mbits/sec
[  4] 6.0000-7.0000 sec  6.45 MBytes  54.1 Mbits/sec
[  2] 6.0000-7.0000 sec  4.72 MBytes  39.6 Mbits/sec
[  1] 7.0000-8.0000 sec  5.49 MBytes  46.1 Mbits/sec
[  2] 7.0000-8.0000 sec  4.74 MBytes  39.8 Mbits/sec
[  4] 7.0000-8.0000 sec  6.49 MBytes  54.4 Mbits/sec
[  5] 7.0000-8.0000 sec  3.67 MBytes  30.8 Mbits/sec
[  3] 7.0000-8.0000 sec  2.21 MBytes  18.6 Mbits/sec
[  1] 8.0000-9.0000 sec  5.07 MBytes  42.5 Mbits/sec
[  2] 8.0000-9.0000 sec  4.85 MBytes  40.7 Mbits/sec
[  5] 8.0000-9.0000 sec  3.66 MBytes  30.7 Mbits/sec
[  3] 8.0000-9.0000 sec  1.89 MBytes  15.8 Mbits/sec
[  4] 8.0000-9.0000 sec  6.53 MBytes  54.8 Mbits/sec
[  1] 9.0000-10.0000 sec  5.18 MBytes  43.5 Mbits/sec
[  2] 9.0000-10.0000 sec  4.56 MBytes  38.3 Mbits/sec
[  5] 9.0000-10.0000 sec  3.46 MBytes  29.0 Mbits/sec
[  3] 9.0000-10.0000 sec  1.38 MBytes  11.6 Mbits/sec
[  4] 9.0000-10.0000 sec  6.18 MBytes  51.9 Mbits/sec
[  4] 10.0000-10.3574 sec  2.74 MBytes  64.2 Mbits/sec
[  4] 0.0000-10.3574 sec  67.6 MBytes  54.8 Mbits/sec
[  3] 10.0000-10.8752 sec  2.98 MBytes  28.6 Mbits/sec
[  3] 0.0000-10.8752 sec  23.8 MBytes  18.3 Mbits/sec
[  2] 10.0000-11.0000 sec  3.68 MBytes  30.9 Mbits/sec
[  1] 10.0000-11.0000 sec  5.20 MBytes  43.6 Mbits/sec
[  5] 10.0000-11.0000 sec  3.18 MBytes  26.7 Mbits/sec
[  1] 11.0000-11.3843 sec  4.01 MBytes  87.5 Mbits/sec
[  1] 0.0000-11.3843 sec  77.4 MBytes  57.0 Mbits/sec
[  5] 11.0000-11.5637 sec  3.90 MBytes  58.0 Mbits/sec
[  5] 0.0000-11.5637 sec  47.3 MBytes  34.3 Mbits/sec
[  2] 11.0000-11.7915 sec  4.28 MBytes  45.3 Mbits/sec
[  2] 0.0000-11.7915 sec  50.6 MBytes  36.0 Mbits/sec
