------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.7.2 port 5001 connected with 192.168.4.2 port 38442
[  2] local 192.168.7.2 port 5001 connected with 192.168.2.2 port 38874
[  3] local 192.168.7.2 port 5001 connected with 192.168.5.2 port 56032
[  4] local 192.168.7.2 port 5001 connected with 192.168.6.2 port 36636
[  5] local 192.168.7.2 port 5001 connected with 192.168.8.2 port 40674
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  1.35 MBytes  11.3 Mbits/sec
[  3] 0.0000-1.0000 sec  7.82 MBytes  65.6 Mbits/sec
[  1] 0.0000-1.0000 sec   904 KBytes  7.40 Mbits/sec
[  5] 0.0000-1.0000 sec   782 KBytes  6.41 Mbits/sec
[  4] 0.0000-1.0000 sec   557 KBytes  4.56 Mbits/sec
[  2] 1.0000-2.0000 sec  1.23 MBytes  10.3 Mbits/sec
[  3] 1.0000-2.0000 sec  8.52 MBytes  71.5 Mbits/sec
[  5] 1.0000-2.0000 sec   617 KBytes  5.05 Mbits/sec
[  4] 1.0000-2.0000 sec   451 KBytes  3.70 Mbits/sec
[  1] 1.0000-2.0000 sec   570 KBytes  4.67 Mbits/sec
[  3] 2.0000-3.0000 sec  8.79 MBytes  73.7 Mbits/sec
[  1] 2.0000-3.0000 sec   475 KBytes  3.89 Mbits/sec
[  2] 2.0000-3.0000 sec  1.03 MBytes  8.63 Mbits/sec
[  4] 2.0000-3.0000 sec   539 KBytes  4.41 Mbits/sec
[  5] 2.0000-3.0000 sec   554 KBytes  4.54 Mbits/sec
[  2] 3.0000-4.0000 sec  1.02 MBytes  8.60 Mbits/sec
[  3] 3.0000-4.0000 sec  9.04 MBytes  75.9 Mbits/sec
[  1] 3.0000-4.0000 sec   438 KBytes  3.59 Mbits/sec
[  4] 3.0000-4.0000 sec   406 KBytes  3.32 Mbits/sec
[  5] 3.0000-4.0000 sec   452 KBytes  3.71 Mbits/sec
[  2] 4.0000-5.0000 sec   851 KBytes  6.97 Mbits/sec
[  3] 4.0000-5.0000 sec  9.38 MBytes  78.6 Mbits/sec
[  4] 4.0000-5.0000 sec   321 KBytes  2.63 Mbits/sec
[  5] 4.0000-5.0000 sec   462 KBytes  3.79 Mbits/sec
[  1] 4.0000-5.0000 sec   423 KBytes  3.46 Mbits/sec
[  2] 5.0000-6.0000 sec   711 KBytes  5.83 Mbits/sec
[  3] 5.0000-6.0000 sec  9.34 MBytes  78.4 Mbits/sec
[  1] 5.0000-6.0000 sec   441 KBytes  3.61 Mbits/sec
[  5] 5.0000-6.0000 sec   485 KBytes  3.97 Mbits/sec
[  4] 5.0000-6.0000 sec   373 KBytes  3.06 Mbits/sec
[  2] 6.0000-7.0000 sec   769 KBytes  6.30 Mbits/sec
[  3] 6.0000-7.0000 sec  9.42 MBytes  79.0 Mbits/sec
[  1] 6.0000-7.0000 sec   416 KBytes  3.41 Mbits/sec
[  5] 6.0000-7.0000 sec   503 KBytes  4.12 Mbits/sec
[  4] 6.0000-7.0000 sec   314 KBytes  2.57 Mbits/sec
[  2] 7.0000-8.0000 sec   949 KBytes  7.77 Mbits/sec
[  3] 7.0000-8.0000 sec  9.17 MBytes  77.0 Mbits/sec
[  5] 7.0000-8.0000 sec   542 KBytes  4.44 Mbits/sec
[  4] 7.0000-8.0000 sec   329 KBytes  2.70 Mbits/sec
[  1] 7.0000-8.0000 sec   421 KBytes  3.45 Mbits/sec
[  2] 8.0000-9.0000 sec   928 KBytes  7.60 Mbits/sec
[  3] 8.0000-9.0000 sec  8.87 MBytes  74.4 Mbits/sec
[  1] 8.0000-9.0000 sec   481 KBytes  3.94 Mbits/sec
[  4] 8.0000-9.0000 sec   467 KBytes  3.82 Mbits/sec
[  5] 8.0000-9.0000 sec   673 KBytes  5.51 Mbits/sec
[  2] 9.0000-10.0000 sec   799 KBytes  6.54 Mbits/sec
[  3] 9.0000-10.0000 sec  9.00 MBytes  75.5 Mbits/sec
[  5] 9.0000-10.0000 sec   727 KBytes  5.95 Mbits/sec
[  1] 9.0000-10.0000 sec   557 KBytes  4.56 Mbits/sec
[  4] 9.0000-10.0000 sec   335 KBytes  2.75 Mbits/sec
[  4] 10.0000-11.0000 sec   329 KBytes  2.70 Mbits/sec
[  1] 10.0000-11.0000 sec   560 KBytes  4.59 Mbits/sec
[  5] 10.0000-11.0000 sec   665 KBytes  5.44 Mbits/sec
[  2] 10.0000-11.0000 sec   544 KBytes  4.46 Mbits/sec
[  3] 10.0000-11.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  3] 11.0000-11.6678 sec  7.11 MBytes  89.3 Mbits/sec
[  3] 0.0000-11.6678 sec   103 MBytes  74.1 Mbits/sec
[  1] 11.0000-11.7343 sec  1.69 MBytes  19.3 Mbits/sec
[  1] 0.0000-11.7343 sec  7.24 MBytes  5.18 Mbits/sec
[  4] 11.0000-11.7544 sec   293 KBytes  3.18 Mbits/sec
[  4] 0.0000-11.7544 sec  4.60 MBytes  3.29 Mbits/sec
[  5] 11.0000-11.8084 sec  1.82 MBytes  18.9 Mbits/sec
[  5] 0.0000-11.8084 sec  8.13 MBytes  5.77 Mbits/sec
[  2] 11.0000-11.8421 sec  1.23 MBytes  12.2 Mbits/sec
[  2] 0.0000-11.8421 sec  11.3 MBytes  7.99 Mbits/sec
