------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.3.2 port 5001 connected with 192.168.1.2 port 32894
[  2] local 192.168.3.2 port 5001 connected with 192.168.5.2 port 58782
[  3] local 192.168.3.2 port 5001 connected with 192.168.6.2 port 35580
[  4] local 192.168.3.2 port 5001 connected with 192.168.7.2 port 33264
[  5] local 192.168.3.2 port 5001 connected with 192.168.9.2 port 54828
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  2.45 MBytes  20.5 Mbits/sec
[  2] 0.0000-1.0000 sec  1.83 MBytes  15.3 Mbits/sec
[  3] 0.0000-1.0000 sec  9.53 MBytes  80.0 Mbits/sec
[  5] 0.0000-1.0000 sec  6.82 MBytes  57.2 Mbits/sec
[  4] 0.0000-1.0000 sec  1.67 MBytes  14.0 Mbits/sec
[  1] 1.0000-2.0000 sec  2.70 MBytes  22.7 Mbits/sec
[  5] 1.0000-2.0000 sec  6.51 MBytes  54.6 Mbits/sec
[  2] 1.0000-2.0000 sec  1.73 MBytes  14.5 Mbits/sec
[  3] 1.0000-2.0000 sec  9.62 MBytes  80.7 Mbits/sec
[  4] 1.0000-2.0000 sec  2.17 MBytes  18.2 Mbits/sec
[  1] 2.0000-3.0000 sec  2.66 MBytes  22.3 Mbits/sec
[  5] 2.0000-3.0000 sec  6.15 MBytes  51.6 Mbits/sec
[  2] 2.0000-3.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  3] 2.0000-3.0000 sec  9.96 MBytes  83.6 Mbits/sec
[  4] 2.0000-3.0000 sec  2.56 MBytes  21.5 Mbits/sec
[  1] 3.0000-4.0000 sec  2.57 MBytes  21.6 Mbits/sec
[  3] 3.0000-4.0000 sec  10.3 MBytes  86.5 Mbits/sec
[  4] 3.0000-4.0000 sec  2.87 MBytes  24.1 Mbits/sec
[  5] 3.0000-4.0000 sec  5.89 MBytes  49.4 Mbits/sec
[  2] 3.0000-4.0000 sec  1.00 MBytes  8.41 Mbits/sec
[  1] 4.0000-5.0000 sec  2.53 MBytes  21.2 Mbits/sec
[  5] 4.0000-5.0000 sec  5.72 MBytes  48.0 Mbits/sec
[  2] 4.0000-5.0000 sec   894 KBytes  7.32 Mbits/sec
[  3] 4.0000-5.0000 sec  10.5 MBytes  87.8 Mbits/sec
[  4] 4.0000-5.0000 sec  3.13 MBytes  26.2 Mbits/sec
[  1] 5.0000-6.0000 sec  2.50 MBytes  21.0 Mbits/sec
[  5] 5.0000-6.0000 sec  5.54 MBytes  46.5 Mbits/sec
[  2] 5.0000-6.0000 sec   728 KBytes  5.97 Mbits/sec
[  3] 5.0000-6.0000 sec  10.6 MBytes  88.8 Mbits/sec
[  4] 5.0000-6.0000 sec  3.32 MBytes  27.9 Mbits/sec
[  1] 6.0000-7.0000 sec  2.57 MBytes  21.6 Mbits/sec
[  2] 6.0000-7.0000 sec   775 KBytes  6.35 Mbits/sec
[  3] 6.0000-7.0000 sec  10.6 MBytes  88.7 Mbits/sec
[  4] 6.0000-7.0000 sec  3.46 MBytes  29.1 Mbits/sec
[  5] 6.0000-7.0000 sec  5.33 MBytes  44.7 Mbits/sec
[  1] 7.0000-8.0000 sec  3.39 MBytes  28.5 Mbits/sec
[  3] 7.0000-8.0000 sec  10.5 MBytes  88.3 Mbits/sec
[  5] 7.0000-8.0000 sec  4.67 MBytes  39.2 Mbits/sec
[  2] 7.0000-8.0000 sec   837 KBytes  6.86 Mbits/sec
[  4] 7.0000-8.0000 sec  3.31 MBytes  27.8 Mbits/sec
[  1] 8.0000-9.0000 sec  4.02 MBytes  33.7 Mbits/sec
[  5] 8.0000-9.0000 sec  4.12 MBytes  34.5 Mbits/sec
[  2] 8.0000-9.0000 sec   997 KBytes  8.17 Mbits/sec
[  3] 8.0000-9.0000 sec  10.4 MBytes  86.9 Mbits/sec
[  4] 8.0000-9.0000 sec  3.21 MBytes  26.9 Mbits/sec
[  1] 9.0000-10.0000 sec  4.19 MBytes  35.2 Mbits/sec
[  5] 9.0000-10.0000 sec  3.83 MBytes  32.2 Mbits/sec
[  2] 9.0000-10.0000 sec  1.20 MBytes  10.1 Mbits/sec
[  3] 9.0000-10.0000 sec  10.1 MBytes  84.8 Mbits/sec
[  4] 9.0000-10.0000 sec  3.38 MBytes  28.4 Mbits/sec
[  1] 10.0000-11.0000 sec  4.35 MBytes  36.5 Mbits/sec
[  2] 10.0000-11.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  3] 10.0000-11.0000 sec  9.85 MBytes  82.6 Mbits/sec
[  4] 10.0000-11.0000 sec  3.53 MBytes  29.6 Mbits/sec
[  1] 0.0000-11.2130 sec  34.7 MBytes  25.9 Mbits/sec
[  5] 10.0000-11.0000 sec  2.70 MBytes  22.7 Mbits/sec
[  3] 11.0000-11.5036 sec  4.89 MBytes  81.4 Mbits/sec
[  3] 0.0000-11.5036 sec   117 MBytes  85.2 Mbits/sec
[  2] 11.0000-11.5290 sec  1.06 MBytes  16.8 Mbits/sec
[  2] 0.0000-11.5290 sec  13.8 MBytes  10.0 Mbits/sec
[  4] 11.0000-11.7556 sec  4.66 MBytes  51.7 Mbits/sec
[  4] 0.0000-11.7556 sec  37.3 MBytes  26.6 Mbits/sec
[  5] 11.0000-12.0000 sec  6.88 MBytes  57.7 Mbits/sec
[  5] 0.0000-12.2375 sec  66.9 MBytes  45.8 Mbits/sec
