------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.2 port 5001 connected with 192.168.2.2 port 46204
[  2] local 192.168.1.2 port 5001 connected with 192.168.3.2 port 45942
[  3] local 192.168.1.2 port 5001 connected with 192.168.6.2 port 43216
[  4] local 192.168.1.2 port 5001 connected with 192.168.4.2 port 35168
[  5] local 192.168.1.2 port 5001 connected with 192.168.5.2 port 34588
[ ID] Interval       Transfer     Bandwidth
[  5] 0.0000-1.0000 sec  6.51 MBytes  54.6 Mbits/sec
[  1] 0.0000-1.0000 sec  1.19 MBytes  10.0 Mbits/sec
[  2] 0.0000-1.0000 sec  4.40 MBytes  36.9 Mbits/sec
[  3] 0.0000-1.0000 sec  7.01 MBytes  58.8 Mbits/sec
[  4] 0.0000-1.0000 sec  1.23 MBytes  10.3 Mbits/sec
[  5] 1.0000-2.0000 sec  7.18 MBytes  60.2 Mbits/sec
[  1] 1.0000-2.0000 sec   793 KBytes  6.50 Mbits/sec
[  2] 1.0000-2.0000 sec  3.03 MBytes  25.4 Mbits/sec
[  3] 1.0000-2.0000 sec  8.02 MBytes  67.2 Mbits/sec
[  4] 1.0000-2.0000 sec  2.08 MBytes  17.4 Mbits/sec
[  1] 2.0000-3.0000 sec   662 KBytes  5.42 Mbits/sec
[  5] 2.0000-3.0000 sec  7.51 MBytes  63.0 Mbits/sec
[  2] 2.0000-3.0000 sec  2.01 MBytes  16.9 Mbits/sec
[  3] 2.0000-3.0000 sec  8.44 MBytes  70.8 Mbits/sec
[  4] 2.0000-3.0000 sec  2.54 MBytes  21.3 Mbits/sec
[  1] 3.0000-4.0000 sec   561 KBytes  4.60 Mbits/sec
[  5] 3.0000-4.0000 sec  7.73 MBytes  64.9 Mbits/sec
[  2] 3.0000-4.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  3] 3.0000-4.0000 sec  8.73 MBytes  73.2 Mbits/sec
[  4] 3.0000-4.0000 sec  2.65 MBytes  22.2 Mbits/sec
[  5] 4.0000-5.0000 sec  7.89 MBytes  66.2 Mbits/sec
[  1] 4.0000-5.0000 sec   501 KBytes  4.10 Mbits/sec
[  3] 4.0000-5.0000 sec  8.92 MBytes  74.8 Mbits/sec
[  4] 4.0000-5.0000 sec  2.58 MBytes  21.7 Mbits/sec
[  2] 4.0000-5.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  5] 5.0000-6.0000 sec  8.06 MBytes  67.6 Mbits/sec
[  1] 5.0000-6.0000 sec   460 KBytes  3.76 Mbits/sec
[  2] 5.0000-6.0000 sec  1.11 MBytes  9.28 Mbits/sec
[  3] 5.0000-6.0000 sec  9.07 MBytes  76.1 Mbits/sec
[  4] 5.0000-6.0000 sec  2.46 MBytes  20.7 Mbits/sec
[  5] 6.0000-7.0000 sec  8.03 MBytes  67.4 Mbits/sec
[  1] 6.0000-7.0000 sec   423 KBytes  3.46 Mbits/sec
[  2] 6.0000-7.0000 sec  1.05 MBytes  8.84 Mbits/sec
[  3] 6.0000-7.0000 sec  9.17 MBytes  76.9 Mbits/sec
[  4] 6.0000-7.0000 sec  2.62 MBytes  21.9 Mbits/sec
[  1] 7.0000-8.0000 sec   390 KBytes  3.20 Mbits/sec
[  5] 7.0000-8.0000 sec  7.84 MBytes  65.7 Mbits/sec
[  3] 7.0000-8.0000 sec  9.23 MBytes  77.4 Mbits/sec
[  4] 7.0000-8.0000 sec  3.04 MBytes  25.5 Mbits/sec
[  2] 7.0000-8.0000 sec  1.05 MBytes  8.82 Mbits/sec
[  1] 8.0000-9.0000 sec   362 KBytes  2.97 Mbits/sec
[  2] 8.0000-9.0000 sec  1.05 MBytes  8.79 Mbits/sec
[  3] 8.0000-9.0000 sec  9.26 MBytes  77.7 Mbits/sec
[  4] 8.0000-9.0000 sec  3.28 MBytes  27.5 Mbits/sec
[  5] 8.0000-9.0000 sec  6.99 MBytes  58.6 Mbits/sec
[  1] 9.0000-10.0000 sec   437 KBytes  3.58 Mbits/sec
[  5] 9.0000-10.0000 sec  8.37 MBytes  70.2 Mbits/sec
[  2] 9.0000-10.0000 sec  1.08 MBytes  9.04 Mbits/sec
[  3] 9.0000-10.0000 sec  9.15 MBytes  76.7 Mbits/sec
[  4] 9.0000-10.0000 sec  3.47 MBytes  29.1 Mbits/sec
[  5] 10.0000-10.3220 sec  2.76 MBytes  72.0 Mbits/sec
[  5] 0.0000-10.3220 sec  78.9 MBytes  64.1 Mbits/sec
[  4] 10.0000-10.7562 sec  2.66 MBytes  29.5 Mbits/sec
[  4] 0.0000-10.7562 sec  28.6 MBytes  22.3 Mbits/sec
[  3] 10.0000-11.0000 sec  9.01 MBytes  75.6 Mbits/sec
[  2] 10.0000-11.0000 sec  1.28 MBytes  10.7 Mbits/sec
[  1] 10.0000-11.0000 sec   317 KBytes  2.59 Mbits/sec
[  2] 11.0000-11.3087 sec  1.70 MBytes  46.3 Mbits/sec
[  2] 0.0000-11.3087 sec  20.5 MBytes  15.2 Mbits/sec
[  3] 11.0000-11.6638 sec  6.01 MBytes  75.9 Mbits/sec
[  3] 0.0000-11.6638 sec   102 MBytes  73.4 Mbits/sec
[  1] 11.0000-12.0000 sec  1.51 MBytes  12.6 Mbits/sec
[  1] 0.0000-12.0524 sec  7.80 MBytes  5.43 Mbits/sec
