------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.3.2 port 5001 connected with 192.168.2.2 port 54218
[  2] local 192.168.3.2 port 5001 connected with 192.168.5.2 port 38694
[  3] local 192.168.3.2 port 5001 connected with 192.168.1.2 port 38812
[  4] local 192.168.3.2 port 5001 connected with 192.168.4.2 port 53576
[  5] local 192.168.3.2 port 5001 connected with 192.168.7.2 port 34408
[  6] local 192.168.3.2 port 5001 connected with 192.168.6.2 port 42600
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  2.89 MBytes  24.3 Mbits/sec
[  2] 0.0000-1.0000 sec  6.98 MBytes  58.5 Mbits/sec
[  3] 0.0000-1.0000 sec  1.92 MBytes  16.1 Mbits/sec
[  4] 0.0000-1.0000 sec  3.99 MBytes  33.5 Mbits/sec
[  5] 0.0000-1.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  6] 0.0000-1.0000 sec  2.61 MBytes  21.9 Mbits/sec
[  1] 1.0000-2.0000 sec  1.99 MBytes  16.7 Mbits/sec
[  2] 1.0000-2.0000 sec  7.52 MBytes  63.1 Mbits/sec
[  3] 1.0000-2.0000 sec  2.77 MBytes  23.2 Mbits/sec
[  4] 1.0000-2.0000 sec  3.79 MBytes  31.8 Mbits/sec
[  5] 1.0000-2.0000 sec  7.13 MBytes  59.8 Mbits/sec
[  6] 1.0000-2.0000 sec  3.63 MBytes  30.5 Mbits/sec
[  2] 2.0000-3.0000 sec  7.99 MBytes  67.0 Mbits/sec
[  3] 2.0000-3.0000 sec  3.41 MBytes  28.6 Mbits/sec
[  4] 2.0000-3.0000 sec  3.93 MBytes  32.9 Mbits/sec
[  1] 2.0000-3.0000 sec  1.48 MBytes  12.4 Mbits/sec
[  5] 2.0000-3.0000 sec  7.12 MBytes  59.8 Mbits/sec
[  6] 2.0000-3.0000 sec  4.19 MBytes  35.2 Mbits/sec
[  1] 3.0000-4.0000 sec  1.08 MBytes  9.07 Mbits/sec
[  2] 3.0000-4.0000 sec  7.40 MBytes  62.1 Mbits/sec
[  3] 3.0000-4.0000 sec  3.53 MBytes  29.6 Mbits/sec
[  4] 3.0000-4.0000 sec  3.65 MBytes  30.7 Mbits/sec
[  5] 3.0000-4.0000 sec  6.84 MBytes  57.4 Mbits/sec
[  6] 3.0000-4.0000 sec  4.26 MBytes  35.7 Mbits/sec
[  2] 4.0000-5.0000 sec  7.96 MBytes  66.8 Mbits/sec
[  3] 4.0000-5.0000 sec  3.59 MBytes  30.1 Mbits/sec
[  4] 4.0000-5.0000 sec  3.82 MBytes  32.0 Mbits/sec
[  1] 4.0000-5.0000 sec  1021 KBytes  8.36 Mbits/sec
[  5] 4.0000-5.0000 sec  7.04 MBytes  59.0 Mbits/sec
[  6] 4.0000-5.0000 sec  4.71 MBytes  39.5 Mbits/sec
[  2] 5.0000-6.0000 sec  8.02 MBytes  67.3 Mbits/sec
[  3] 5.0000-6.0000 sec  3.54 MBytes  29.7 Mbits/sec
[  4] 5.0000-6.0000 sec  4.01 MBytes  33.6 Mbits/sec
[  1] 5.0000-6.0000 sec  1.06 MBytes  8.88 Mbits/sec
[  5] 5.0000-6.0000 sec  6.89 MBytes  57.8 Mbits/sec
[  6] 5.0000-6.0000 sec  4.65 MBytes  39.0 Mbits/sec
[  1] 6.0000-7.0000 sec  1.09 MBytes  9.15 Mbits/sec
[  2] 6.0000-7.0000 sec  7.64 MBytes  64.1 Mbits/sec
[  3] 6.0000-7.0000 sec  3.38 MBytes  28.3 Mbits/sec
[  4] 6.0000-7.0000 sec  4.18 MBytes  35.0 Mbits/sec
[  5] 6.0000-7.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  6] 6.0000-7.0000 sec  4.37 MBytes  36.6 Mbits/sec
[  1] 7.0000-8.0000 sec  1.11 MBytes  9.34 Mbits/sec
[  2] 7.0000-8.0000 sec  7.54 MBytes  63.3 Mbits/sec
[  3] 7.0000-8.0000 sec  3.30 MBytes  27.7 Mbits/sec
[  4] 7.0000-8.0000 sec  4.47 MBytes  37.5 Mbits/sec
[  5] 7.0000-8.0000 sec  6.39 MBytes  53.6 Mbits/sec
[  6] 7.0000-8.0000 sec  4.27 MBytes  35.8 Mbits/sec
[  1] 8.0000-9.0000 sec  1.17 MBytes  9.78 Mbits/sec
[  2] 8.0000-9.0000 sec  7.51 MBytes  63.0 Mbits/sec
[  3] 8.0000-9.0000 sec  3.34 MBytes  28.0 Mbits/sec
[  4] 8.0000-9.0000 sec  4.69 MBytes  39.4 Mbits/sec
[  5] 8.0000-9.0000 sec  6.30 MBytes  52.8 Mbits/sec
