------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.4.2 port 5001 connected with 192.168.1.2 port 50624
[  2] local 192.168.4.2 port 5001 connected with 192.168.3.2 port 58302
[  3] local 192.168.4.2 port 5001 connected with 192.168.5.2 port 38480
[  4] local 192.168.4.2 port 5001 connected with 192.168.2.2 port 48260
[  5] local 192.168.4.2 port 5001 connected with 192.168.9.2 port 33806
[  6] local 192.168.4.2 port 5001 connected with 192.168.7.2 port 44530
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  2.49 MBytes  20.9 Mbits/sec
[  2] 0.0000-1.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 0.0000-1.0000 sec  3.20 MBytes  26.8 Mbits/sec
[  4] 0.0000-1.0000 sec  3.79 MBytes  31.8 Mbits/sec
[  6] 0.0000-1.0000 sec  6.63 MBytes  55.6 Mbits/sec
[  5] 0.0000-1.0000 sec  3.86 MBytes  32.4 Mbits/sec
[  1] 1.0000-2.0000 sec  5.35 MBytes  44.9 Mbits/sec
[  2] 1.0000-2.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  4] 1.0000-2.0000 sec  4.35 MBytes  36.5 Mbits/sec
[  6] 1.0000-2.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  3] 1.0000-2.0000 sec  2.00 MBytes  16.8 Mbits/sec
[  5] 1.0000-2.0000 sec  4.44 MBytes  37.2 Mbits/sec
[  1] 2.0000-3.0000 sec  8.12 MBytes  68.1 Mbits/sec
[  4] 2.0000-3.0000 sec  3.17 MBytes  26.6 Mbits/sec
[  2] 2.0000-3.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  5] 2.0000-3.0000 sec  5.17 MBytes  43.4 Mbits/sec
[  6] 2.0000-3.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  3] 2.0000-3.0000 sec  1.35 MBytes  11.4 Mbits/sec
[  4] 3.0000-4.0000 sec  2.21 MBytes  18.5 Mbits/sec
[  1] 3.0000-4.0000 sec  9.09 MBytes  76.2 Mbits/sec
[  2] 3.0000-4.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 3.0000-4.0000 sec  1.03 MBytes  8.63 Mbits/sec
[  6] 3.0000-4.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  5] 3.0000-4.0000 sec  5.72 MBytes  48.0 Mbits/sec
[  1] 4.0000-5.0000 sec  9.68 MBytes  81.2 Mbits/sec
[  2] 4.0000-5.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  4] 4.0000-5.0000 sec  1.63 MBytes  13.6 Mbits/sec
[  6] 4.0000-5.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  5] 4.0000-5.0000 sec  6.15 MBytes  51.5 Mbits/sec
[  3] 4.0000-5.0000 sec   880 KBytes  7.21 Mbits/sec
[  1] 5.0000-6.0000 sec  9.95 MBytes  83.5 Mbits/sec
[  2] 5.0000-6.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  4] 5.0000-6.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  6] 5.0000-6.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  3] 5.0000-6.0000 sec   885 KBytes  7.25 Mbits/sec
[  5] 5.0000-6.0000 sec  6.44 MBytes  54.0 Mbits/sec
[  1] 6.0000-7.0000 sec  10.0 MBytes  84.0 Mbits/sec
[  2] 6.0000-7.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  4] 6.0000-7.0000 sec  1.31 MBytes  11.0 Mbits/sec
[  6] 6.0000-7.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  3] 6.0000-7.0000 sec   891 KBytes  7.30 Mbits/sec
[  5] 6.0000-7.0000 sec  6.61 MBytes  55.5 Mbits/sec
[  1] 7.0000-8.0000 sec  9.85 MBytes  82.6 Mbits/sec
[  4] 7.0000-8.0000 sec  1.45 MBytes  12.2 Mbits/sec
[  2] 7.0000-8.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 7.0000-8.0000 sec  1.01 MBytes  8.48 Mbits/sec
[  5] 7.0000-8.0000 sec  6.74 MBytes  56.5 Mbits/sec
[  6] 7.0000-8.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  1] 8.0000-9.0000 sec  9.57 MBytes  80.3 Mbits/sec
[  2] 8.0000-9.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 8.0000-9.0000 sec  1.11 MBytes  9.34 Mbits/sec
[  4] 8.0000-9.0000 sec  1.76 MBytes  14.7 Mbits/sec
[  6] 8.0000-9.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  5] 8.0000-9.0000 sec  6.82 MBytes  57.2 Mbits/sec
[  1] 9.0000-10.0000 sec  9.28 MBytes  77.8 Mbits/sec
[  2] 9.0000-10.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 9.0000-10.0000 sec  1.41 MBytes  11.8 Mbits/sec
[  4] 9.0000-10.0000 sec  2.03 MBytes  17.1 Mbits/sec
[  6] 9.0000-10.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  2] 0.0000-10.0100 sec  63.9 MBytes  53.5 Mbits/sec
[  5] 9.0000-10.0000 sec  6.85 MBytes  57.5 Mbits/sec
[  6] 0.0000-10.0106 sec  66.4 MBytes  55.6 Mbits/sec
[  3] 10.0000-10.4945 sec  1.12 MBytes  19.0 Mbits/sec
[  3] 0.0000-10.4945 sec  14.8 MBytes  11.9 Mbits/sec
[  4] 10.0000-10.8691 sec  2.00 MBytes  19.3 Mbits/sec
[  4] 0.0000-10.8691 sec  25.1 MBytes  19.3 Mbits/sec
[  1] 10.0000-11.0000 sec  9.28 MBytes  77.9 Mbits/sec
[  5] 10.0000-11.0000 sec  6.59 MBytes  55.3 Mbits/sec
[  1] 0.0000-11.2145 sec  95.1 MBytes  71.2 Mbits/sec
[  5] 11.0000-11.4799 sec  3.32 MBytes  58.0 Mbits/sec
[  5] 0.0000-11.4799 sec  68.7 MBytes  50.2 Mbits/sec
