------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.2 port 5001 connected with 192.168.3.2 port 34742
[  2] local 192.168.1.2 port 5001 connected with 192.168.4.2 port 51190
[  3] local 192.168.1.2 port 5001 connected with 192.168.6.2 port 55924
[  4] local 192.168.1.2 port 5001 connected with 192.168.10.2 port 55242
[  5] local 192.168.1.2 port 5001 connected with 192.168.7.2 port 57664
[  6] local 192.168.1.2 port 5001 connected with 192.168.8.2 port 33192
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  3] 0.0000-1.0000 sec  1.11 MBytes  9.35 Mbits/sec
[  4] 0.0000-1.0000 sec  5.74 MBytes  48.1 Mbits/sec
[  1] 0.0000-1.0000 sec  9.21 MBytes  77.2 Mbits/sec
[  5] 0.0000-1.0000 sec  6.47 MBytes  54.2 Mbits/sec
[  6] 0.0000-1.0000 sec  6.40 MBytes  53.7 Mbits/sec
[  1] 1.0000-2.0000 sec  9.49 MBytes  79.6 Mbits/sec
[  5] 1.0000-2.0000 sec  6.06 MBytes  50.8 Mbits/sec
[  6] 1.0000-2.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  2] 1.0000-2.0000 sec  1.97 MBytes  16.5 Mbits/sec
[  3] 1.0000-2.0000 sec  1.09 MBytes  9.13 Mbits/sec
[  4] 1.0000-2.0000 sec  7.07 MBytes  59.3 Mbits/sec
[  2] 2.0000-3.0000 sec  2.81 MBytes  23.6 Mbits/sec
[  1] 2.0000-3.0000 sec  9.35 MBytes  78.5 Mbits/sec
[  6] 2.0000-3.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  4] 2.0000-3.0000 sec  6.96 MBytes  58.4 Mbits/sec
[  5] 2.0000-3.0000 sec  5.11 MBytes  42.9 Mbits/sec
[  3] 2.0000-3.0000 sec  1.22 MBytes  10.2 Mbits/sec
[  2] 3.0000-4.0000 sec  3.16 MBytes  26.5 Mbits/sec
[  1] 3.0000-4.0000 sec  9.33 MBytes  78.2 Mbits/sec
[  5] 3.0000-4.0000 sec  4.76 MBytes  39.9 Mbits/sec
[  6] 3.0000-4.0000 sec  6.37 MBytes  53.4 Mbits/sec
[  3] 3.0000-4.0000 sec  1.22 MBytes  10.2 Mbits/sec
[  4] 3.0000-4.0000 sec  6.66 MBytes  55.9 Mbits/sec
[  2] 4.0000-5.0000 sec  3.04 MBytes  25.5 Mbits/sec
[  1] 4.0000-5.0000 sec  9.11 MBytes  76.4 Mbits/sec
[  5] 4.0000-5.0000 sec  4.57 MBytes  38.3 Mbits/sec
[  4] 4.0000-5.0000 sec  6.22 MBytes  52.2 Mbits/sec
