------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.10.2 port 5001 connected with 192.168.1.2 port 39820
[  2] local 192.168.10.2 port 5001 connected with 192.168.3.2 port 35078
[  3] local 192.168.10.2 port 5001 connected with 192.168.5.2 port 43182
[  4] local 192.168.10.2 port 5001 connected with 192.168.7.2 port 37090
[  5] local 192.168.10.2 port 5001 connected with 192.168.4.2 port 42926
[  6] local 192.168.10.2 port 5001 connected with 192.168.9.2 port 41074
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  2.41 MBytes  20.2 Mbits/sec
[  2] 0.0000-1.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 0.0000-1.0000 sec  5.25 MBytes  44.1 Mbits/sec
[  4] 0.0000-1.0000 sec  9.12 MBytes  76.5 Mbits/sec
[  5] 0.0000-1.0000 sec  2.29 MBytes  19.2 Mbits/sec
[  6] 0.0000-1.0000 sec  6.89 MBytes  57.8 Mbits/sec
[  1] 1.0000-2.0000 sec  2.18 MBytes  18.3 Mbits/sec
[  2] 1.0000-2.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 1.0000-2.0000 sec  2.81 MBytes  23.6 Mbits/sec
[  4] 1.0000-2.0000 sec  11.4 MBytes  95.5 Mbits/sec
[  5] 1.0000-2.0000 sec  2.00 MBytes  16.8 Mbits/sec
[  6] 1.0000-2.0000 sec  7.18 MBytes  60.2 Mbits/sec
[  1] 2.0000-3.0000 sec  2.57 MBytes  21.5 Mbits/sec
[  2] 2.0000-3.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 2.0000-3.0000 sec  1.95 MBytes  16.4 Mbits/sec
[  4] 2.0000-3.0000 sec  11.4 MBytes  95.4 Mbits/sec
[  5] 2.0000-3.0000 sec  2.20 MBytes  18.5 Mbits/sec
[  6] 2.0000-3.0000 sec  6.60 MBytes  55.4 Mbits/sec
[  1] 3.0000-4.0000 sec  2.95 MBytes  24.7 Mbits/sec
[  2] 3.0000-4.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 3.0000-4.0000 sec  1.53 MBytes  12.9 Mbits/sec
[  4] 3.0000-4.0000 sec  11.4 MBytes  95.3 Mbits/sec
[  5] 3.0000-4.0000 sec  2.18 MBytes  18.3 Mbits/sec
[  6] 3.0000-4.0000 sec  6.28 MBytes  52.7 Mbits/sec
[  1] 4.0000-5.0000 sec  3.02 MBytes  25.4 Mbits/sec
[  2] 4.0000-5.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 4.0000-5.0000 sec  1.29 MBytes  10.8 Mbits/sec
[  4] 4.0000-5.0000 sec  11.4 MBytes  95.3 Mbits/sec
[  6] 4.0000-5.0000 sec  6.25 MBytes  52.4 Mbits/sec
[  5] 4.0000-5.0000 sec  2.10 MBytes  17.6 Mbits/sec
[  1] 5.0000-6.0000 sec  3.01 MBytes  25.2 Mbits/sec
[  2] 5.0000-6.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 5.0000-6.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  4] 5.0000-6.0000 sec  11.4 MBytes  95.3 Mbits/sec
[  5] 5.0000-6.0000 sec  2.13 MBytes  17.8 Mbits/sec
[  6] 5.0000-6.0000 sec  6.25 MBytes  52.4 Mbits/sec
[  1] 6.0000-7.0000 sec  2.97 MBytes  24.9 Mbits/sec
[  2] 6.0000-7.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 6.0000-7.0000 sec  1.02 MBytes  8.56 Mbits/sec
[  4] 6.0000-7.0000 sec  11.3 MBytes  95.2 Mbits/sec
[  5] 6.0000-7.0000 sec  2.23 MBytes  18.7 Mbits/sec
[  6] 6.0000-7.0000 sec  6.20 MBytes  52.0 Mbits/sec
[  1] 7.0000-8.0000 sec  2.77 MBytes  23.3 Mbits/sec
[  2] 7.0000-8.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  3] 7.0000-8.0000 sec  1007 KBytes  8.25 Mbits/sec
[  4] 7.0000-8.0000 sec  11.3 MBytes  95.2 Mbits/sec
[  5] 7.0000-8.0000 sec  2.37 MBytes  19.9 Mbits/sec
[  6] 7.0000-8.0000 sec  6.21 MBytes  52.1 Mbits/sec
[  1] 8.0000-9.0000 sec  2.77 MBytes  23.2 Mbits/sec
[  2] 8.0000-9.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  4] 8.0000-9.0000 sec  11.3 MBytes  95.1 Mbits/sec
[  3] 8.0000-9.0000 sec  1.06 MBytes  8.88 Mbits/sec
[  5] 8.0000-9.0000 sec  2.50 MBytes  21.0 Mbits/sec
[  6] 8.0000-9.0000 sec  6.15 MBytes  51.5 Mbits/sec
[  1] 9.0000-10.0000 sec  2.53 MBytes  21.2 Mbits/sec
[  2] 9.0000-10.0000 sec  6.38 MBytes  53.5 Mbits/sec
