------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.3.2 port 5001 connected with 192.168.2.2 port 40006
[  2] local 192.168.3.2 port 5001 connected with 192.168.5.2 port 60902
[  3] local 192.168.3.2 port 5001 connected with 192.168.4.2 port 34136
[  4] local 192.168.3.2 port 5001 connected with 192.168.7.2 port 59096
[  5] local 192.168.3.2 port 5001 connected with 192.168.10.2 port 39896
[  6] local 192.168.3.2 port 5001 connected with 192.168.6.2 port 53812
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  5.27 MBytes  44.2 Mbits/sec
[  2] 0.0000-1.0000 sec  8.25 MBytes  69.2 Mbits/sec
[  3] 0.0000-1.0000 sec  6.19 MBytes  52.0 Mbits/sec
[  4] 0.0000-1.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  6] 0.0000-1.0000 sec  2.50 MBytes  21.0 Mbits/sec
[  5] 0.0000-1.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 1.0000-2.0000 sec  5.20 MBytes  43.6 Mbits/sec
[  2] 1.0000-2.0000 sec  8.25 MBytes  69.2 Mbits/sec
[  6] 1.0000-2.0000 sec  2.59 MBytes  21.7 Mbits/sec
[  3] 1.0000-2.0000 sec  6.18 MBytes  51.9 Mbits/sec
[  4] 1.0000-2.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  5] 1.0000-2.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 2.0000-3.0000 sec  5.21 MBytes  43.7 Mbits/sec
[  2] 2.0000-3.0000 sec  8.25 MBytes  69.2 Mbits/sec
[  3] 2.0000-3.0000 sec  6.19 MBytes  52.0 Mbits/sec
[  4] 2.0000-3.0000 sec  8.72 MBytes  73.2 Mbits/sec
[  5] 2.0000-3.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  6] 2.0000-3.0000 sec  2.96 MBytes  24.8 Mbits/sec
[  1] 3.0000-4.0000 sec  5.20 MBytes  43.6 Mbits/sec
[  2] 3.0000-4.0000 sec  8.17 MBytes  68.5 Mbits/sec
[  3] 3.0000-4.0000 sec  6.18 MBytes  51.9 Mbits/sec
[  4] 3.0000-4.0000 sec  7.24 MBytes  60.8 Mbits/sec
[  5] 3.0000-4.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  6] 3.0000-4.0000 sec  3.22 MBytes  27.0 Mbits/sec
[  1] 4.0000-5.0000 sec  5.23 MBytes  43.9 Mbits/sec
[  2] 4.0000-5.0000 sec  8.33 MBytes  69.9 Mbits/sec
[  3] 4.0000-5.0000 sec  6.22 MBytes  52.1 Mbits/sec
[  4] 4.0000-5.0000 sec  5.58 MBytes  46.8 Mbits/sec
[  6] 4.0000-5.0000 sec  2.97 MBytes  24.9 Mbits/sec
[  5] 4.0000-5.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 5.0000-6.0000 sec  5.19 MBytes  43.6 Mbits/sec
[  2] 5.0000-6.0000 sec  8.25 MBytes  69.2 Mbits/sec
[  6] 5.0000-6.0000 sec  3.14 MBytes  26.3 Mbits/sec
