------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.2.2 port 5001 connected with 192.168.1.2 port 37336
[  2] local 192.168.2.2 port 5001 connected with 192.168.5.2 port 39372
[  3] local 192.168.2.2 port 5001 connected with 192.168.4.2 port 51450
[  4] local 192.168.2.2 port 5001 connected with 192.168.10.2 port 38732
[  5] local 192.168.2.2 port 5001 connected with 192.168.8.2 port 43174
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  7.50 MBytes  62.9 Mbits/sec
[  1] 0.0000-1.0000 sec  2.40 MBytes  20.1 Mbits/sec
[  4] 0.0000-1.0000 sec  6.59 MBytes  55.3 Mbits/sec
[  3] 0.0000-1.0000 sec  3.48 MBytes  29.2 Mbits/sec
[  5] 0.0000-1.0000 sec  1.09 MBytes  9.18 Mbits/sec
[  1] 1.0000-2.0000 sec  2.44 MBytes  20.4 Mbits/sec
[  4] 1.0000-2.0000 sec  6.53 MBytes  54.8 Mbits/sec
[  2] 1.0000-2.0000 sec  7.95 MBytes  66.7 Mbits/sec
[  3] 1.0000-2.0000 sec  3.93 MBytes  32.9 Mbits/sec
[  5] 1.0000-2.0000 sec  1.16 MBytes  9.73 Mbits/sec
[  1] 2.0000-3.0000 sec  2.51 MBytes  21.1 Mbits/sec
[  4] 2.0000-3.0000 sec  6.57 MBytes  55.1 Mbits/sec
[  2] 2.0000-3.0000 sec  8.02 MBytes  67.3 Mbits/sec
[  3] 2.0000-3.0000 sec  4.02 MBytes  33.7 Mbits/sec
[  5] 2.0000-3.0000 sec  1.12 MBytes  9.43 Mbits/sec
[  2] 3.0000-4.0000 sec  8.03 MBytes  67.4 Mbits/sec
[  1] 3.0000-4.0000 sec  2.56 MBytes  21.5 Mbits/sec
[  4] 3.0000-4.0000 sec  6.56 MBytes  55.0 Mbits/sec
[  3] 3.0000-4.0000 sec  4.07 MBytes  34.2 Mbits/sec
[  5] 3.0000-4.0000 sec  1.14 MBytes  9.60 Mbits/sec
[  4] 4.0000-5.0000 sec  6.58 MBytes  55.2 Mbits/sec
[  2] 4.0000-5.0000 sec  8.08 MBytes  67.8 Mbits/sec
[  5] 4.0000-5.0000 sec  1.08 MBytes  9.09 Mbits/sec
[  3] 4.0000-5.0000 sec  3.86 MBytes  32.4 Mbits/sec
[  1] 4.0000-5.0000 sec  2.47 MBytes  20.7 Mbits/sec
[  1] 5.0000-6.0000 sec  2.52 MBytes  21.1 Mbits/sec
[  2] 5.0000-6.0000 sec  8.09 MBytes  67.9 Mbits/sec
[  3] 5.0000-6.0000 sec  4.03 MBytes  33.8 Mbits/sec
[  4] 5.0000-6.0000 sec  6.54 MBytes  54.9 Mbits/sec
[  5] 5.0000-6.0000 sec  1.60 MBytes  13.4 Mbits/sec
[  1] 6.0000-7.0000 sec  2.23 MBytes  18.7 Mbits/sec
[  2] 6.0000-7.0000 sec  8.22 MBytes  68.9 Mbits/sec
[  3] 6.0000-7.0000 sec  3.52 MBytes  29.5 Mbits/sec
[  4] 6.0000-7.0000 sec  6.48 MBytes  54.3 Mbits/sec
[  5] 6.0000-7.0000 sec  1.80 MBytes  15.1 Mbits/sec
[  2] 7.0000-8.0000 sec  8.34 MBytes  69.9 Mbits/sec
[  1] 7.0000-8.0000 sec  2.21 MBytes  18.5 Mbits/sec
[  3] 7.0000-8.0000 sec  3.53 MBytes  29.6 Mbits/sec
[  5] 7.0000-8.0000 sec  1.87 MBytes  15.7 Mbits/sec
[  4] 7.0000-8.0000 sec  4.62 MBytes  38.7 Mbits/sec
[  1] 8.0000-9.0000 sec  2.23 MBytes  18.7 Mbits/sec
[  4] 8.0000-9.0000 sec  7.92 MBytes  66.4 Mbits/sec
[  5] 8.0000-9.0000 sec  1.94 MBytes  16.3 Mbits/sec
[  3] 8.0000-9.0000 sec  3.53 MBytes  29.6 Mbits/sec
[  2] 8.0000-9.0000 sec  7.33 MBytes  61.5 Mbits/sec
[  1] 9.0000-10.0000 sec  2.04 MBytes  17.1 Mbits/sec
[  4] 9.0000-10.0000 sec  6.63 MBytes  55.6 Mbits/sec
[  2] 9.0000-10.0000 sec  9.57 MBytes  80.3 Mbits/sec
[  3] 9.0000-10.0000 sec  3.37 MBytes  28.2 Mbits/sec
[  5] 9.0000-10.0000 sec  1.87 MBytes  15.7 Mbits/sec
[  4] 10.0000-10.5782 sec  3.85 MBytes  55.9 Mbits/sec
[  4] 0.0000-10.5782 sec  68.9 MBytes  54.6 Mbits/sec
[  2] 10.0000-11.0000 sec  8.61 MBytes  72.2 Mbits/sec
[  3] 10.0000-11.0000 sec  3.44 MBytes  28.9 Mbits/sec
[  1] 10.0000-11.0000 sec  2.04 MBytes  17.1 Mbits/sec
[  5] 10.0000-11.0000 sec  1.81 MBytes  15.2 Mbits/sec
[  5] 0.0000-11.0557 sec  16.6 MBytes  12.6 Mbits/sec
[  1] 11.0000-11.3041 sec   998 KBytes  26.9 Mbits/sec
[  1] 0.0000-11.3041 sec  26.6 MBytes  19.7 Mbits/sec
[  3] 11.0000-11.3721 sec  2.40 MBytes  54.1 Mbits/sec
[  3] 0.0000-11.3721 sec  43.2 MBytes  31.9 Mbits/sec
[  2] 11.0000-11.4849 sec  4.45 MBytes  77.1 Mbits/sec
[  2] 0.0000-11.4849 sec  94.2 MBytes  68.8 Mbits/sec
