------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.4.2 port 5001 connected with 192.168.2.2 port 57192
[  2] local 192.168.4.2 port 5001 connected with 192.168.9.2 port 59578
[  3] local 192.168.4.2 port 5001 connected with 192.168.3.2 port 50390
[  4] local 192.168.4.2 port 5001 connected with 192.168.8.2 port 33458
[  5] local 192.168.4.2 port 5001 connected with 192.168.10.2 port 50172
[  6] local 192.168.4.2 port 5001 connected with 192.168.7.2 port 44726
[ ID] Interval       Transfer     Bandwidth
[  2] 0.0000-1.0000 sec  6.62 MBytes  55.6 Mbits/sec
[  5] 0.0000-1.0000 sec  2.80 MBytes  23.5 Mbits/sec
[  4] 0.0000-1.0000 sec  6.98 MBytes  58.6 Mbits/sec
[  1] 0.0000-1.0000 sec  1.04 MBytes  8.75 Mbits/sec
[  3] 0.0000-1.0000 sec   330 KBytes  2.70 Mbits/sec
[  6] 0.0000-1.0000 sec   190 KBytes  1.55 Mbits/sec
[  3] 1.0000-2.0000 sec   320 KBytes  2.62 Mbits/sec
[  5] 1.0000-2.0000 sec  2.54 MBytes  21.3 Mbits/sec
[  4] 1.0000-2.0000 sec  7.39 MBytes  62.0 Mbits/sec
[  2] 1.0000-2.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  1] 1.0000-2.0000 sec   874 KBytes  7.16 Mbits/sec
[  6] 1.0000-2.0000 sec   146 KBytes  1.19 Mbits/sec
[  2] 2.0000-3.0000 sec  6.73 MBytes  56.5 Mbits/sec
[  1] 2.0000-3.0000 sec   954 KBytes  7.82 Mbits/sec
[  5] 2.0000-3.0000 sec  2.43 MBytes  20.4 Mbits/sec
[  4] 2.0000-3.0000 sec  7.38 MBytes  61.9 Mbits/sec
[  3] 2.0000-3.0000 sec   279 KBytes  2.28 Mbits/sec
[  6] 2.0000-3.0000 sec   164 KBytes  1.34 Mbits/sec
[  2] 3.0000-4.0000 sec  6.73 MBytes  56.5 Mbits/sec
[  1] 3.0000-4.0000 sec  1.11 MBytes  9.29 Mbits/sec
[  3] 3.0000-4.0000 sec   345 KBytes  2.83 Mbits/sec
[  5] 3.0000-4.0000 sec  2.12 MBytes  17.8 Mbits/sec
[  4] 3.0000-4.0000 sec  7.45 MBytes  62.5 Mbits/sec
[  6] 3.0000-4.0000 sec   177 KBytes  1.45 Mbits/sec
[  2] 4.0000-5.0000 sec  6.69 MBytes  56.1 Mbits/sec
[  1] 4.0000-5.0000 sec  1.25 MBytes  10.5 Mbits/sec
[  4] 4.0000-5.0000 sec  7.08 MBytes  59.4 Mbits/sec
[  3] 4.0000-5.0000 sec   298 KBytes  2.44 Mbits/sec
[  5] 4.0000-5.0000 sec  1.84 MBytes  15.4 Mbits/sec
[  6] 4.0000-5.0000 sec   221 KBytes  1.81 Mbits/sec
[  4] 5.0000-6.0000 sec  7.18 MBytes  60.3 Mbits/sec
[  2] 5.0000-6.0000 sec  6.73 MBytes  56.4 Mbits/sec
[  1] 5.0000-6.0000 sec  1.40 MBytes  11.8 Mbits/sec
[  3] 5.0000-6.0000 sec   311 KBytes  2.55 Mbits/sec
[  5] 5.0000-6.0000 sec  1.52 MBytes  12.7 Mbits/sec
[  6] 5.0000-6.0000 sec   245 KBytes  2.00 Mbits/sec
[  1] 6.0000-7.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  4] 6.0000-7.0000 sec  7.15 MBytes  59.9 Mbits/sec
[  2] 6.0000-7.0000 sec  6.70 MBytes  56.2 Mbits/sec
[  3] 6.0000-7.0000 sec   383 KBytes  3.14 Mbits/sec
[  5] 6.0000-7.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  6] 6.0000-7.0000 sec   331 KBytes  2.71 Mbits/sec
[  2] 7.0000-8.0000 sec  6.35 MBytes  53.2 Mbits/sec
[  4] 7.0000-8.0000 sec  7.01 MBytes  58.8 Mbits/sec
[  5] 7.0000-8.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  3] 7.0000-8.0000 sec   515 KBytes  4.22 Mbits/sec
[  1] 7.0000-8.0000 sec  1.57 MBytes  13.1 Mbits/sec
[  6] 7.0000-8.0000 sec   433 KBytes  3.54 Mbits/sec
[  2] 8.0000-9.0000 sec  6.30 MBytes  52.8 Mbits/sec
[  1] 8.0000-9.0000 sec  1.60 MBytes  13.4 Mbits/sec
[  4] 8.0000-9.0000 sec  6.78 MBytes  56.9 Mbits/sec
[  3] 8.0000-9.0000 sec   597 KBytes  4.89 Mbits/sec
[  5] 8.0000-9.0000 sec  1.53 MBytes  12.8 Mbits/sec
[  6] 8.0000-9.0000 sec   631 KBytes  5.17 Mbits/sec
[  2] 9.0000-10.0000 sec  6.38 MBytes  53.5 Mbits/sec
[  1] 9.0000-10.0000 sec  1.42 MBytes  11.9 Mbits/sec
[  4] 9.0000-10.0000 sec  6.52 MBytes  54.7 Mbits/sec
[  3] 9.0000-10.0000 sec   764 KBytes  6.26 Mbits/sec
[  5] 9.0000-10.0000 sec  1.57 MBytes  13.1 Mbits/sec
[  6] 9.0000-10.0000 sec   663 KBytes  5.43 Mbits/sec
[  2] 10.0000-10.2619 sec  1.65 MBytes  52.9 Mbits/sec
[  2] 0.0000-10.2619 sec  67.6 MBytes  55.3 Mbits/sec
[  4] 10.0000-11.0000 sec  6.51 MBytes  54.6 Mbits/sec
[  3] 10.0000-11.0000 sec   639 KBytes  5.24 Mbits/sec
[  5] 10.0000-11.0000 sec  2.29 MBytes  19.2 Mbits/sec
[  1] 10.0000-11.0000 sec  1.23 MBytes  10.3 Mbits/sec
[  5] 0.0000-11.0283 sec  21.5 MBytes  16.4 Mbits/sec
[  6] 10.0000-11.0000 sec   725 KBytes  5.94 Mbits/sec
[  4] 0.0000-11.2102 sec  79.1 MBytes  59.2 Mbits/sec
[  6] 11.0000-11.6971 sec   721 KBytes  8.48 Mbits/sec
[  6] 0.0000-11.6971 sec  4.54 MBytes  3.25 Mbits/sec
[  3] 11.0000-11.7893 sec  1.05 MBytes  11.2 Mbits/sec
[  3] 0.0000-11.7893 sec  5.72 MBytes  4.07 Mbits/sec
[  1] 11.0000-11.9507 sec  2.44 MBytes  21.5 Mbits/sec
[  1] 0.0000-11.9507 sec  16.3 MBytes  11.5 Mbits/sec
