------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.4.2 port 5001 connected with 192.168.1.2 port 47266
[  2] local 192.168.4.2 port 5001 connected with 192.168.3.2 port 43370
[  3] local 192.168.4.2 port 5001 connected with 192.168.5.2 port 55120
[  4] local 192.168.4.2 port 5001 connected with 192.168.6.2 port 33692
[  5] local 192.168.4.2 port 5001 connected with 192.168.10.2 port 34968
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  3.99 MBytes  33.5 Mbits/sec
[  2] 0.0000-1.0000 sec  10.6 MBytes  89.0 Mbits/sec
[  3] 0.0000-1.0000 sec  4.18 MBytes  35.1 Mbits/sec
[  4] 0.0000-1.0000 sec   754 KBytes  6.17 Mbits/sec
[  5] 0.0000-1.0000 sec  4.65 MBytes  39.0 Mbits/sec
[  1] 1.0000-2.0000 sec  6.34 MBytes  53.2 Mbits/sec
[  2] 1.0000-2.0000 sec  10.5 MBytes  88.2 Mbits/sec
[  3] 1.0000-2.0000 sec  3.26 MBytes  27.4 Mbits/sec
[  5] 1.0000-2.0000 sec  3.67 MBytes  30.8 Mbits/sec
[  4] 1.0000-2.0000 sec   824 KBytes  6.75 Mbits/sec
[  1] 2.0000-3.0000 sec  7.27 MBytes  61.0 Mbits/sec
[  2] 2.0000-3.0000 sec  10.5 MBytes  88.2 Mbits/sec
[  3] 2.0000-3.0000 sec  2.18 MBytes  18.3 Mbits/sec
[  4] 2.0000-3.0000 sec   864 KBytes  7.08 Mbits/sec
[  5] 2.0000-3.0000 sec  3.05 MBytes  25.6 Mbits/sec
[  1] 3.0000-4.0000 sec  7.82 MBytes  65.6 Mbits/sec
[  2] 3.0000-4.0000 sec  10.4 MBytes  87.5 Mbits/sec
[  4] 3.0000-4.0000 sec   954 KBytes  7.82 Mbits/sec
[  5] 3.0000-4.0000 sec  2.66 MBytes  22.3 Mbits/sec
[  3] 3.0000-4.0000 sec  1.73 MBytes  14.5 Mbits/sec
[  1] 4.0000-5.0000 sec  8.25 MBytes  69.2 Mbits/sec
[  2] 4.0000-5.0000 sec  10.2 MBytes  85.3 Mbits/sec
[  3] 4.0000-5.0000 sec  1.25 MBytes  10.5 Mbits/sec
[  5] 4.0000-5.0000 sec  2.39 MBytes  20.0 Mbits/sec
[  4] 4.0000-5.0000 sec  1.17 MBytes  9.79 Mbits/sec
[  1] 5.0000-6.0000 sec  8.52 MBytes  71.5 Mbits/sec
[  2] 5.0000-6.0000 sec  9.96 MBytes  83.6 Mbits/sec
[  4] 5.0000-6.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  5] 5.0000-6.0000 sec  2.20 MBytes  18.5 Mbits/sec
[  3] 5.0000-6.0000 sec  1.03 MBytes  8.61 Mbits/sec
[  1] 6.0000-7.0000 sec  8.74 MBytes  73.3 Mbits/sec
[  2] 6.0000-7.0000 sec  9.77 MBytes  81.9 Mbits/sec
[  4] 6.0000-7.0000 sec  1.59 MBytes  13.3 Mbits/sec
[  5] 6.0000-7.0000 sec  2.03 MBytes  17.1 Mbits/sec
[  3] 6.0000-7.0000 sec  1.03 MBytes  8.65 Mbits/sec
[  1] 7.0000-8.0000 sec  8.89 MBytes  74.5 Mbits/sec
[  2] 7.0000-8.0000 sec  9.56 MBytes  80.2 Mbits/sec
[  3] 7.0000-8.0000 sec  1.06 MBytes  8.91 Mbits/sec
[  4] 7.0000-8.0000 sec  1.81 MBytes  15.2 Mbits/sec
[  5] 7.0000-8.0000 sec  1.90 MBytes  15.9 Mbits/sec
[  1] 8.0000-9.0000 sec  9.04 MBytes  75.8 Mbits/sec
[  2] 8.0000-9.0000 sec  9.46 MBytes  79.4 Mbits/sec
[  3] 8.0000-9.0000 sec  1.06 MBytes  8.91 Mbits/sec
[  5] 8.0000-9.0000 sec  1.80 MBytes  15.1 Mbits/sec
[  4] 8.0000-9.0000 sec  1.90 MBytes  15.9 Mbits/sec
[  1] 9.0000-10.0000 sec  9.20 MBytes  77.1 Mbits/sec
[  2] 9.0000-10.0000 sec  9.43 MBytes  79.1 Mbits/sec
[  3] 9.0000-10.0000 sec  1.13 MBytes  9.48 Mbits/sec
[  4] 9.0000-10.0000 sec  1.91 MBytes  16.0 Mbits/sec
[  2] 10.0000-10.4001 sec  3.60 MBytes  75.4 Mbits/sec
[  2] 0.0000-10.4001 sec   104 MBytes  83.9 Mbits/sec
[  5] 9.0000-10.0000 sec  1.54 MBytes  12.9 Mbits/sec
[  4] 10.0000-10.5868 sec  2.64 MBytes  37.7 Mbits/sec
[  4] 0.0000-10.5868 sec  15.7 MBytes  12.4 Mbits/sec
[  1] 10.0000-11.0000 sec  9.02 MBytes  75.7 Mbits/sec
[  3] 10.0000-11.0000 sec  1.50 MBytes  12.6 Mbits/sec
[  3] 0.0000-11.1975 sec  19.8 MBytes  14.8 Mbits/sec
[  5] 10.0000-11.0000 sec  1.10 MBytes  9.21 Mbits/sec
[  1] 11.0000-11.6753 sec  5.57 MBytes  69.2 Mbits/sec
[  1] 0.0000-11.6753 sec  92.6 MBytes  66.6 Mbits/sec
[  5] 11.0000-12.0000 sec  5.19 MBytes  43.5 Mbits/sec
[  5] 0.0000-12.1353 sec  33.7 MBytes  23.3 Mbits/sec
